term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,suptband_lower,suptband_upper,ci_lower,ci_upper,label,label_num
treatment_lead4,-0.135789322922813,0.301355994748473,-0.450594397619833,0.652704538687172,-0.729547019070622,0.457968373224995,231,prs_opened_norm,-0.94174936473231,0.670170718886683,-0.726436219155061,0.454857573309434,-5+,-5
treatment_fd_lead4,0.00869708867426031,0.247172962993133,0.0351862459750581,0.971961615525401,-0.478304502846508,0.495698680195028,231,prs_opened_norm,-0.652353413255841,0.669747590604361,-0.475753016744332,0.493147194092853,-4,-4
treatment_fd_lead3,0.0941885350105259,0.173831284200177,0.541838803319559,0.588451808094281,-0.248308925215077,0.436685995236129,231,prs_opened_norm,-0.370713678727444,0.559090748748496,-0.246514521408167,0.434891591429219,-3,-3
treatment_fd_lead2,0.0362516078807413,0.138612082776459,0.261532812685634,0.793914686794454,-0.236853929629118,0.3093571453906,231,prs_opened_norm,-0.334458787719852,0.406962003481334,-0.235423082183204,0.307926297944686,-2,-2
treatment_fd_lead1,0,0,0,0,0,0,0,0,,,,,-1,-1
treatment_fd,-0.626824308328293,0.135776179336362,-4.61659999119171,6.4742691578257e-06,-0.894342303123115,-0.359306313533472,231,prs_opened_norm,-0.989950236073664,-0.263698380582923,-0.892940729786014,-0.360707886870572,0,0
treatment_fd_lag1,-0.497577396695852,0.206363658128619,-2.41116774730621,0.016683306869036,-0.904172959267465,-0.0909818341242397,231,prs_opened_norm,-1.0494856561354,0.0543308627436947,-0.902042734345882,-0.093112059045822,1,1
treatment_fd_lag2,-0.770125325190261,0.239075787908311,-3.22126022015084,0.00146006265903801,-1.24117316066353,-0.299077489716995,231,prs_opened_norm,-1.40952037747401,-0.130730272906513,-1.23870525906609,-0.301545391314435,2,2
treatment_fd_lag3,-0.868016691263311,0.308402266347067,-2.81456002754036,0.0053057833554772,-1.47565756233951,-0.260375820187107,231,prs_opened_norm,-1.69282159911552,-0.0432117834110973,-1.47247402605409,-0.26355935647253,3,3
treatment_fd_lag4,-0.918918974304833,0.347395242127424,-2.64516856557228,0.00872546049230007,-1.60338718536681,-0.234450763242857,231,prs_opened_norm,-1.84800845235929,0.0101705037496183,-1.59980113727516,-0.238036811334512,4,4
treatment_lag5,-1.14018704502046,0.450854592150717,-2.52894628306082,0.0121077255383363,-2.0284998332114,-0.25187425682952,231,prs_opened_norm,-2.3459728673436,0.0655987773026823,-2.02384580790036,-0.25652828214056,5+,5
