term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,suptband_lower,suptband_upper,ci_lower,ci_upper,label,label_num
treatment_lead4,-10.009787056585,13.6466906148916,-0.733495565999136,0.463999982288332,-36.8976795184655,16.8781054052955,231,prs_opened_norm,-45.3821529134476,25.3625788002775,-36.7568091699333,16.7372350567633,-5+,-5
treatment_fd_lead4,-5.17328773673214,10.5800795007342,-0.488964920951031,0.625330450203642,-26.0190772311801,15.6725017577158,231,prs_opened_norm,-32.59696527554,22.2503898020757,-25.9098625117418,15.5632870382775,-4,-4
treatment_fd_lead3,-2.17345704244938,7.45298178504566,-0.29162248146244,0.77083699266282,-16.8579676254025,12.5110535405037,231,prs_opened_norm,-21.4916643547401,17.1447502698413,-16.7810329185719,12.4341188336732,-3,-3
treatment_fd_lead2,-1.3435172689075,4.90402460527021,-0.273962179444136,0.784358503415077,-11.0058515254659,8.31881698765093,231,prs_opened_norm,-14.0548007151214,11.3677661773064,-10.9552288745354,8.26819433672036,-2,-2
treatment_fd_lead1,0,0,0,0,0,0,0,0,,,,,-1,-1
treatment_fd,-11.1868717688123,4.49698571128273,-2.48763782832241,0.0135662593953739,-20.0472227227379,-2.32652081488658,231,prs_opened_norm,-22.8431061132031,0.469362575578609,-20.0008018019177,-2.37294173570687,0,0
treatment_fd_lag1,-5.23765154656003,7.18463333885107,-0.729007494124621,0.466735546447431,-19.3934387659366,8.91813567281659,231,prs_opened_norm,-23.860296858965,13.384993765845,-19.3192741328339,8.84397103971383,1,1
treatment_fd_lag2,-7.79195651490477,10.782932578101,-0.72261942272823,0.470644682313655,-29.0374247214829,13.4535116916734,231,prs_opened_norm,-35.7414313675301,20.1575183377206,-28.9261160157064,13.3422029858968,2,2
treatment_fd_lag3,-7.86797700803344,13.7437076447796,-0.572478490621998,0.567554601828778,-34.9470208296256,19.2110668135587,231,prs_opened_norm,-43.491812028548,27.7558580124812,-34.8051490058493,19.0691949897824,3,3
treatment_fd_lag4,-4.00725204487846,14.877480241654,-0.269350184291217,0.787900653004302,-33.3201528887527,25.3056487989958,231,prs_opened_norm,-42.5698375820469,34.55533349229,-33.1665774992266,25.1520734094697,4,4
treatment_lag5,-4.04246720480727,19.4863573350691,-0.207451148272445,0.835840306305432,-42.4361771001112,34.3512426904967,231,prs_opened_norm,-54.5513107277537,46.4663763181392,-42.2350257714206,34.1500913618061,5+,5
