pc_score_subset,pc_score_label,att_high,att_others_wavg,difference,difference_p_value,difference_ci_lower,difference_ci_upper,count_high
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Discussion quality $\times$ Investment in new talent,-16.3849891579203,-45.8901897816631,29.5052006237428,0.603733024040862,-82.0614258131194,141.071827060605,168
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Discussion quality $\times$ Problem-solving routines,5.62669148416078,-49.1781996320881,54.8048911162489,0.333955438224584,-56.5023152248077,166.112097457305,158
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Investment in new talent $\times$ Problem-solving routines,-45.1973911406453,-40.6770638300362,-4.52032731060901,0.939027285869242,-120.495997553392,111.455342932174,202
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,Collaboration $\times$ Knowledge level $\times$ Discussion quality,-29.471840523808,-44.1307652903909,14.6589247665829,0.832445308749492,-121.407448133564,150.72529766673,203
collaboration_pc_score x knowledge_level_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Knowledge level $\times$ Investment in new talent,8.36879917590902,-49.2094037588986,57.5782029348076,0.348520808506896,-62.996538208033,178.152944077648,151
collaboration_pc_score x knowledge_level_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Knowledge level $\times$ Problem-solving routines,16.9096264706543,-50.2565833304903,67.1662098011447,0.254121832896459,-48.4172796191102,182.749699221399,147
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Discussion quality $\times$ Investment in new talent $\times$ Problem-solving routines,-5.78060128774908,-47.7060683777995,41.9254670900504,0.482790832642315,-75.3340383764239,159.184972556525,167
knowledge_level_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,Knowledge level $\times$ Discussion quality $\times$ Investment in new talent,-53.9247917460425,-39.7652007281659,-14.1595910178767,0.827089962200338,-141.55175486343,113.232572827676,137
knowledge_level_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Discussion quality $\times$ Problem-solving routines,-3.89842671479448,-46.781761576502,42.8833348617075,0.477658101497208,-75.7127919309254,161.47946165434,139
knowledge_level_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Investment in new talent $\times$ Problem-solving routines,-22.9594816266868,-44.2701084680704,21.3106268413835,0.736681830844823,-103.191644729296,145.812898412063,147
