pc_score_subset,pattern,rank,att_doubly_robust_mean,count,p_value,ci_lower,ci_upper
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,4,-16.3849891579203,168,0.666708036823619,-91.3635059313917,58.593527615551
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,6,-33.3758903329138,169,0.582011951499819,-152.846654796681,86.0948741308535
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,7,-107.95806872294,123,0.181474411204821,-266.983024991334,51.066887545454
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,2,47.6645630603324,103,0.158913523844232,-18.9560335972227,114.285159717888
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,5,-28.8964363184107,96,0.611223470148423,-141.376693451099,83.5838208142778
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,1,73.7178320868399,136,0.0356150379633521,5.0318503028842,142.403813870796
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,8,-242.764550995013,160,0.25804108492963,-665.157730951931,179.628628961906
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,3,9.57822804149604,171,0.908112329960149,-153.993492138665,173.149948221657
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,4,5.62669148416078,158,0.883076275372091,-69.8181088369917,81.0714918053133
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,7,-51.8559826776003,179,0.374301880557616,-166.747223025341,63.0352576701405
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,6,-50.1400306820393,131,0.292225198198791,-143.938664870783,43.6586035067047
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,5,-18.958404614318,95,0.832908531002889,-196.886190669522,158.969381440886
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,2,47.2471595961475,96,0.409829608945584,-66.0551723090702,160.549491501365
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,3,19.9694114412695,136,0.567316167136444,-48.9042533091618,88.8430761917007
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,8,-261.503050103647,175,0.209613621650648,-671.359285711425,148.353185504132
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,1,54.8627090002045,156,0.216036551113686,-32.3813093982048,142.106727398614
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,6,-45.1973911406453,202,0.259611379478468,-124.031188807126,33.6364065258359
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,7,-77.5466024836165,89,0.423803969687646,-269.322495354986,114.229290387753
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,2,39.6614510983977,87,0.265240896929551,-30.6476717134193,109.970573910215
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,5,-22.6033606303178,185,0.686831326080333,-133.042889553965,87.8361682933299
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,8,-249.955404925083,169,0.21928187338772,-650.150552553655,150.239742703488
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,4,7.19629179965057,87,0.901507535801855,-108.058364055504,122.450947654805
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,3,9.95251946501083,102,0.939742635068894,-250.573523881097,270.478562811119
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,1,51.9431471876827,205,0.111843183114674,-12.1913499186546,116.07764429402
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-high-high,5,-29.471840523808,203,0.589048096538617,-136.871529663069,77.9278486154531
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-high-low,2,64.4550691068348,117,0.176843238664554,-29.4958374394103,158.40597565308
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-low-high,4,-17.9882090929852,134,0.615857060444369,-88.7359597683386,52.7595415823682
collaboration_pc_score x knowledge_level_pc_score x discussion_quality_pc_score,high-low-low,7,-145.969133423918,109,0.0739031520273254,-306.289892821396,14.3516259735607
