pc_score_subset,pattern,rank,att_doubly_robust_mean,count
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,3,15.8418505750181,89
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,8,-171.94488235681,67
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,7,-44.6398856090238,59
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,4,-8.76922313258509,56
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,1,73.0908399886355,42
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,5,-10.9014385439037,75
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,37.0937311821388,78
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,6,-38.0914965359072,77
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,2,23.6911051239697,71
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,8,-138.734716241547,85
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,7,-48.4101357882199,66
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,5,1.43345338092547,49
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,4,6.92361588373021,49
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,1,28.1316207415755,68
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,6,-11.8601215752272,83
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,3,13.120220690081,72
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,6,-17.5343273355022,96
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,4,8.83590143177725,52
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,5,4.15353478018398,41
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,8,-148.557055357543,82
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,1,50.5521721347784,81
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,2,47.9077017644223,39
