File: drive/output/derived/graph_structure/contributor_characteristics.parquet

MD5 hash: 3e10e0cdd49f07e52bbf719a3246564b

Keys: repo_name time_period actor_id 

                                           type    count  unique                           mean                  min                  25%                  50%                  75%                  max          std
repo_name                                object  1553581    7576                                                                                                                                                     
time_period                      datetime64[ns]  1553581          2019-07-25 20:40:33.931929600  2011-01-01 00:00:00  2018-01-01 00:00:00  2019-07-01 00:00:00  2021-07-01 00:00:00  2023-07-01 00:00:00             
actor_id                                 object  1553581  648024                                                                                                                                                     
total_important                           int64  1553581                               9.895165                  1.0                  1.0                  3.0                 10.0                 87.0    15.875164
total_nodes                               int64  1553581                             702.378475                  2.0                 22.0                 96.0                510.0               9778.0  1560.606117
mean_cluster_overlap                    float64  1553581                              34.805128                  0.0                  0.0            36.363636             62.44898                100.0    28.672592
avg_clusters_per_node                   float64  1553581                                1.34449                  1.0                  1.0             1.224242             1.588325             3.756757     0.389354
pct_nodes_one_cluster                   float64  1553581                              79.723908            18.181818            63.500931            80.555556                100.0                100.0    17.655549
HHI_normalized_degree                   float64  1553581                               0.497123             0.015433             0.176356             0.392029                  1.0                  1.0     0.356314
HHI_individual_coverage                 float64  1553581                                0.50326             0.015458             0.190721             0.400816                  1.0                  1.0      0.35126
HHI_individual_coverage_cluster         float64  1553581                                0.50326             0.015458             0.190721             0.400816                  1.0                  1.0      0.35126
imp_to_imp_overall                      float64  1100959                              36.312568                  1.0                 8.75            22.263158                 41.0                745.0    51.950492
imp_to_other_overall                    float64  1553368                                3.62598                  1.0             2.319027             3.044088             4.121212                190.0     2.798636
normalized_degree                       float64  1553581                               0.104953             0.000102              0.00335             0.016667             0.081081                  1.0     0.218689
imp_to_other_avg_edge_weight            float64  1553581                               1.073857                  0.0                  0.0                  1.0                  1.0               1914.0     3.309392
individual_node_coverage                float64   112904                              60.544913             0.070348            28.571429            61.363636                100.0                100.0    35.084377
individual_coverage_cluster             float64   112904                              68.209815             0.096479             36.55914            83.333333                100.0                100.0    35.265605
overall_overlap                         float64   112904                              24.978593                  0.0                  0.0                  0.0                 50.0                100.0    33.104487
weighted_overall_overlap                float64   112904                              28.178869                  0.0                  0.0                  0.0            63.636364                100.0    36.895102
important                               float64   112904                                    1.0                  1.0                  1.0                  1.0                  1.0                  1.0          0.0
imp_to_other_perc_10                    float64  1553581                               0.828475                  0.0                  0.0                  1.0                  1.0               1867.6     2.570415
imp_to_other_perc_25                    float64  1553581                               0.869547                  0.0                  0.0                  1.0                  1.0               1885.0     2.711238
imp_to_other_perc_50                    float64  1553581                               0.967371                  0.0                  0.0                  1.0                  1.0               1914.0     3.072211
imp_to_other_perc_75                    float64  1553581                               1.158582                  0.0                  0.0                  1.0                  1.0               1943.0     3.816426
imp_to_other_perc_90                    float64  1553581                               1.395985                  0.0                  0.0                  1.0                  1.0               1960.4     4.955964
imp_to_imp_avg_edge_weight              float64  1553581                               3.316676                  0.0                  1.0                  1.0                  3.0               3023.0    13.788387
imp_to_imp_perc_10                      float64  1553581                               2.579738                  0.0                  1.0                  1.0                  2.2               1182.0     8.350359
imp_to_imp_perc_25                      float64  1553581                                2.73966                  0.0                  1.0                  1.0                 2.75               1182.0     8.800743
imp_to_imp_perc_50                      float64  1553581                                3.05767                  0.0                  1.0                  1.0                  3.0               1182.0    10.032279
imp_to_imp_perc_75                      float64  1553581                               3.593845                  0.0                  1.0                  1.0                  3.0               1314.5    12.775549
imp_to_imp_perc_90                      float64  1553581                               4.166251                  0.0                  1.0                  1.0                  3.0               1834.8    16.948655
prop_important                          float64  1553581                               0.072673             0.001951               0.0162             0.035714             0.086957                  0.5      0.09552

