event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value
-18,-2.218036548176349,0.9320878144317225,-4.044928664462525,-0.3911444318901729,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-17,-1.1229260780328303,0.6093431863008731,-2.3172387231825415,0.07138656711688096,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-16,-0.18003964659349297,0.618812982046132,-1.3929130914039116,1.0328337982169256,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-15,-0.34230163853907924,0.4642011268252704,-1.2521358471166093,0.5675325700384508,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-14,-0.6103895211271594,0.3658257354877914,-1.3274079626832305,0.1066289204289117,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-13,-0.3526355820150947,0.31540970962874443,-0.9708386128874338,0.26556744885724437,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-12,-0.2835031394649178,0.3191772748702462,-0.9090905982106003,0.34208431928076477,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-11,0.01563221208233731,0.3604296768163928,-0.6908099544777926,0.7220743786424673,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-10,0.24406978080622702,0.335564150389541,-0.4136359539572734,0.9017755155697273,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-9,0.15582200103859034,0.35354875503041205,-0.5371335588210173,0.848777560898198,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-8,0.554138244906543,0.33138529092744773,-0.09537692531125463,1.2036534151243405,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-7,0.7491455548924181,0.26997035604122666,0.22000365705161384,1.2782874527332222,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-6,0.0025583783091683333,0.1941841119800847,-0.3780424811717977,0.38315923779013433,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-5,0.09673647402897077,0.12883646933359924,-0.1557830058648837,0.34925595392282527,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-4,0.009421400199755323,0.11373519017704244,-0.21349957254724786,0.2323423729467585,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-3,-0.07390681048026713,0.0995203949192069,-0.26896678452191264,0.12115316356137838,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-2,0.19306507754687816,0.08833384166429087,0.019930747884868066,0.3661994072088882,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-1,0,0,0,0,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
0,0.05599582366252566,0.14913324090281457,-0.23630532850699093,0.3482969758320422,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
1,-0.5102862374096708,0.1589986298212099,-0.8219235518592423,-0.1986489229600994,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
2,-0.5131426943878752,0.22980454145910897,-0.9635595956477288,-0.06272579312802162,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
3,-0.782317687770555,0.16198707567973497,-1.0998123561028355,-0.4648230194382745,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
4,-0.8490398756676901,0.21193201290394573,-1.2644266209594237,-0.4336531303759565,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
5,-0.8397264586298291,0.21186126421147228,-1.2549745364843148,-0.42447838077534344,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
6,-0.8537556103689633,0.24276861066421523,-1.329582087270825,-0.37792913346710144,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
7,-0.9460046626242091,0.2738877170144581,-1.482824587972547,-0.40918473727587135,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
8,-0.974737635661759,0.36148350342982005,-1.6832453023842062,-0.2662299689393117,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
9,-0.9615516817158154,0.2981690591445891,-1.54596303763921,-0.37714032579242085,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
10,-0.818069979943219,0.6732848577621349,-2.1377083011570033,0.5015683412705654,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
11,-0.4716109953978533,0.8650428863880082,-2.1670950527183495,1.2238730619226428,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
12,1.1598935032925046,2.3981564123990133,-3.540493065009561,5.860280071594571,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
13,-0.9012704021582407,0.4214666629421223,-1.7273450615248005,-0.07519574279168095,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-18,0.05695865853982573,0.6941243884812837,-1.3035251428834904,1.4174424599631417,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-17,0.5637799396125499,0.6055669746522279,-0.6231313307058167,1.7506912099309164,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-16,-0.6679728342526472,0.5417057025945223,-1.7297160113379109,0.39377034283261647,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-15,0.38823662502855394,0.6411610959553552,-0.8684391230439422,1.6449123731010502,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-14,0.6559525836170509,0.7317036093327075,-0.7781864906750559,2.0900916579091575,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-13,1.2327884916643779,0.5944963870541977,0.06757557303815043,2.3980014102906053,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-12,1.1431389314491223,0.5958783984035417,-0.02478272942181947,2.311060592320064,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-11,0.9627439394115653,0.41825844457454964,0.1429573880454481,1.7825304907776824,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-10,0.9769154962845803,0.5873814921857192,-0.17435222839942943,2.12818322096859,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-9,0.6188764038330963,0.3953307732699906,-0.15597191177608527,1.393724719442278,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-8,0.6012510233853834,0.2684089081701427,0.07516956337190372,1.1273324833988632,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-7,0.9475468167529165,0.2847189716483023,0.389497632322244,1.505596001183589,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-6,0.6251268148660148,0.22500416757655314,0.1841186464159707,1.066134983316059,important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
