candidate,group,drop_n,n,beta,se,r_squared
nbrf,control,0,2105,1.0162011710408354,0.021379730680682725,0.5177852512438561
nbrf,treated,0,705,0.2582210656838083,0.020869966934763444,0.1786136476564668
nbrf,pooled,0,2810,0.9883235382858844,0.018467288166680963,0.5048584664493172
nbrf,control,1,2104,0.9815440054393272,0.020371461026530556,0.5246957923501137
nbrf,treated,1,704,0.25635772418406716,0.018784760902061805,0.20944051623747573
nbrf,pooled,1,2809,0.9546315382001944,0.017606176150410043,0.5114788834092117
nbrf,control,3,2102,0.92517662864892,0.018925004475479717,0.5321636665175776
nbrf,treated,3,702,0.23676125749793497,0.017565201987524592,0.20583066427292407
nbrf,pooled,3,2807,0.8998005331735135,0.01636846747609308,0.5185208769668412
nbrf,control,5,2100,0.8834455308334874,0.01809108925579395,0.53185776783337
nbrf,treated,5,700,0.21867398698250612,0.0167540626410195,0.19595529287367774
nbrf,pooled,5,2805,0.8591599884271874,0.015650389638902733,0.5180212985054292
nbrf,control,10,2095,0.8294730656609148,0.016280180223761282,0.5535075802617498
nbrf,treated,10,695,0.17848195043564796,0.015840939810263896,0.15463611756300466
nbrf,pooled,10,2800,0.8065774636661891,0.014114356996995103,0.5384731450459807
