candidate,group,drop_n,n,beta,se,r_squared
glm_size2,control,0,2105,0.8202948294226697,0.021584929838290513,0.40702957309621857
glm_size2,treated,0,705,0.4479346267239201,0.02600182982254177,0.296542360465865
glm_size2,pooled,0,2810,0.8139041441401018,0.018620611138110456,0.40481627604275794
glm_size2,control,1,2104,0.8008227738632262,0.02030962784088831,0.4250610768509028
glm_size2,treated,1,704,0.44500684268936774,0.022963613218373775,0.34819121832251954
glm_size2,pooled,1,2809,0.7947467677288361,0.017529120274201285,0.4226491527900892
glm_size2,control,3,2102,0.7616502030990959,0.018569254194954508,0.44467537580311245
glm_size2,treated,3,702,0.412688217611419,0.021940853355220648,0.33540840254054705
glm_size2,pooled,3,2807,0.7561941206133418,0.016038766500967968,0.44202778535087095
glm_size2,control,5,2100,0.723634958999759,0.01779596408129652,0.4406349419197344
glm_size2,treated,5,700,0.3795575666881897,0.021561559381593803,0.3071531849505976
glm_size2,pooled,5,2805,0.7187450020520013,0.015373635470676262,0.43804574823689413
glm_size2,control,10,2095,0.6725203255138912,0.01643287640125663,0.4443972488850262
glm_size2,treated,10,695,0.3280947797134585,0.019654917731186737,0.28648402546464846
glm_size2,pooled,10,2800,0.6683627439944235,0.014204175416182706,0.44166010692669677
