candidate,group,drop_n,n,beta,se,r_squared
glm_eqw_medh,control,0,2105,1.1543427372083828,0.02850430761708143,0.4380368571834202
glm_eqw_medh,treated,0,705,0.6044661719345543,0.03341680541504293,0.31730065564212206
glm_eqw_medh,pooled,0,2810,1.1441530975768919,0.024585416392512764,0.43535123935873765
glm_eqw_medh,control,1,2104,1.1211840467657295,0.02693759092713009,0.4516801516162263
glm_eqw_medh,treated,1,704,0.5987561427543282,0.02944545684184939,0.370347263832818
glm_eqw_medh,pooled,1,2809,1.1115550984148068,0.023243902204497985,0.4488587663382254
glm_eqw_medh,control,3,2102,1.054057780687506,0.025106106370518712,0.45621598170397926
glm_eqw_medh,treated,3,702,0.5623760721720665,0.027640818189948162,0.37127440039511217
glm_eqw_medh,pooled,3,2807,1.0454954560327725,0.02167128284174465,0.4533860211520414
glm_eqw_medh,control,5,2100,1.0046035826969488,0.023952066504461137,0.4559572103348154
glm_eqw_medh,treated,5,700,0.5246918341163204,0.027906450902142763,0.33587210829940994
glm_eqw_medh,pooled,5,2805,0.9968495951595339,0.02067978787991597,0.45315875120212956
glm_eqw_medh,control,10,2095,0.9351128636102061,0.021893096567853543,0.4655945444596097
glm_eqw_medh,treated,10,695,0.46167962302270227,0.025253911174234922,0.3250429665801263
glm_eqw_medh,pooled,10,2800,0.9284861861885565,0.018915372542897588,0.4626058560736849
