candidate,group,drop_n,n,beta,se,r_squared
pooled_decay,control,0,2105,0.6760994059475809,0.02101770570432261,0.3296771177926008
pooled_decay,treated,0,705,0.4230161310632524,0.0269225475807227,0.2596312532687367
pooled_decay,pooled,0,2810,0.6725120869940733,0.018140535832760107,0.3285299022537723
pooled_decay,control,1,2104,0.6594857725275832,0.019863967244738483,0.3438882947988482
pooled_decay,treated,1,704,0.4172491321398062,0.024013232504370704,0.30044073708990393
pooled_decay,pooled,1,2809,0.6561249907750135,0.017151476018006845,0.34260798450967367
pooled_decay,control,3,2102,0.6350515678157551,0.01803652466226065,0.37108756124251363
pooled_decay,treated,3,702,0.3845758531586107,0.022965353144319543,0.2857329694046943
pooled_decay,pooled,3,2807,0.6320261129242147,0.015586081890969357,0.3694887983463554
pooled_decay,control,5,2100,0.6073496567511203,0.017082455404976143,0.37587105074418503
pooled_decay,treated,5,700,0.35200752349178377,0.022478539609990224,0.25971165635815197
pooled_decay,pooled,5,2805,0.6046901761707005,0.014767793206594389,0.3741937387225217
pooled_decay,control,10,2095,0.5635557173202429,0.015640223089645494,0.3827266386343161
pooled_decay,treated,10,695,0.2960286096765562,0.020575901521116807,0.22973628546697444
pooled_decay,pooled,10,2800,0.5614654785397535,0.013531320570167855,0.38085259036436747
