repo_name,quasi_event_time,is_treated,pull_request_opened
0rpc/zerorpc-python,-12,FALSE,3
0rpc/zerorpc-python,-11,FALSE,4
0rpc/zerorpc-python,-10,FALSE,4
0rpc/zerorpc-python,-9,FALSE,2
0rpc/zerorpc-python,-8,FALSE,3
0rpc/zerorpc-python,-7,FALSE,2
0rpc/zerorpc-python,-6,FALSE,1
0rpc/zerorpc-python,-5,FALSE,2
0rpc/zerorpc-python,-4,FALSE,3
0rpc/zerorpc-python,-3,FALSE,1
0rpc/zerorpc-python,-2,FALSE,2
0rpc/zerorpc-python,-1,FALSE,0
0rpc/zerorpc-python,0,FALSE,1
0rpc/zerorpc-python,1,FALSE,0
0rpc/zerorpc-python,2,FALSE,6
0rpc/zerorpc-python,3,FALSE,0
0rpc/zerorpc-python,4,FALSE,0
0rpc/zerorpc-python,5,FALSE,1
0rpc/zerorpc-python,6,FALSE,0
0rpc/zerorpc-python,7,FALSE,0
0rpc/zerorpc-python,8,FALSE,0
0xproject/0x-monorepo,-6,FALSE,9
0xproject/0x-monorepo,-5,FALSE,155
0xproject/0x-monorepo,-4,FALSE,379
0xproject/0x-monorepo,-3,FALSE,485
0xproject/0x-monorepo,-2,FALSE,311
0xproject/0x-monorepo,-1,FALSE,396
0xproject/0x-monorepo,0,FALSE,173
0xproject/0x-monorepo,1,FALSE,113
0xproject/0x-monorepo,2,FALSE,3
0xproject/0x-monorepo,3,FALSE,0
0xproject/0x-monorepo,4,FALSE,0
0xproject/0x-monorepo,5,FALSE,0
0xproject/0x-monorepo,6,FALSE,0
0xproject/0x-monorepo,7,FALSE,0
0xproject/0x-monorepo,8,FALSE,0
0xproject/0x-monorepo,9,FALSE,0
0xproject/0x-monorepo,10,FALSE,0
8080labs/ppscore,-5,FALSE,0
8080labs/ppscore,-4,FALSE,0
8080labs/ppscore,-3,FALSE,4
8080labs/ppscore,-2,FALSE,2
8080labs/ppscore,-1,FALSE,1
8080labs/ppscore,0,FALSE,4
8080labs/ppscore,1,FALSE,0
8080labs/ppscore,2,FALSE,2
8080labs/ppscore,3,FALSE,0
8080labs/ppscore,4,FALSE,0
8080labs/ppscore,5,FALSE,1
8080labs/ppscore,6,FALSE,0
8080labs/ppscore,7,FALSE,1
aboutcode-org/scancode-toolkit,-10,FALSE,27
aboutcode-org/scancode-toolkit,-9,FALSE,35
aboutcode-org/scancode-toolkit,-8,FALSE,47
aboutcode-org/scancode-toolkit,-7,FALSE,86
aboutcode-org/scancode-toolkit,-6,FALSE,67
aboutcode-org/scancode-toolkit,-5,FALSE,85
aboutcode-org/scancode-toolkit,-4,FALSE,87
aboutcode-org/scancode-toolkit,-3,FALSE,127
aboutcode-org/scancode-toolkit,-2,FALSE,103
aboutcode-org/scancode-toolkit,-1,FALSE,62
aboutcode-org/scancode-toolkit,0,FALSE,83
aboutcode-org/scancode-toolkit,1,FALSE,80
aboutcode-org/scancode-toolkit,2,FALSE,49
aboutcode-org/scancode-toolkit,3,FALSE,69
aboutcode-org/scancode-toolkit,4,FALSE,51
aboutcode-org/scancode-toolkit,5,FALSE,61
aboutcode-org/scancode-toolkit,6,FALSE,42
aboutcode-org/scancode-toolkit,7,FALSE,42
aboutcode-org/scancode-toolkit,8,FALSE,58
aboutcode-org/scancode-toolkit,9,FALSE,67
abseil/abseil-py,-8,FALSE,25
abseil/abseil-py,-7,FALSE,22
abseil/abseil-py,-6,FALSE,14
abseil/abseil-py,-5,FALSE,7
abseil/abseil-py,-4,FALSE,6
abseil/abseil-py,-3,FALSE,2
