label,sample,outcome,normalize,event_time,p2.5,p50,p97.5,actual
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,-5,0.07386763509054509,0.2055139955839808,0.40129190811202003,0.12419445481089417
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,-4,-0.014615760654624079,0.09973121133985707,0.22629725561714195,0.03873932538808475
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,-3,0.033312138104799036,0.11866741376890155,0.21650251111574426,0.0898628379862093
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,-2,0.08286281387431355,0.14507956419642543,0.2187094391183561,0.18455739406043362
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,0,-0.20522158886621905,-0.09898975579877067,-0.04864442560413459,-0.04863154387457416
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,1,-0.6924751075355489,-0.586012779957984,-0.5036979458475614,-0.5047275770108501
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,2,-0.8284378355016546,-0.7157288800961807,-0.59533000857703,-0.5656948446437997
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,3,-0.9671071207444867,-0.7745579415702379,-0.6606223130005531,-0.583876732974844
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,4,-1.0796784590081192,-0.8079277446971951,-0.6351954376184143,-0.5620099169933098
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,TRUE,5,-1.4172748688891044,-1.1351529401126796,-0.8750343743403731,-0.6900974596439363
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,-5,-0.12622749410287584,0.12233155890720507,0.3935152576911719,-0.11079755250686008
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,-4,-0.18180490873960253,0.07234559474508925,0.2694198041138717,-0.14041821818607333
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,-3,-0.1780906373784551,0.04390429418217007,0.28155465842466554,-0.005971906751003196
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,-2,-0.2515502692326344,0.004751980018907516,0.24993407919756297,0.015462113378540903
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,0,-0.10701414868621209,0.1277544772303153,0.4050646238167275,0.005595371472691554
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,1,-0.9670184876499419,-0.6754079403535962,-0.4387627823954152,-0.5053113909146367
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,2,-1.1111746951169874,-0.768497671464102,-0.44764637665306806,-0.5466947981718286
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,3,-1.0874620335973835,-0.7912042664844172,-0.4805733729338767,-0.5109849838953748
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,4,-1.1016782849710278,-0.7380962803309633,-0.27702418082562097,-0.5068133455498472
glm_trend3_eqw_ctrliso,exact1,pull_request_reviewed,TRUE,5,-0.9959359309001486,-0.5777105337971409,-0.07789005769731795,-0.6694857974165168
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,-5,-0.20470191449850014,0.03185145492927598,0.3043291417051444,0.25389977477962344
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,-4,-0.2356381837530655,0.02451823468062262,0.2850677218984944,0.29801955068160435
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,-3,-0.2567143031567817,0.040691050432204307,0.24234692899140647,0.15333041890458926
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,-2,-0.34117185711637443,-0.021360408493016462,0.256201953679392,0.29984162329512987
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,0,-0.163513064156379,0.1181638898761182,0.4432148134364263,0.02903244409463894
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,1,-1.0041454672341954,-0.7189576528797359,-0.39808467095310984,-0.17490797792095003
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,2,-1.0304321990119973,-0.7594899671839392,-0.41428879997160706,-0.3378567814525527
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,3,-1.0323627996358935,-0.7784175577365502,-0.40811618788411597,-0.31463165057621234
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,4,-0.9254091834879636,-0.6375055773082233,-0.27409392092186186,-0.29628968005266737
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_direct,TRUE,5,-0.9053744416441601,-0.5796753304233498,-0.1360877106140264,-0.2889754842780246
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,-5,-0.1782370019960112,0.07079202489031038,0.36003173986312087,-0.00929158538824065
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,-4,-0.18157679523419065,0.04305559022610749,0.31159078168568843,-0.10620699546037435
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,-3,-0.21683884635405315,0.01515819108882252,0.2790828712162406,0.07576400735300273
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,-2,-0.26905974957644324,0.004953518298939013,0.23741063616119767,0.1221026479874486
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,0,-0.13296565091496437,0.13041096662336177,0.4345558726516924,0.027110477935613164
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,1,-1.0548371656956512,-0.7805100549003202,-0.5637985929726975,-0.3951862824061332
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,2,-1.1319771683746285,-0.8389479557901836,-0.5842183272990715,-0.3827360766680092
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,3,-1.108874737989428,-0.8664787782940361,-0.5949367583517692,-0.29146383470866866
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,4,-1.2197456029015155,-0.7894030443587587,-0.4313099652594453,-0.20676532943928205
glm_trend3_eqw_ctrliso,exact1,pull_request_merged_after_review,TRUE,5,-1.195434148622871,-0.6995892312699268,-0.2829280627249451,-0.48482156786757347
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,-5,-0.1550737698500347,0.09826255949504857,0.3746729771023827,0.16881265387408922
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,-4,-0.195089345517383,0.07529684363203595,0.30105043744367643,0.08732706306969196
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,-3,-0.20541475421482538,0.05126772410085115,0.2932338580751881,0.14317725909281953
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,-2,-0.2692411992001884,0.0012322451006655782,0.24391267923702317,0.253336909098501
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,0,-0.19618779084067148,0.17652431357019177,0.4396026312796763,-0.03404190559225906
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,1,-1.1950844358279857,-0.904657810916442,-0.621982786801197,-0.43788302995887934
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,2,-1.2869471026846933,-0.9903806092663541,-0.6774476612174087,-0.46307915550810924
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,3,-1.2859269055220477,-1.011687415762068,-0.6896106403066269,-0.4543003914579925
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,4,-1.3424594071229508,-0.9084710117985197,-0.4994636548603053,-0.347323288331081
glm_trend3_eqw_ctrliso,exact1,pull_request_merged,TRUE,5,-1.3708617888420658,-0.8014007418799598,-0.3704957879628063,-0.5091411209043544
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,-5,-1.7283796723752287,-0.3418730904141024,1.9656761795916462,1.9486762073213642
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,-4,-1.11640686694159,-0.11597229050519284,1.300821344837607,1.3681481095904922
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,-3,-0.711040710757672,0.16621044534689403,1.224756083204562,1.1679769839342096
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,-2,-0.306961971059843,0.3405527787949757,1.1619635658756842,1.2117007954556493
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,-1,0,0,0,0
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,0,-2.3421007494412027,-1.5099515224323337,-0.7699890601626391,-1.1181365381968265
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,1,-3.0247269132428323,-1.7869831385684551,-0.9664345896573785,-1.201688901277231
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,2,-2.7488775693350656,-1.7384872774798468,-0.33067071514657775,-0.6214089194709993
glm_trend3_eqw_ctrliso,exact1,pull_request_opened,FALSE,3,-3.0131427774231208,-0.978344709682086,0.33257188004309435,0.06257551475345924
