candidate,group,drop_n,n,beta,se,r_squared
glm_eqw10,control,0,2105,0.9844204942923054,0.02399204816293106,0.4444961374877815
glm_eqw10,treated,0,705,0.45911036528659427,0.028038297729558605,0.2758103522064017
glm_eqw10,pooled,0,2810,0.9739238460194463,0.020697724106170694,0.4407878818652887
glm_eqw10,control,1,2104,0.9469058346416492,0.022986918831918796,0.44656199937809415
glm_eqw10,treated,1,704,0.45592169803149973,0.024861634077281668,0.32358031608735305
glm_eqw10,pooled,1,2809,0.9370403724113319,0.01983421444780665,0.44285282875872345
glm_eqw10,control,3,2102,0.8978619796902686,0.021088604262406035,0.4631664459595398
glm_eqw10,treated,3,702,0.42562316068537676,0.023877962214971647,0.3118872250815149
glm_eqw10,pooled,3,2807,0.8888767367284646,0.01820956426117022,0.4592177891459859
glm_eqw10,control,5,2100,0.8559612673732728,0.02012677959629899,0.46285144153375046
glm_eqw10,treated,5,700,0.390436170476834,0.0236904430275631,0.27983802865071805
glm_eqw10,pooled,5,2805,0.8476867718971042,0.017383239778967562,0.45889476135175966
glm_eqw10,control,10,2095,0.7929417403775376,0.018809245187387927,0.45908446738197217
glm_eqw10,treated,10,695,0.33668227947893914,0.021307138719777515,0.26458412411780996
glm_eqw10,pooled,10,2800,0.7856047344550618,0.01624997400305942,0.4550485627133277
