repo_name,is_treated
laurent-laporte-pro/deprecated,FALSE
lebedov/python-pdfbox,FALSE
level12/webgrid,FALSE
linkchecker/linkchecker,TRUE
linnarsson-lab/loompy,TRUE
lutzroeder/netron,FALSE
m-click/requests_pkcs12,FALSE
mahmoud/boltons,FALSE
mahmoud/glom,FALSE
maltegotech/maltego-trx,TRUE
man-group/dtale,FALSE
mapillary/inplace_abn,TRUE
mar10/wsgidav,FALSE
marazt/object-mapper,TRUE
mariostoev/finviz,TRUE
matrix-org/matrix-synapse-ldap3,TRUE
mattijn/topojson,FALSE
maxhumber/gif,FALSE
maxpumperla/hyperas,TRUE
mcmtroffaes/sphinxcontrib-bibtex,FALSE
meerk40t/svgelements,FALSE
mercadopago/sdk-python,TRUE
mesa/mesa,FALSE
meshcat-dev/meshcat-python,FALSE
mgedmin/check-manifest,FALSE
mhinz/neovim-remote,TRUE
micktwomey/pyiso8601,FALSE
microsoft/blingfire,TRUE
microsoft/iqsharp,TRUE
microsoft/knack,FALSE
microsoft/msticpy,FALSE
miguelgrinberg/flask-httpauth,FALSE
miguelgrinberg/flask-socketio,FALSE
miguelgrinberg/python-socketio,FALSE
miki725/django-url-filter,FALSE
mindspore-ai/mindspore,FALSE
minimaxir/textgenrnn,FALSE
missinglinkelectronics/sphinxcontrib-svg2pdfconverter,TRUE
mkorman90/regipy,TRUE
mocnik-science/osm-python-tools,FALSE
mongodb-labs/flask-pymongo,FALSE
morgan-at-keysight/pyarbtools,FALSE
moses-palmer/pynput,FALSE
mosquito/aiormq,FALSE
mozilla/bleach,FALSE
mozillazg/python-pinyin,FALSE
mozman/ezdxf,FALSE
mrf345/flask_minify,FALSE
multiformats/multihash,FALSE
mutpy/mutpy,TRUE
muxinc/mux-python,FALSE
nanopb/nanopb,FALSE
nanoporetech/medaka,FALSE
nanoporetech/ont_fast5_api,TRUE
ndokter/dsmr_parser,FALSE
neka-nat/probreg,FALSE
neo4j-contrib/neomodel,FALSE
neo4j-contrib/py2neo,FALSE
nephila/djangocms-redirect,FALSE
netaddr/netaddr,FALSE
nfcpy/nfcpy,FALSE
ngageoint/sarpy,TRUE
nitmir/django-cas-server,FALSE
nmslib/hnswlib,FALSE
noirello/pyorc,FALSE
noxdafox/pebble,FALSE
numirias/pytest-json-report,FALSE
oasis-open/cti-taxii-client,FALSE
ofek/bit,TRUE
ofw/curlify,FALSE
olucurious/pyfcm,FALSE
onelogin/onelogin-python-aws-assume-role,TRUE
online-judge-tools/api-client,TRUE
online-judge-tools/oj,TRUE
open-mmlab/mmdetection,FALSE
openai/openai-python,FALSE
openatx/facebook-wda,FALSE
openedx-unsupported/xblock-utils,TRUE
openedx/django-config-models,TRUE
openedx/edx-search,FALSE
openedx/edx-toggles,FALSE
openedx/xblock-lti-consumer,TRUE
openfisca/openfisca-france,FALSE
orcasgit/django-fernet-fields,TRUE
osmr/imgclsmob,FALSE
pahaz/sshtunnel,FALSE
pallets-eco/secure-cookie,FALSE
pallets/click,FALSE
pappasam/jedi-language-server,FALSE
parrt/dtreeviz,FALSE
paulfitz/daff,FALSE
paulocheque/django-dynamic-fixture,TRUE
pdfminer/pdfminer.six,FALSE
peopledoc/django-chartjs,FALSE
peplin/pygatt,FALSE
perrygeo/python-rasterstats,FALSE
peterbe/django-cache-memoize,FALSE
pexpect/pexpect,FALSE
phonopy/phono3py,FALSE
plangrid/flask-rebar,TRUE
plone/mockup,FALSE
plone/plone.app.caching,FALSE
plone/plone.staticresources,FALSE
plone/plone.testing,TRUE
plotly/dash,FALSE
popsim-consortium/stdpopsim,FALSE
postlund/pyatv,FALSE
pqzx/html2docx,TRUE
prestodb/presto-python-client,TRUE
projectfluent/python-fluent,TRUE
prompt-toolkit/ptpython,FALSE
proplot-dev/proplot,FALSE
prschmid/zoomus,FALSE
pschmitt/pynuki,FALSE
psychrometrics/psychrolib,TRUE
pulp/pulp_rpm,FALSE
pulp/pulpcore,FALSE
pulumi/pulumi-aws,FALSE
pulumi/pulumi-gcp,FALSE
pulumi/pulumi-hcloud,FALSE
pulumi/pulumi-kubernetes,FALSE
py-pa/django-minio-storage,FALSE
pybind/pybind11,FALSE
pycaret/pycaret,FALSE
pydicom/pynetdicom,FALSE
pyecharts/pyecharts,FALSE
pyexcel/pyexcel-xlsx,TRUE
pyiron/pyiron,FALSE
pylessard/python-udsoncan,FALSE
pympler/pympler,TRUE
pypa/trove-classifiers,FALSE
pypa/wheel,FALSE
pyradius/pyrad,TRUE
pysal/mapclassify,FALSE
pytest-dev/pytest-asyncio,FALSE
pytest-dev/pytest-rerunfailures,FALSE
pytest-dev/pytest-services,FALSE
pytest-dev/pytest-subtests,FALSE
python-greenlet/greenlet,FALSE
python-kasa/python-kasa,FALSE
python-openapi/openapi-core,FALSE
python-rope/rope,FALSE
python-trio/trio-websocket,FALSE
python/cherry-picker,FALSE
pytorch/vision,FALSE
pyvisa/pyvisa-py,FALSE
pyxem/pyxem,FALSE
qix-/better-exceptions,FALSE
qmk/qmk_cli,TRUE
quantopian/trading_calendars,TRUE
qutip/qutip,FALSE
r1chardj0n3s/parse,FALSE
ranaroussi/qtpylib,TRUE
raphaelm/python-fints,FALSE
readthedocs/recommonmark,FALSE
