candidate,group,drop_n,n,beta,se,r_squared
flat,control,0,2105,0.5633782031346963,0.016737849365531687,0.3500001819391373
flat,treated,0,705,0.3423720176032371,0.021661352795479143,0.2619144309738246
flat,pooled,0,2810,0.5602233009253674,0.014448884786283821,0.34861166648255615
flat,control,1,2104,0.5495871274188835,0.01580422923973454,0.3650896905280052
flat,treated,1,704,0.33806983379181976,0.01930412474291878,0.3037530221660746
flat,pooled,1,2809,0.5466206533705023,0.01364863649796277,0.3635481765308608
flat,control,3,2102,0.5269280848631659,0.014378380409286138,0.3899572352394737
flat,treated,3,702,0.3114892722577649,0.018413427062882088,0.28988588229733014
flat,pooled,3,2807,0.5242715281037693,0.012427149970544114,0.38811017664267766
flat,control,5,2100,0.5038003214141162,0.013647460020216063,0.3936576431142468
flat,treated,5,700,0.2862973838870025,0.01799057520053579,0.265946913566398
flat,pooled,5,2805,0.5014443080319861,0.011800098129760739,0.39173314362151723
flat,control,10,2095,0.4689325920640542,0.012470644058868217,0.40307516490608064
flat,treated,10,695,0.24105985949411587,0.016424149905295567,0.23687540841001287
flat,pooled,10,2800,0.4670271976959137,0.010791479220183033,0.40089046178752274
