candidate,group,drop_n,n,beta,se,r_squared
ar1_partial,control,0,2105,1.0507848779071096,0.03050685636507398,0.3605649016515683
ar1_partial,treated,0,705,0.6499276930988427,0.03892523792415677,0.2836674758888541
ar1_partial,pooled,0,2810,1.0449784689188486,0.026330777534528223,0.3592645312672331
ar1_partial,control,1,2104,1.0295590637800762,0.02869096814657683,0.379772694221591
ar1_partial,treated,1,704,0.6415620607381198,0.03457450272353711,0.3287645703027142
ar1_partial,pooled,1,2809,1.0240495123094768,0.024774971378634887,0.37827996848182754
ar1_partial,control,3,2102,0.9909981451765899,0.025980528116812517,0.4091602229746222
ar1_partial,treated,3,702,0.5962089110843971,0.032724396384614066,0.3213515907103006
ar1_partial,pooled,3,2807,0.9860249482531076,0.022453691506319033,0.40731842935305673
ar1_partial,control,5,2100,0.9498820794174692,0.02460771097668538,0.4151633995347802
ar1_partial,treated,5,700,0.5528444562140838,0.03259707452964494,0.2915346147856097
ar1_partial,pooled,5,2805,0.9454479419320472,0.02127629608676095,0.4132195259019553
ar1_partial,control,10,2095,0.8796159216611417,0.022730198778708247,0.41696390481237666
ar1_partial,treated,10,695,0.47109507736468986,0.03042563575006248,0.25675123214712603
ar1_partial,pooled,10,2800,0.8760820644681182,0.019665434209725465,0.4148811424152298
