candidate,group,drop_n,n,beta,se,r_squared
glm_trend3_eqw,control,0,2105,0.8360671622167918,0.02238478065423353,0.39868668475817304
glm_trend3_eqw,treated,0,705,0.4430430192588311,0.027653666294527837,0.26718318714633904
glm_trend3_eqw,pooled,0,2810,0.8294758331518053,0.019316958413112085,0.39628642039455897
glm_trend3_eqw,control,1,2104,0.8072254749645944,0.021319168071039698,0.4053728585207492
glm_trend3_eqw,treated,1,704,0.44012161015577606,0.024553345327712136,0.31368423480878893
glm_trend3_eqw,pooled,1,2809,0.8010706755011893,0.01840290242873456,0.4029120322453189
glm_trend3_eqw,control,3,2102,0.7759713814821172,0.019282562653676397,0.43528017547519493
glm_trend3_eqw,treated,3,702,0.40981423234677683,0.023973145850762847,0.2942215093830459
glm_trend3_eqw,pooled,3,2807,0.7703143734050416,0.01666098832395596,0.432401987965485
glm_trend3_eqw,control,5,2100,0.7385483578945684,0.018494073316430666,0.4317428725977903
glm_trend3_eqw,treated,5,700,0.37897999252343717,0.02323621039935343,0.2756570145179239
glm_trend3_eqw,pooled,5,2805,0.7334147059963818,0.015982938030440937,0.42887975302159265
glm_trend3_eqw,control,10,2095,0.6848741524078392,0.017165081704214737,0.43189701125540336
glm_trend3_eqw,treated,10,695,0.32768007314319825,0.020705785374486675,0.26517882412080873
glm_trend3_eqw,pooled,10,2800,0.6804729534442098,0.014842155631979787,0.4288892778620639
