candidate,group,drop_n,n,beta,se,r_squared
bin_decay,control,0,2105,0.6431134071475155,0.019396951005342236,0.343173176217741
bin_decay,treated,0,705,0.4892106590375631,0.026628821161166414,0.3240589915709754
bin_decay,pooled,0,2810,0.641339072841519,0.016754369605168202,0.342812562998859
bin_decay,control,1,2104,0.6269795419332724,0.01832911051146464,0.3574903606271116
bin_decay,treated,1,704,0.4838112498542132,0.02345727635968343,0.37699357935014843
bin_decay,pooled,1,2809,0.6253865273097785,0.01583767206926983,0.3570317156997431
bin_decay,control,3,2102,0.6027019322149205,0.016647190306199156,0.38418885985479834
bin_decay,treated,3,702,0.4539505171700353,0.022883538831116212,0.35953864029783844
bin_decay,pooled,3,2807,0.6013836154502102,0.014394789155120189,0.3834850909148557
bin_decay,control,5,2100,0.5734162718447481,0.015926174859533695,0.3817987523000165
bin_decay,treated,5,700,0.4198701760918422,0.023240175115064435,0.31831535963958923
bin_decay,pooled,5,2805,0.5724187430990852,0.013775333578892901,0.38111464589470756
bin_decay,control,10,2095,0.5269161755694618,0.014892933660184043,0.3741340306286972
bin_decay,treated,10,695,0.3661251261493127,0.02144473007234358,0.2957790313629721
bin_decay,pooled,10,2800,0.5264470036713625,0.012887758713845888,0.3734903522793871
