candidate,group,drop_n,n,beta,se,r_squared
glm_offset,control,0,2105,0.7299669209996409,0.019003554470119418,0.41220699554874773
glm_offset,treated,0,705,0.4675793225678744,0.02709155413284985,0.29732171509493044
glm_offset,pooled,0,2810,0.7267111129085897,0.01642328029376481,0.41073555078449353
glm_offset,control,1,2104,0.7066012368978668,0.018043611302654146,0.4217068391270773
glm_offset,treated,1,704,0.46431871352163573,0.0239283203889266,0.34879504998376265
glm_offset,pooled,1,2809,0.7036153223589545,0.015599192339941425,0.4201390841358571
glm_offset,control,3,2102,0.6706136318518563,0.016541882205494404,0.43891334965883266
glm_offset,treated,3,702,0.4332291703995238,0.023233559378554095,0.3315529404218853
glm_offset,pooled,3,2807,0.6680493229229681,0.014311020954479461,0.4371218664793519
glm_offset,control,5,2100,0.6336865390746904,0.016057076470663748,0.4259470004774517
glm_offset,treated,5,700,0.39864524189007344,0.023044786879443484,0.29977152114946304
glm_offset,pooled,5,2805,0.6315256461935659,0.013893064344171098,0.42426123519235337
glm_offset,control,10,2095,0.5851326785617241,0.014966217791111201,0.42195692021525877
glm_offset,treated,10,695,0.3433012272635682,0.02112790315849531,0.2755897372330942
glm_offset,pooled,10,2800,0.5835283235141483,0.012956447782238367,0.42018387071312124
