candidate,group,drop_n,n,beta,se,r_squared
ml_rf,control,0,2105,1.0173896473218154,0.021007474263976863,0.5271330081035159
ml_rf,treated,0,705,0.24528502107545785,0.020625558364771358,0.16728415154477583
ml_rf,pooled,0,2810,0.9883928481968323,0.01816079312303012,0.5132585302914989
ml_rf,control,1,2104,0.9828435376771103,0.02001381014230874,0.5341802614549365
ml_rf,treated,1,704,0.24342546394212586,0.018594014055430673,0.19601101468743853
ml_rf,pooled,1,2809,0.9548144449721132,0.017312478275370927,0.5199771653719494
ml_rf,control,3,2102,0.9266829851122854,0.01858824866211642,0.5419002967701005
ml_rf,treated,3,702,0.2245482853783134,0.01737784627874926,0.1923645136990899
ml_rf,pooled,3,2807,0.900193395505964,0.01609302912852707,0.5272059973995267
ml_rf,control,5,2100,0.884174259616457,0.017836291783752588,0.5393239999517958
ml_rf,treated,5,700,0.206383997512415,0.016601507062760555,0.18106321064697206
ml_rf,pooled,5,2805,0.8587554905847465,0.015442862127122642,0.5244485943930153
ml_rf,control,10,2095,0.8290420611087137,0.01614110337927093,0.5574877404304692
ml_rf,treated,10,695,0.16643759445670553,0.015684184340794986,0.13960954113683022
ml_rf,pooled,10,2800,0.8049839315697662,0.014003583697645863,0.5414051112313635
