candidate,group,drop_n,n,beta,se,r_squared
glm_perm_openers,control,0,2105,0.7345269077412722,0.022949739376672062,0.3274468309690749
glm_perm_openers,treated,0,705,0.4335145555686813,0.026737758517061016,0.2718847471443038
glm_perm_openers,pooled,0,2810,0.7294845819656537,0.01978450198154592,0.3261379054365239
glm_perm_openers,control,1,2104,0.7169903247264253,0.02168112262436108,0.3421158574524258
glm_perm_openers,treated,1,704,0.4309932602792113,0.023711689130197784,0.3197092558824982
glm_perm_openers,pooled,1,2809,0.71222999710401,0.018698170029109652,0.3406773211967534
glm_perm_openers,control,3,2102,0.6849785782205664,0.019812202419279615,0.3626248388895227
glm_perm_openers,treated,3,702,0.402512241518717,0.022196854735071325,0.3193070667550203
glm_perm_openers,pooled,3,2807,0.6807305304414297,0.017098018731988046,0.36098134081942235
glm_perm_openers,control,5,2100,0.6527535354182139,0.018821482309860783,0.3642847596203801
glm_perm_openers,treated,5,700,0.3704351084877213,0.021673358252239636,0.29474232614487783
glm_perm_openers,pooled,5,2805,0.649004800963422,0.016248191013639973,0.3626489813638659
glm_perm_openers,control,10,2095,0.6015158504457303,0.017247656016399885,0.3674253379318254
glm_perm_openers,treated,10,695,0.3225938525564759,0.019188694425663698,0.28939456698900623
glm_perm_openers,pooled,10,2800,0.5985673429536096,0.014898892494217341,0.3657453566754454
