candidate,group,drop_n,n,beta,se,r_squared
ml_gbm,control,0,2105,0.9756723557202969,0.02197794717939585,0.4836505769226065
ml_gbm,treated,0,705,0.30318570397743533,0.022786203353953132,0.20094511486653566
ml_gbm,pooled,0,2810,0.9556093022472187,0.018961746812878714,0.47483807921912324
ml_gbm,control,1,2104,0.9389069162500994,0.021078534242943644,0.4854546389514178
ml_gbm,treated,1,704,0.3003624531142313,0.020460866119886914,0.2346200049505731
ml_gbm,pooled,1,2809,0.9196791063859313,0.018189227922569457,0.4765578903317964
ml_gbm,control,3,2102,0.8824297505117185,0.019640963266141082,0.4899900798948803
ml_gbm,treated,3,702,0.27319155629318087,0.019382456474033492,0.22081931963216994
ml_gbm,pooled,3,2807,0.8645278310001632,0.016956553333493878,0.48089504637798364
ml_gbm,control,5,2100,0.8453135286499742,0.018637032610490552,0.49497458752241474
ml_gbm,treated,5,700,0.253534796710233,0.018570498458653634,0.21051947170400653
ml_gbm,pooled,5,2805,0.8282774337182874,0.01609735428094881,0.48564999741062276
ml_gbm,control,10,2095,0.7995396596853684,0.016609173259334187,0.5253109922819243
ml_gbm,treated,10,695,0.2124428858955895,0.017195564320947036,0.1802834130846459
ml_gbm,pooled,10,2800,0.7835167618775363,0.014376512668904181,0.5148395905812619
