candidate,group,drop_n,n,beta,se,r_squared
glm_perm_only,control,0,2105,0.7917927657669224,0.024260160345952544,0.33611240597676295
glm_perm_only,treated,0,705,0.40449376694058903,0.024496990490310875,0.279165203178419
glm_perm_only,pooled,0,2810,0.7831791452356105,0.02086964503455438,0.33393245869269317
glm_perm_only,control,1,2104,0.7718711367919135,0.022932407606055215,0.3501028559686078
glm_perm_only,treated,1,704,0.4016203819872628,0.021710368820951842,0.3274101156360385
glm_perm_only,pooled,1,2809,0.7636771962321028,0.019735218429449038,0.34779471604149725
glm_perm_only,control,3,2102,0.7388746472017224,0.020912781922108603,0.3727041747857577
glm_perm_only,treated,3,702,0.3715596333531013,0.020609673475850254,0.31677981436843883
glm_perm_only,pooled,3,2807,0.7313749493959334,0.018010241914911875,0.37015686209381504
glm_perm_only,control,5,2100,0.7067359283804255,0.019785894369798857,0.3780482453416122
glm_perm_only,treated,5,700,0.34191279725812657,0.020097230290953224,0.29282493584185965
glm_perm_only,pooled,5,2805,0.6998900084076567,0.017045494129301602,0.37549184042546635
glm_perm_only,control,10,2095,0.6555609145443198,0.018033799196709235,0.38690412637097316
glm_perm_only,treated,10,695,0.2944134128037674,0.018048244454123535,0.27715880430037776
glm_perm_only,pooled,10,2800,0.6497328167364345,0.015545736978744805,0.3842688611250449
