candidate,group,drop_n,n,beta,se,r_squared
glm_eqw_mean3,control,0,2105,0.7236529336699483,0.021263090592397144,0.35504929858147294
glm_eqw_mean3,treated,0,705,0.43320851301498203,0.025777937585401357,0.28630908940563626
glm_eqw_mean3,pooled,0,2810,0.7190558919424428,0.018340948693870655,0.3536626625296201
glm_eqw_mean3,control,1,2104,0.7029610703411022,0.020142223776060834,0.36675722970541036
glm_eqw_mean3,treated,1,704,0.429411642531497,0.022836364924949552,0.3346488148556035
glm_eqw_mean3,pooled,1,2809,0.6986738305305595,0.017380230292488367,0.365278444090271
glm_eqw_mean3,control,3,2102,0.6803697426598971,0.01817481903394056,0.40011881871107025
glm_eqw_mean3,treated,3,702,0.4004523629077203,0.022115902213881246,0.3186653570311426
glm_eqw_mean3,pooled,3,2807,0.6764289713470991,0.015696728396319658,0.39824931612022185
glm_eqw_mean3,control,5,2100,0.6515832372287729,0.017207753548118484,0.4058553101922995
glm_eqw_mean3,treated,5,700,0.3674387626202502,0.021954082032213756,0.28609140445076375
glm_eqw_mean3,pooled,5,2805,0.6480581769687088,0.014867509595877642,0.4039104190535302
glm_eqw_mean3,control,10,2095,0.605597753157916,0.01589925045006917,0.40927982419659004
glm_eqw_mean3,treated,10,695,0.3203198758783693,0.019516353884003017,0.27962201818789034
glm_eqw_mean3,pooled,10,2800,0.6026924284314121,0.013744851783495212,0.40720493351062703
