outcome_sample,importance_type,rolling,qualified_sample,control_group,split_type,split_covar,split_value,category,outcome,normalize,method,event_time,estimate,sd,ci_low,ci_high
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-15,-1.27584311646101,0.819256169173208,-2.8815852080405,0.329898975118473
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-14,-0.471355440640312,0.729388839848508,-1.90095756674339,0.958246685462763
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-13,0.310738652693995,0.71007006534134,-1.08099867537503,1.70247598076302
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-12,-0.422193572155042,0.35680423283648,-1.12152986851454,0.277142724204459
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-11,0.411365854702746,0.495011086442307,-0.558855874724175,1.38158758412967
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-10,0.49912005509814,0.380077124820584,-0.245831109550204,1.24407121974648
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-9,0.679823099063852,0.460440480064876,-0.222640241863304,1.58228643999101
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-8,0.290332663935314,0.315207862689873,-0.327474746936837,0.908140074807466
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-7,0.593785024554413,0.277074043534348,0.0507198992270908,1.13685014988174
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-6,0.519699357818663,0.231491242090216,0.0659765233218398,0.973422192315486
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-5,0.147667036386981,0.137520826965456,-0.121873784465314,0.417207857239276
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-4,0.0436227869782039,0.127046564588104,-0.20538847961448,0.292634053570888
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-3,0.0815307998946212,0.12940908018489,-0.172110997267763,0.335172597057005
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-2,0.170213864236436,0.118332991844886,-0.0617187997795415,0.402146528252413
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-1,0,0,0,0
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,0,-0.0455690906464613,0.169277468384148,-0.377352928679392,0.286214747386469
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,1,-0.462171305253647,0.140971472916835,-0.738475392170643,-0.185867218336651
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,2,-0.369486704690887,0.233888950663901,-0.827909047992132,0.0889356386103585
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,3,-0.343605297681175,0.284415643335201,-0.90105995861817,0.213849363255819
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,4,-0.328773400664502,0.28970926045805,-0.89660355116228,0.239056749833276
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,5,-0.507392955881058,0.230488279067512,-0.959149982853381,-0.0556359289087338
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,6,-0.644211997396889,0.187467580410121,-1.01164845500073,-0.276775539793052
opened_cohort,important_degree_top3,rolling5,exact1,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,7,-0.734989554726331,0.21345011478873,-1.15335177971224,-0.31662732974042
