pc_score_subset,pattern,rank,att_dr_mean,count
shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low,1,0.7939741809377707,157
collaboration_pc_score x discussion_quality_pc_score,low-low,1,-1.277449286624858,130
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low,1,-1.6348179361059845,87
shared_knowledge_pc_score x discussion_quality_pc_score,low-low,1,-3.195629893655327,119
collaboration_pc_score x problem_solving_routines_pc_score,high-low,1,-5.841963010119738,152
discussion_quality_pc_score x problem_solving_routines_pc_score,low-low,1,-6.5906738026688885,154
discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high,1,-6.922522902028491,102
collaboration_pc_score x investment_in_new_talent_pc_score,high-low,1,-7.710264480114795,128
discussion_quality_pc_score x problem_solving_routines_pc_score,high-low,2,-8.075097047984535,158
collaboration_pc_score x problem_solving_routines_pc_score,low-low,2,-8.823716302929583,160
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low,2,-9.52611145792401,225
discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low,2,-10.47290671006874,120
collaboration_pc_score x shared_knowledge_pc_score,high-low,1,-11.950402447507003,95
discussion_quality_pc_score x problem_solving_routines_pc_score,low-high,3,-13.695132555927753,68
collaboration_pc_score x shared_knowledge_pc_score,low-high,2,-14.104030568610138,95
shared_knowledge_pc_score x discussion_quality_pc_score,high-low,2,-14.8560215744694,103
shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low,1,-15.805807972359997,116
shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low,2,-16.33097548665339,155
shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low,2,-17.850179757147803,147
collaboration_pc_score x discussion_quality_pc_score,high-low,2,-18.842081334747686,92
discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low,3,-22.63452161622755,143
collaboration_pc_score x investment_in_new_talent_pc_score,low-low,2,-26.03223308298521,135
collaboration_pc_score x discussion_quality_pc_score,high-high,3,-37.65269171524036,129
collaboration_pc_score x shared_knowledge_pc_score,high-high,3,-41.737788260013964,126
shared_knowledge_pc_score x discussion_quality_pc_score,high-high,3,-43.903111137611845,118
shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high,3,-54.64404641750644,74
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high,3,-60.468133550807394,38
collaboration_pc_score x investment_in_new_talent_pc_score,high-high,3,-60.55357830379477,93
collaboration_pc_score x shared_knowledge_pc_score,low-low,4,-80.11409030242595,127
collaboration_pc_score x problem_solving_routines_pc_score,high-high,3,-84.2888301357992,69
shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high,4,-89.12000883337635,106
collaboration_pc_score x investment_in_new_talent_pc_score,low-high,4,-89.53741680212515,87
shared_knowledge_pc_score x discussion_quality_pc_score,low-high,4,-107.2922054817815,103
shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high,3,-109.50849289891433,64
collaboration_pc_score x discussion_quality_pc_score,low-high,4,-120.30885055853602,92
shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high,4,-128.26994519168014,67
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high,4,-144.168245517813,93
collaboration_pc_score x problem_solving_routines_pc_score,low-high,4,-155.80440348405213,62
discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high,4,-168.73906420281017,78
discussion_quality_pc_score x problem_solving_routines_pc_score,high-high,4,-250.9230228962235,63
