pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,-44.864773153297335,-39.19598175331298,-5.668791399984357,71
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,-101.12382336691518,-33.679631135060596,-67.44419223185457,46
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,-105.29598591786663,-32.25688918546574,-73.03909673240089,50
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-108.224081684014,-31.098993847012213,-77.12508783700179,53
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,-114.89232538405568,-35.1974810498943,-79.69484433416139,35
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-118.01904382879482,-33.52374846854309,-84.49529536025173,40
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,-125.87099628614651,-31.89908669601745,-93.97190959012906,38
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,-150.70283422288654,-31.92575584025386,-118.77707838263268,37
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,-182.89868366707555,-30.493393823430953,-152.4052898436446,37
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-318.1726072250856,-13.659509333552705,-304.5130978915329,43
