pc_score_subset,pattern,rank,att_dr_mean,count
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,1,18.95272476979624,34
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-high,1,18.65098646425351,28
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,1,13.548392174566459,81
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-high-low,1,11.765861059524683,48
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-high-low,1,11.095623561099119,69
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-low,2,10.11064534722313,37
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,1,4.349259749742395,56
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,1,1.8467556669492873,92
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,1,1.4089288806424214,79
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,1,0.9121793411743738,52
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,2,0.6713644292997373,94
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,0.08583400749978683,59
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,2,-0.26488521601941245,78
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,1,-0.7855135094079614,47
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,3,-2.385116963101133,71
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,2,-2.5759390575821706,40
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,2,-2.7635839740890304,39
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-low,2,-3.7573240127036938,64
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,2,-4.0173187101273005,123
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-low,2,-4.1087319113198255,48
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,2,-5.296126522196498,35
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,3,-5.97752942503123,36
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,3,-7.015194915400235,112
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-high-low,3,-7.273582562562083,88
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,3,-8.155351655808413,41
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,3,-8.791868348339682,14
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,3,-8.876241704067574,123
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,3,-9.54922117230604,63
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-high-low,3,-9.700585110238327,80
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,low-low-low,3,-9.848767514094556,82
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,4,-10.301762454462336,102
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,5,-11.35715203070185,18
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,4,-12.086749120101727,113
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,4,-12.309879922105408,76
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,5,-12.483075491154825,16
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,4,-14.560902582415089,83
discussion_quality_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,6,-14.590529352822783,50
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,4,-15.213835465530856,53
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,4,-15.811170689722891,43
shared_knowledge_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-low,5,-16.93448791185752,102
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,4,-17.037816522343054,60
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,high-low-high,4,-19.983333240674348,47
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,5,-21.486067216577833,49
shared_knowledge_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,5,-21.76598591754389,64
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,5,-21.800326636976322,66
shared_knowledge_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,5,-22.004803906106762,27
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,6,-22.159600505943292,32
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-low-low,5,-24.13254008360893,68
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,low-low-low,4,-25.63874346087589,91
collaboration_pc_score x shared_knowledge_pc_score x investment_in_new_talent_pc_score,low-high-low,6,-27.84000545335942,67
collaboration_pc_score x shared_knowledge_pc_score x discussion_quality_pc_score,high-low-high,4,-28.036583131164388,58
collaboration_pc_score x shared_knowledge_pc_score x problem_solving_routines_pc_score,high-low-high,5,-29.912151323806558,31
