pc_score_subset,att_high,att_others_wavg,difference,count_high
collaboration_pc_score x discussion_quality_pc_score,-37.65269171524036,-41.29921701096603,3.6465252957256737,129
collaboration_pc_score x shared_knowledge_pc_score,-41.737788260013964,-39.90429212914582,-1.8334961308681414,126
shared_knowledge_pc_score x discussion_quality_pc_score,-43.903111137611845,-39.881684135811774,-4.02142700180007,118
shared_knowledge_pc_score x investment_in_new_talent_pc_score,-54.64404641750644,-37.68068044832623,-16.96336596918021,74
collaboration_pc_score x investment_in_new_talent_pc_score,-60.55357830379477,-35.117201661264524,-25.43637664253025,93
collaboration_pc_score x problem_solving_routines_pc_score,-84.2888301357992,-31.977663107000442,-52.311167028798764,69
shared_knowledge_pc_score x problem_solving_routines_pc_score,-109.50849289891433,-29.02568227405439,-80.48281062485994,64
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,-144.168245517813,-13.095409466870867,-131.07283605094213,93
discussion_quality_pc_score x investment_in_new_talent_pc_score,-168.73906420281017,-14.245432143385464,-154.4936320594247,78
discussion_quality_pc_score x problem_solving_routines_pc_score,-250.9230228962235,-8.479205560514876,-242.44381733570862,63
