File: drive/output/derived/org_outcomes_practices/org_outcomes/orf___human_id.parquet

MD5 hash: 0e788a34320c1f2c26bd77cd532dd528

Keys: time_period 

                                           type  count                           mean                  min                  25%                  50%                  75%                  max           std
time_period                      datetime64[ns]     11  2022-07-01 21:49:05.454545408  2020-01-01 00:00:00  2021-04-01 12:00:00  2022-07-01 00:00:00  2023-10-01 00:00:00  2025-01-01 00:00:00              
issue_closed                            float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
issue_opened                            float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
num_downloads                             int64     11                   26128.090909               2442.0               9936.0              12254.0              38574.5              72090.0  26781.224806
overall_new_release_count               float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
major_new_release_count                 float64      1                            0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
minor_new_release_count                 float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
patch_new_release_count                 float64      1                            0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
other_new_release_count                 float64      1                            0.0                  0.0                  0.0                  0.0                  0.0                  0.0              
major_minor_release_count               float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              
major_minor_patch_release_count         float64      1                            1.0                  1.0                  1.0                  1.0                  1.0                  1.0              

