File: drive/output/derived/org_outcomes_practices/org_outcomes/usecakework___cakework.parquet

MD5 hash: dfcbf9406fedd79920b6cf41b35d9782

Keys: time_period 

                                           type  count                 mean                  min                  25%                  50%                  75%                  max          std
time_period                      datetime64[ns]      6  2023-10-01 08:00:00  2022-07-01 00:00:00  2023-02-15 06:00:00  2023-10-01 00:00:00  2024-05-16 12:00:00  2025-01-01 00:00:00             
pull_request_merged                     float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0             
pull_request_opened                     float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0             
num_downloads                             int64      6              21230.5               4526.0              15982.0              20753.5              30214.0              33591.0  11030.65809
overall_new_release_count               float64      1                 38.0                 38.0                 38.0                 38.0                 38.0                 38.0             
major_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
minor_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
patch_new_release_count                 float64      1                 38.0                 38.0                 38.0                 38.0                 38.0                 38.0             
other_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
major_minor_release_count               float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
major_minor_patch_release_count         float64      1                 38.0                 38.0                 38.0                 38.0                 38.0                 38.0             

