File: drive/output/derived/org_outcomes_practices/org_outcomes/lola-pola___ailola.parquet

MD5 hash: 2f5443e7404c53f23743ea0e046d92f2

Keys: time_period 

                                           type  count                 mean                  min                  25%                  50%                  75%                  max          std
time_period                      datetime64[ns]      4  2024-04-01 00:00:00  2023-07-01 00:00:00  2023-11-16 00:00:00  2024-04-01 00:00:00  2024-08-16 00:00:00  2025-01-01 00:00:00             
pull_request_closed                     float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0             
num_downloads                             int64      4              16123.0               8731.0             12505.75              14133.5             17750.75              27494.0  8002.720079
overall_new_release_count               float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0             
major_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
minor_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
patch_new_release_count                 float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0             
other_new_release_count                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
major_minor_release_count               float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0             
major_minor_patch_release_count         float64      1                  2.0                  2.0                  2.0                  2.0                  2.0                  2.0             

