outcome_sample,importance_type,rolling,qualified_sample,control_group,split_type,split_covar,split_value,category,outcome,normalize,method,event_time,estimate,sd,ci_low,ci_high
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-15,0.683368451604983,0.923447004370804,-1.12658767696179,2.49332458017176
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-14,-0.0719047501588868,0.588663393007197,-1.22568500045299,1.08187550013522
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-13,0.493320511859402,0.463369405099695,-0.414883522136,1.4015245458548
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-12,0.393563297295984,0.396041516747723,-0.382678075529552,1.16980467012152
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-11,0.363214067108991,0.340103605900629,-0.303389000456241,1.02981713467422
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-10,0.59483228288368,0.367994174340259,-0.126436298823228,1.31610086459059
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-9,0.625939300178585,0.40205672617951,-0.162091883133256,1.41397048349043
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-8,0.566984161125443,0.371812678429758,-0.161768688596883,1.29573701084777
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-7,0.468165884957503,0.348154691095398,-0.214217309589477,1.15054907950448
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-6,0.38296758312202,0.308583683663287,-0.221856436858023,0.987791603102062
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-5,0.201302782149162,0.214390700383131,-0.218902990601775,0.621508554900099
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-4,0.174130951055297,0.153241232885511,-0.126221865400304,0.474483767510897
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-3,0.0841250112999848,0.117558027119614,-0.146288721854459,0.314538744454429
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-2,0.346379785244503,0.0974830310045374,0.15531304447561,0.537446526013397
opened_cohort,important_degree_top3,rolling5,exact2,nevertreated,full_sample,"","",github_outcomes,pull_request_opened,TRUE,sa,-1,0,0,0,0
