File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/important_degree_z2/rolling5/fillmula___jsonclasses.parquet

MD5 hash: 085792114c7155a86cd99ac2b69c6e80

Keys: time_period 

                                                                   type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                              datetime64[ns]      5  2022-07-01 14:24:00  2021-07-01 00:00:00  2022-01-01 00:00:00  2022-07-01 00:00:00  2023-01-01 00:00:00  2023-07-01 00:00:00     
response_rate                                                   float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
mean_days_to_respond                                            float64      0                                                                                                                                   
pos_sentiment_avg                                               float64      1                0.101                0.101                0.101                0.101                0.101                0.101     
neg_sentiment_avg                                               float64      1             0.339565             0.339565             0.339565             0.339565             0.339565             0.339565     
ov_sentiment_avg                                                float64      1            -0.094583            -0.094583            -0.094583            -0.094583            -0.094583            -0.094583     
response_rate_pull_request_review_comment                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_opened_pos_sentiment_avg                           float64      1             0.016188             0.016188             0.016188             0.016188             0.016188             0.016188     
pull_request_opened_neg_sentiment_avg                           float64      1               0.4585               0.4585               0.4585               0.4585               0.4585               0.4585     
pull_request_opened_ov_sentiment_avg                            float64      1            -0.241925            -0.241925            -0.241925            -0.241925            -0.241925            -0.241925     
pull_request_review_approved_pos_sentiment_avg                  float64      1                0.804                0.804                0.804                0.804                0.804                0.804     
pull_request_review_approved_neg_sentiment_avg                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_approved_ov_sentiment_avg                   float64      1               0.6249               0.6249               0.6249               0.6249               0.6249               0.6249     
pull_request_review_changes_requested_pos_sentiment_avg         float64      1                0.315                0.315                0.315                0.315                0.315                0.315     
pull_request_review_changes_requested_neg_sentiment_avg         float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_review_changes_requested_ov_sentiment_avg          float64      1               0.3182               0.3182               0.3182               0.3182               0.3182               0.3182     
pull_request_review_comment_pos_sentiment_avg                   float64      1                0.189                0.189                0.189                0.189                0.189                0.189     
pull_request_review_comment_neg_sentiment_avg                   float64      1               0.0948               0.0948               0.0948               0.0948               0.0948               0.0948     
pull_request_review_comment_ov_sentiment_avg                    float64      1              0.15046              0.15046              0.15046              0.15046              0.15046              0.15046     
pct_merged_with_approved                                        float64      1             0.333333             0.333333             0.333333             0.333333             0.333333             0.333333     
pct_merged_with_review                                          float64      1             0.333333             0.333333             0.333333             0.333333             0.333333             0.333333     
avg_pull_request_review_count                                   float64      1                  2.2                  2.2                  2.2                  2.2                  2.2                  2.2     
avg_pull_request_review_comment_count                           float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_count                                              float64      1                  3.2                  3.2                  3.2                  3.2                  3.2                  3.2     
avg_pull_request_review_exclude_opener_count                    float64      1                  2.2                  2.2                  2.2                  2.2                  2.2                  2.2     
avg_pull_request_review_comment_exclude_opener_count            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_exclude_opener_count                               float64      1                  3.2                  3.2                  3.2                  3.2                  3.2                  3.2     
clustering_coefficient                                          float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

