File: drive/output/derived/org_outcomes_practices/repo_discussion_quality/important_degree_z2/rolling5/ga4gh___ga4gh-testbed-lib.parquet

MD5 hash: 94de5aa2275b9d444d4a15af55ef2596

Keys: time_period 

                                                                   type  count                 mean                  min                  25%                  50%                  75%                  max  std
time_period                                              datetime64[ns]      5  2022-12-31 09:36:00  2022-01-01 00:00:00  2022-07-01 00:00:00  2023-01-01 00:00:00  2023-07-01 00:00:00  2024-01-01 00:00:00     
response_rate                                                   float64      1             0.333333             0.333333             0.333333             0.333333             0.333333             0.333333     
mean_days_to_respond                                            float64      1             0.070509             0.070509             0.070509             0.070509             0.070509             0.070509     
pos_sentiment_avg                                               float64      1             0.070886             0.070886             0.070886             0.070886             0.070886             0.070886     
neg_sentiment_avg                                               float64      1             0.182693             0.182693             0.182693             0.182693             0.182693             0.182693     
ov_sentiment_avg                                                float64      1            -0.024296            -0.024296            -0.024296            -0.024296            -0.024296            -0.024296     
response_rate_pull_request_comment                              float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
response_rate_pull_request_review_comment                       float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
mean_days_to_respond_pull_request_comment                       float64      1             0.070509             0.070509             0.070509             0.070509             0.070509             0.070509     
mean_days_to_respond_to_last_comment                            float64      1             0.070509             0.070509             0.070509             0.070509             0.070509             0.070509     
issue_comment_pos_sentiment_avg                                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
issue_comment_neg_sentiment_avg                                 float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
issue_comment_ov_sentiment_avg                                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
issue_opened_pos_sentiment_avg                                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
issue_opened_neg_sentiment_avg                                  float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
issue_opened_ov_sentiment_avg                                   float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_pos_sentiment_avg                          float64      1                 0.25                 0.25                 0.25                 0.25                 0.25                 0.25     
pull_request_comment_neg_sentiment_avg                          float64      1                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0     
pull_request_comment_ov_sentiment_avg                           float64      1               0.1101               0.1101               0.1101               0.1101               0.1101               0.1101     
pull_request_opened_pos_sentiment_avg                           float64      1                0.022                0.022                0.022                0.022                0.022                0.022     
pull_request_opened_neg_sentiment_avg                           float64      1             0.449143             0.449143             0.449143             0.449143             0.449143             0.449143     
pull_request_opened_ov_sentiment_avg                            float64      1               -0.218               -0.218               -0.218               -0.218               -0.218               -0.218     
pull_request_review_changes_requested_pos_sentiment_avg         float64      1             0.126458             0.126458             0.126458             0.126458             0.126458             0.126458     
pull_request_review_changes_requested_neg_sentiment_avg         float64      1             0.067292             0.067292             0.067292             0.067292             0.067292             0.067292     
pull_request_review_changes_requested_ov_sentiment_avg          float64      1             0.016042             0.016042             0.016042             0.016042             0.016042             0.016042     
pull_request_review_comment_pos_sentiment_avg                   float64      1               0.0935               0.0935               0.0935               0.0935               0.0935               0.0935     
pull_request_review_comment_neg_sentiment_avg                   float64      1                0.029                0.029                0.029                0.029                0.029                0.029     
pull_request_review_comment_ov_sentiment_avg                    float64      1                 0.39                 0.39                 0.39                 0.39                 0.39                 0.39     
pct_merged_with_approved                                        float64      1                  0.2                  0.2                  0.2                  0.2                  0.2                  0.2     
pct_merged_with_review                                          float64      1                  0.2                  0.2                  0.2                  0.2                  0.2                  0.2     
avg_pull_request_comment_count                                  float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
avg_pull_request_review_count                                   float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0     
avg_pull_request_review_comment_count                           float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_count                                              float64      1                  4.5                  4.5                  4.5                  4.5                  4.5                  4.5     
avg_pull_request_comment_exclude_opener_count                   float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5     
avg_pull_request_review_exclude_opener_count                    float64      1                  3.0                  3.0                  3.0                  3.0                  3.0                  3.0     
avg_pull_request_review_comment_exclude_opener_count            float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0     
avg_all_disc_exclude_opener_count                               float64      1                  4.5                  4.5                  4.5                  4.5                  4.5                  4.5     
clustering_coefficient                                          float64      5                  0.0                  0.0                  0.0                  0.0                  0.0                  0.0  0.0

