event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value
-17,0.3325255956416092,0.3640547515283487,-0.7034251749051402,1.3684763661883586,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-16,0.006357508445270322,0.27627088645862563,-0.7797963228257941,0.7925113397163347,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-15,0.23952477747927145,0.49944718266106863,-1.1816974193277032,1.6607469742862462,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-14,-0.016583443566884112,0.24647342980594059,-0.7179459129614955,0.6847790258277272,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-13,0.32669967941303446,0.28224903168339216,-0.47646550557896883,1.1298648644050377,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-12,0.634722271808972,0.512978824790807,-0.8250054383369043,2.094449981954848,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-11,0.027982020826983478,0.3924761558419152,-1.088844430026241,1.1448084716802078,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-10,-0.19980424737053795,0.373261359116498,-1.2619532537184264,0.8623447589773505,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-9,0.3118441055231562,0.26719441936208566,-0.44848181650340924,1.0721700275497217,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-8,-0.13571113635358958,0.3623877617055235,-1.1669183363681608,0.8954960636609816,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-7,0.2547149235156451,0.23037764833133836,-0.4008455417816022,0.9102753888128925,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-6,-0.5281226972948809,0.1721047178137058,-1.017862260603275,-0.03838313398648696,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-5,0.12867140819105766,0.16908437167396678,-0.3524734866021065,0.6098163029842218,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-4,-0.0016940857624261133,0.08409394918220958,-0.24099103515781242,0.2376028636329602,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-3,-0.13872896622344025,0.08042486652125345,-0.36758520857171295,0.09012727612483248,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-2,0.07960912628454353,0.06825318298946301,-0.11461148809657817,0.27382974066566523,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
-1,-0.21532708430719366,0.07345627714221704,-0.4243535743818595,-0.006300594232527823,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
0,-0.06010388340225733,0.12456461190920141,-0.41456376930803296,0.29435600250351834,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
1,-0.692467769750761,0.18047216203772862,-1.206017653498575,-0.178917886002947,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
2,-0.7727952399101966,0.1297708460980107,-1.1420699367665275,-0.40352054305386575,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
3,-0.9159789522115376,0.14047037696502485,-1.3157001332838805,-0.5162577711391948,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
4,-1.1547732806023963,0.164795240100425,-1.6237130630053682,-0.6858334981994243,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
5,-1.183442105400125,0.20277408916653727,-1.7604541428398615,-0.6064300679603883,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
6,-1.0365922761319328,0.3149587368703293,-1.932835889988024,-0.14034866227584175,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
7,-1.0726187889172218,0.33829831323151083,-2.035277281343351,-0.10996029649109273,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
8,-1.0571291500107554,0.4609586775025701,-2.3688288192068407,0.2545705191853298,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
9,-1.365886506175607,0.5360670892323536,-2.8913139640610614,0.1595409517098476,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
10,-0.8531728576155271,1.2522151492678402,-4.4164644870431875,2.710118771812134,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
11,-0.6390543936248987,1.608427548048838,-5.2159806685180925,3.937871881268295,important_thresh,rolling1,github_outcomes,pull_request_opened,TRUE,cs,NA,NA
