group,var,loading,variance_explained_pc_score
collaboration,avg_members_per_problem,0.5322169540293767,58.004906206505616
collaboration,pct_members_multiple,0.43777531274053216,58.004906206505616
collaboration,proj_hhi_discussion_comment,-0.4323017724882086,58.004906206505616
collaboration,proj_prob_hhi_issue_comment,-0.42407717123329775,58.004906206505616
collaboration,proj_prob_hhi_pull_request_comment,-0.3979593192035322,58.004906206505616
discussion_quality,mean_days_to_respond,-0.012758226677146966,49.756921585823854
discussion_quality,neg_sentiment_avg,-0.5006189875419019,49.756921585823854
discussion_quality,ov_sentiment_avg,0.6061736547322919,49.756921585823854
discussion_quality,pos_sentiment_avg,0.533834623578093,49.756921585823854
discussion_quality,response_rate,0.31111404973467127,49.756921585823854
investment_in_new_talent,has_code_of_conduct,0.6392891391687306,49.07822768492955
investment_in_new_talent,has_contributing_guide,0.6570757535398261,49.07822768492955
investment_in_new_talent,has_good_first_issue,0.3994506861315585,49.07822768492955
knowledge_level,avg_unique_types,-0.707106781186548,91.8593793925956
knowledge_level,share_issue_and_pr,-0.7071067811865471,91.8593793925956
problem_solving_routines,has_codeowners,0.33995919868590246,35.3250267826242
problem_solving_routines,has_issue_template,0.47723248759287434,35.3250267826242
problem_solving_routines,has_pr_template,0.4025384517995442,35.3250267826242
problem_solving_routines,mean_has_assignee,0.3989186833572524,35.3250267826242
problem_solving_routines,mean_has_reviewer,0.3928244066928234,35.3250267826242
problem_solving_routines,mean_has_tag,0.42566719442838175,35.3250267826242
