qualified_sample,covar_type,outcome,category,normalize,split_folder,split_value,estimation_type,event_time,estimate,sd,ci_low,ci_high
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-7,1.30315415098221,0.485320876422757,0.351925233193605,2.25438306877081
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-6,0.79421373064562,0.290586444891275,0.224664298658721,1.36376316263252
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-5,0.606114178722022,0.223623066674837,0.167812968039343,1.0444153894047
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-4,0.343475681492661,0.210170331104457,-0.0684581674720744,0.755409530457397
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-3,0.211211940771817,0.201895155471668,-0.184502563952653,0.606926445496287
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-2,0.305324279353168,0.172188377894686,-0.0321649413204158,0.642813500026752
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,-1,0,0,0,0
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,0,-0.219578886009338,0.299700836403533,-0.806992525360263,0.367834753341588
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,1,-1.02842215380886,0.280380913698509,-1.57796874465794,-0.478875562959782
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,2,-1.13372152957626,0.325987151000687,-1.77265634553761,-0.494786713614916
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,3,-1.5260886898782,0.292731838180927,-2.09984309271282,-0.952334287043583
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,4,-1.93159523747159,0.312017378863731,-2.5431493000445,-1.32004117489867
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,5,-2.04081181144626,0.321020660133773,-2.67001230530846,-1.41161131758407
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,6,-2.361258272828,0.432019079926987,-3.2080156694849,-1.51450087617111
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,7,-2.41560678704531,0.516106486065269,-3.42717549973323,-1.40403807435738
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,8,-2.93304689942293,0.513805575119308,-3.94010582665678,-1.92598797218909
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,9,-2.98086186966372,0.612689502218669,-4.18173329401231,-1.77999044531513
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,10,-1.64011579976515,0.581110803899298,-2.77909297540777,-0.501138624122525
exact1,pc_score,pull_request_opened,github_outcomes,TRUE,split_full_avg,low,observed,11,-1.66911353595359,1.25134166274236,-4.12174319492862,0.783516123021442
