File:  output/analysis/event_study/important_thresh_exact1/rolling5/all_coefficients_rolling5.csv 
MD5:   3c3db4cb568929e18b47f749999adb91 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================= 
 variable_name   type      N   uniqueN  mean   sd     min    max   
 ----------------------------------------------------------------- 
 dataset       character 7,360    1                                
 rolling       character 7,360    1                                
 category      character 7,360    2                                
 outcome       character 7,360    4                                
 normalize      logical  7,360    1                                
 method        character 7,360    1                                
 covar         character 7,360   38                                
 split_value   character 7,360    3                                
 event_time     numeric  7,360         -1.088 7.518   -14     12   
 estimate       numeric  7,360         -0.267 0.987 -9.212  6.620  
 sd             numeric  7,360         0.381  0.337    0    5.065  
 ci_low         numeric  7,360         -1.014 1.152 -11.959 3.731  
 ci_high        numeric  7,360         0.479  1.221 -6.948  16.546 
 ----------------------------------------------------------------- 
