covar,dataset,rolling,past_periods,percent_changed_from_0,percent_changed_from_1
pct_merged_with_approved,important_thresh_exact1,rolling5,3,2.0979020979021,2.04897551224388
pct_merged_with_approved,important_thresh_exact1,rolling5,4,2.6973026973027,2.64867566216892
pct_merged_with_approved,important_thresh_exact1,rolling5,5,3.1968031968032,3.14842578710645
pct_merged_with_review,important_thresh_exact1,rolling5,2,1.5,1.44855144855145
pct_merged_with_review,important_thresh_exact1,rolling5,3,2.64867566216892,2.5974025974026
pct_merged_with_review,important_thresh_exact1,rolling5,4,3.34832583708146,3.2967032967033
pct_merged_with_review,important_thresh_exact1,rolling5,5,3.54822588705647,3.4965034965035
avg_all_disc_count,important_thresh_exact1,rolling5,2,2.99488677867056,2.81329923273657
avg_all_disc_count,important_thresh_exact1,rolling5,3,4.41928414901388,4.23821702594081
avg_all_disc_count,important_thresh_exact1,rolling5,4,5.47845142439737,5.29777128242601
avg_all_disc_count,important_thresh_exact1,rolling5,5,6.20891161431702,6.02849835586409
response_rate,important_thresh_exact1,rolling5,2,2.57713248638839,2.57713248638839
response_rate,important_thresh_exact1,rolling5,3,4.24682395644283,4.24682395644283
response_rate,important_thresh_exact1,rolling5,4,5.40834845735027,5.40834845735027
response_rate,important_thresh_exact1,rolling5,5,6.17059891107078,6.17059891107078
mean_days_to_respond,important_thresh_exact1,rolling5,2,3.05010893246187,3.05010893246187
mean_days_to_respond,important_thresh_exact1,rolling5,3,4.35729847494553,4.35729847494553
mean_days_to_respond,important_thresh_exact1,rolling5,4,5.84604212055193,5.84604212055193
mean_days_to_respond,important_thresh_exact1,rolling5,5,7.0079883805374,7.0079883805374
pos_sentiment_avg,important_thresh_exact1,rolling5,2,2.61343012704174,2.61343012704174
pos_sentiment_avg,important_thresh_exact1,rolling5,3,4.46460980036298,4.46460980036298
pos_sentiment_avg,important_thresh_exact1,rolling5,4,5.95281306715064,5.95281306715064
pos_sentiment_avg,important_thresh_exact1,rolling5,5,6.78765880217786,6.78765880217786
neg_sentiment_avg,important_thresh_exact1,rolling5,2,2.6497277676951,2.6497277676951
neg_sentiment_avg,important_thresh_exact1,rolling5,3,4.17422867513612,4.17422867513612
neg_sentiment_avg,important_thresh_exact1,rolling5,4,5.51724137931035,5.51724137931035
neg_sentiment_avg,important_thresh_exact1,rolling5,5,6.60617059891107,6.60617059891107
ov_sentiment_avg,important_thresh_exact1,rolling5,2,2.28675136116152,2.28675136116152
ov_sentiment_avg,important_thresh_exact1,rolling5,3,3.70235934664247,3.70235934664247
ov_sentiment_avg,important_thresh_exact1,rolling5,4,5.19056261343013,5.19056261343013
ov_sentiment_avg,important_thresh_exact1,rolling5,5,6.31578947368421,6.31578947368421
avg_all_disc_exclude_opener_count,important_thresh_exact1,rolling5,2,2.4899304284145,2.49084249084249
avg_all_disc_exclude_opener_count,important_thresh_exact1,rolling5,3,3.99121201025265,3.99267399267399
avg_all_disc_exclude_opener_count,important_thresh_exact1,rolling5,4,5.38264372024899,5.38461538461539
avg_all_disc_exclude_opener_count,important_thresh_exact1,rolling5,5,6.5543756865617,6.55677655677656
pull_request_merged_rate_weighted,important_thresh_exact1,rolling5,2,2.03298810893748,0
pull_request_merged_rate_weighted,important_thresh_exact1,rolling5,3,3.67563471011747,0
pull_request_merged_rate_weighted,important_thresh_exact1,rolling5,4,4.83931947069943,0
pull_request_merged_rate_weighted,important_thresh_exact1,rolling5,5,6.19803476946334,0
pull_request_review_rate_weighted,important_thresh_exact1,rolling5,2,2.14099216710183,0.857449088960343
pull_request_review_rate_weighted,important_thresh_exact1,rolling5,3,3.05699481865285,1.60427807486631
pull_request_review_rate_weighted,important_thresh_exact1,rolling5,4,3.67304707708226,2.0855614973262
pull_request_review_rate_weighted,important_thresh_exact1,rolling5,5,4.23772609819121,2.62172284644195
any_activity_rate_weighted,important_thresh_exact1,rolling5,2,1.82311869666408,0
any_activity_rate_weighted,important_thresh_exact1,rolling5,3,3.18007662835249,0
any_activity_rate_weighted,important_thresh_exact1,rolling5,4,3.93580435613298,0
any_activity_rate_weighted,important_thresh_exact1,rolling5,5,4.50725744843392,0
clustering_coefficient,important_thresh_exact1,rolling5,2,4.1016333938294,4.1016333938294
clustering_coefficient,important_thresh_exact1,rolling5,3,6.60617059891107,6.60617059891107
clustering_coefficient,important_thresh_exact1,rolling5,4,8.4573502722323,8.4573502722323
clustering_coefficient,important_thresh_exact1,rolling5,5,9.54627949183303,9.54627949183303
mean_has_reviewer,important_thresh_exact1,rolling5,2,1.1978221415608,1.16152450090744
mean_has_reviewer,important_thresh_exact1,rolling5,3,2.14156079854809,2.10526315789474
mean_has_reviewer,important_thresh_exact1,rolling5,4,2.6497277676951,2.61343012704174
mean_has_reviewer,important_thresh_exact1,rolling5,5,2.97640653357532,2.94010889292196
mean_has_tag,important_thresh_exact1,rolling5,2,1.92377495462795,1.7059891107078
mean_has_tag,important_thresh_exact1,rolling5,3,3.15789473684211,2.94010889292196
mean_has_tag,important_thresh_exact1,rolling5,4,4.21052631578947,3.99274047186933
mean_has_tag,important_thresh_exact1,rolling5,5,4.86388384754991,4.64609800362976
mean_has_assignee,important_thresh_exact1,rolling5,2,1.34301270417423,1.30671506352087
mean_has_assignee,important_thresh_exact1,rolling5,3,2.3956442831216,2.35934664246824
mean_has_assignee,important_thresh_exact1,rolling5,4,3.12159709618875,3.08529945553539
mean_has_assignee,important_thresh_exact1,rolling5,5,3.70235934664247,3.66606170598911
has_codeowners,important_thresh_exact1,rolling5,2,0,0
has_codeowners,important_thresh_exact1,rolling5,3,0,0
has_codeowners,important_thresh_exact1,rolling5,4,0,0
has_codeowners,important_thresh_exact1,rolling5,5,0,0
has_issue_template,important_thresh_exact1,rolling5,2,0,0
has_issue_template,important_thresh_exact1,rolling5,3,0,0
has_issue_template,important_thresh_exact1,rolling5,4,0,0
has_issue_template,important_thresh_exact1,rolling5,5,0,0
has_pr_template,important_thresh_exact1,rolling5,2,0,0
has_pr_template,important_thresh_exact1,rolling5,3,0,0
has_pr_template,important_thresh_exact1,rolling5,4,0,0
has_pr_template,important_thresh_exact1,rolling5,5,0,0
has_good_first_issue,important_thresh_exact1,rolling5,2,4.35418953530918,0
has_good_first_issue,important_thresh_exact1,rolling5,3,7.17160629345042,0
has_good_first_issue,important_thresh_exact1,rolling5,4,9.11086717892426,0
has_good_first_issue,important_thresh_exact1,rolling5,5,10.7208196121478,0
has_contributing_guide,important_thresh_exact1,rolling5,2,0,0
has_contributing_guide,important_thresh_exact1,rolling5,3,0,0
has_contributing_guide,important_thresh_exact1,rolling5,4,0,0
has_contributing_guide,important_thresh_exact1,rolling5,5,0,0
has_code_of_conduct,important_thresh_exact1,rolling5,2,0,0
has_code_of_conduct,important_thresh_exact1,rolling5,3,0,0
has_code_of_conduct,important_thresh_exact1,rolling5,4,0,0
has_code_of_conduct,important_thresh_exact1,rolling5,5,0,0
prop_tests_passed,important_thresh_exact1,rolling5,2,0,0
prop_tests_passed,important_thresh_exact1,rolling5,3,0,0
prop_tests_passed,important_thresh_exact1,rolling5,4,0,0
prop_tests_passed,important_thresh_exact1,rolling5,5,0,0
