actor_id,actor_login
36546956,sonatypecla[bot]
36648225,mgaKnightbot
36742853,batfish-bot
36754821,codeclimate[bot]
36771401,azure-pipelines[bot]
36784309,sherry-robot
36971155,height[bot]
37099836,ansibleazurebot
37194012,sonatype-lift[bot]
37200327,thillRobot
37411558,docker-desktop-robot
37411558,docker-for-desktop-robot
37423439,arch-ci-bot
37683822,secusbot
37828470,dgraph-bot
37845953,openapi-bot[bot]
37845953,openapi-sdkautomation[bot]
37929162,mergify[bot]
38020283,kubeflow-bot
38131342,ladybugbot
38232937,shentubot
38333057,pik-software-bot
38334925,deep-learning-mms-bot
38438914,stscijgbot
38454089,mergeable[bot]
38778116,FeralRobot
38953450,devexp-slackbot[bot]
38986832,dotnet-automerge-bot
39057051,I8Robot
39074581,repo-ranger[bot]
39136218,edgedb-clabot
39204139,onf-bot
39296743,finos-cla-bot[bot]
39313383,cfncluster-ami-bot
39335575,commit-lint[bot]
39357738,stellar-graph-bot
39514782,sonarcloud[bot]
39604003,sentry-io[bot]
39627063,nestobot
39689386,close-issue-app[bot]
39763116,fundrequestbot
39814207,pull[bot]
39920001,1aimbot
39979142,kwikbot
40127755,autorebase[bot]
40209326,netlify[bot]
40277468,prowl[bot]
40421472,thoth-zuul-test[bot]
40421472,thoth-zuul[bot]
40769812,Unkobot
40809699,dry-python-bot
40851913,auto-comment[bot]
40862150,datreeio[bot]
41086007,marvin-robot
41165336,render[bot]
41167595,probot-auto-merge[bot]
41202233,fschatbot
41242049,sympy-bot
41326314,moul-bot
41424091,zxRobot
41699153,go-cloud-bot[bot]
41754393,mxnet-label-bot
41810448,stickler-ci[bot]
41898208,sider[bot]
41898282,github-actions[bot]
41993974,review-notebook-app[bot]
42046080,pulumi[bot]
42060814,gaugebot[bot]
42206876,mroldrobot
42222807,backporting[bot]
42236957,nf-core-bot
42252862,iRowebot
42329259,badrobobot
42390046,sovbot
42443321,iamnotahumanbecauseiamabot
42582749,ansible-zuul[bot]
42714450,timmo-bot[bot]
42748379,dotnet-maestro[bot]
42819689,mend-bolt-for-github[bot]
42819689,whitesource-bolt-for-github[bot]
42910462,golangcibot
42928436,rtd-helper[bot]
42975700,dlib-issue-bot
43044129,half-bot
43144390,lgtm-com[bot]
43151172,igorsobot
43204447,app-sre-bot
43318061,mcnotify[bot]
43480880,communitybridge-easycla[bot]
43480880,linux-foundation-easycla[bot]
43485379,allrobot
43622085,aio-libs-bot
43809577,exalate-issue-sync[bot]
43880903,transifex-integration[bot]
43901025,python-fire-bot
44001185,boyrobot
44090433,openvino-pushbot
44246292,repo-mountie[bot]
44361861,leadrobot
44651202,google-oss-robot
44653624,tr4shbot
44682897,unito-bot
44709815,linear-app[bot]
44709815,linear[bot]
44734258,luc-bot
44905990,bulldozer-bot[bot]
45187786,attunelybot
45203499,autoapproval[bot]
45293165,devbots-lock-issue[bot]
45402181,cyounkins-bot
45432694,patchback[bot]
45457231,hcloud-bot
45469149,nanome-bot
45632124,actualchameleonbot
45871413,dgl-bot
45962491,askingbot
46230880,pyload-bot
46292936,feast-ci-bot
46332823,modin-bot
46395956,SeanIsAllRobot
46447321,allcontributors[bot]
46495144,tff-robot
46523731,tob4bot
46564150,gitpod-io[bot]
46743201,open-collective-bot[bot]
46743201,opencollective-bot[bot]
46753707,aws-sam-cli-bot
46795798,TheRealBadRobot
46852061,mlpack-bot[bot]
46867290,nn7kbot
46901065,anormalrobot
46904574,flinkbot
47044978,ai2-bulldozer[bot]
47270205,prometeobot
47308153,xdev-bot
47387685,gxtrobot
47402117,jupyterlab-dev-mode[bot]
47583630,aimlbot
47673924,Sowasvonbot
47725435,GitInTheRobot
47775046,codefactor-io[bot]
47800731,arch-ci-deploy-bot
47809520,dpy-manager-bot
47956599,pfn-ci-bot
48254725,dokku-bot
48340428,msftbot[bot]
48392062,EnergyB-bot
48467535,mn-robot
48479348,edly-bot
48557063,nextreleaseio[bot]
48575430,mandeebot
48611044,issue-label-bot[bot]
48633701,pull-assistant[bot]
48687836,njzjz-bot
48725059,cphgbot
48739277,tensorflow-bot[bot]
48994755,ansible-zuul[bot]
49004749,azclibot
49161187,edx-requirements-bot
49263620,codeowners-mention[bot]
49263620,codeowners-notifier[bot]
49275095,ursabot
49590762,django-bot
49659360,voxel51-bot
49689251,packit-as-a-service[bot]
49699333,dependabot[bot]
49729116,packit-as-a-service-stg[bot]
49736102,kodiakhq[bot]
49849624,zhengchuan-bot
49924207,sagemaker-bot
49945210,intellij-monorepo-bot
49990348,dynatrace-cla-bot
50333436,tommilligan-bors[bot]
50594233,circleci-failure-attribution[bot]
50594233,dr-ci[bot]
50666204,scorebot
50670076,sefkhet-abwy[bot]
50673670,mend-for-github-com[bot]
50673670,whitesource-for-github-com[bot]
50936856,fatiando-bot
51074376,cognite-bulldozer[bot]
51200774,cd-red-bot
51218664,gvisor-bot
51475213,isl-ci-bot
52106221,tanbot
52247235,stac-bot
52330768,changelog-app[bot]
52657713,tensorflow-graphics-github-robot
52663964,cla-checker-service[bot]
52931231,deckar01-bot
53064849,probot-home-assistant[bot]
53086266,bulldozer-boy[bot]
53270907,k8s-triage-robot
53306834,tf-quant-finance-robot
53320429,size-report[bot]
53337611,weco-bot
53350339,cloud-profiler-github-robot
53449429,engprod-2[bot]
53487844,deps-dropseed[bot]
53496261,conventional-commit-lint-gcf[bot]
53544751,pyvista-bot
53939691,qiniu-bot
54010498,tf-models-copybara-bot
54062248,Paul-bot
54082712,pytorch-probot[bot]
54105614,api-clients-generation-pipeline[bot]
54228626,trio-bot[bot]
54246314,zdenekchobot
54279782,RamAIbot
54410473,cycode-app[bot]
54410473,cycode-security[bot]
54452544,pangeo-bot
54541018,pr-scheduler[bot]
54556828,qiskit-crowdin-bot
54566209,MissAlexaRobot
54566209,MissJuliaRobot
54816060,pytorch-bot[bot]
54866446,qiskit-bot
55107282,release-please[bot]
55125188,gwalstat-bot
55168651,community-tc-integration[bot]
55277160,gitlocalize-app[bot]
55761127,logistic-bot
55858104,google-cla[bot]
56216889,hikerrobot
56282280,ciscoai-prowbot
56459184,webdjoe-bot
56469371,sre-ci-robot
56610014,google-ml-butler[bot]
56610014,tensorflow-butler[bot]
56733511,gir-bot
56741989,copybara-service[bot]
56821295,hacs-bot[bot]
56834033,sonarqube-pull-requests[bot]
56890893,firefoxci-taskcluster[bot]
57129171,amineaouini-notbot
57219098,BlueNotesRobot
57229784,swarmia[bot]
57463719,dotnet-eng-status[bot]
57494357,espressif-bot
57573707,jrnl-bot
57658456,saurav-bot
57676739,gitguardian[bot]
57840285,superset-github-bot[bot]
57947529,JonKim-bot
58188449,supersyncbot
58338325,sunpy-backport[bot]
58375840,profbot
58412915,bane-bot
58415594,safinbot
58596630,sourcery-ai[bot]
58770354,lglfbot
59032223,build-cop-bot[bot]
59032223,flaky-bot[bot]
59272229,mindspore-bot
59370235,kf-label-bot-dev[bot]
59450477,taskcluster-bot
59518230,boring-cyborg[bot]
59694328,Allexio-bot
59835401,latrille-bot
60162190,gcf-merge-on-green[bot]
60448005,mothermetabot
60611498,sourcery-ai-bot
60628758,onf-cla-manager[bot]
60760135,ge-cla-bot[bot]
60760135,gx-cla-bot[bot]
60764118,sck-robot
60848717,bridgecrew-develop[bot]
60980775,client-engineering-bot
60991783,alcirobot
61043709,Kapil22-bot
61142134,mihara-bot
61247838,eclipse-zenoh-bot
61540840,satish-bot
61600560,broadbot
61715770,rigetti-githubbot
61781605,dearmisterrobot
61800571,autofix-bot
61817084,sagemaker-neo-ci-bot
61849395,ansibullbot
61871480,codacy-production[bot]
61884791,anaconda-issue-bot
61887150,mxnet-bot
61922382,syrupy-bot
62050782,deepsource-autofix[bot]
62073322,aiida-bot-app[bot]
62304370,googlemaps-bot
62310815,github-advanced-security[bot]
62310815,github-code-scanning[bot]
62411420,needles-bot
62694369,jina-bot
62963386,primerai-bulldozer[bot]
63187943,cairon-bot
63235736,odc-semantic-release-bot
63268556,atlassian-cla-bot[bot]
63269951,elyra-pr-bot[bot]
63379544,elyra-ai-github-bot[bot]
63424425,TestUserRobot
63493438,semgrep-app[bot]
63493438,semgrep-dev[bot]
63793133,ondrej-stanek-ozobot
64042803,rfm-bot
64150917,tiny-tim-bot
64226111,snippet-bot[bot]
64245729,renovate-approve-2[bot]
64332972,imagesc-bot
64472749,gitpaybot
64544372,khebhut[bot]
64564426,ltau-robot
64792179,monai-bot
65029690,sync-by-unito[bot]
65082232,mergery[bot]
65082542,wikimedia-helper-bot-for-github[bot]
65095814,bitbuilder-ai[bot]
65095814,ellipsis-dev[bot]
65331932,azure-powershell-bot
65357765,dask-bot
65624628,kfp-tekton-bot
65734717,cisagovbot
65761964,ably-sync-bot
65984493,microsoft-cla[bot]
66042841,getsantry[bot]
66302673,wayback-bot
66365589,damgadbot
66403110,tflite-support-robot
66705636,python-discord-bot
66853113,pre-commit-ci[bot]
