pc_score_subset,pattern,rank,att_doubly_robust_mean,count
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,4,-3.70622504325595,89
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,8,-25.3650726730454,67
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,6,-5.25382303706962,59
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,2,1.2531151818919,56
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,7,-17.3955672619445,42
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,5,-4.20401158179413,75
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,3,1.04925449229207,78
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,1,3.70770968675218,77
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,5,-4.59574322858262,71
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,8,-20.0354838672289,85
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,6,-7.49853379939125,66
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,2,5.20616575017675,49
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,3,3.12566595298492,49
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,7,-17.6334165490072,68
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-high,4,-1.22144046809685,83
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-low-low,1,6.50993132126026,72
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-high,6,-6.31140534145052,96
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-high-low,4,-0.652589908800737,52
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-high,5,-5.25136798073022,41
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,high-low-low,8,-17.2436503865629,82
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-high,2,0.199279275434793,81
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-high-low,7,-17.0490665618745,39
collaboration_pc_score x investment_in_new_talent_pc_score x problem_solving_routines_pc_score,low-low-high,1,0.698753951647136,51
