File: drive/output/derived/org_outcomes_practices/repo_collaboration/all/rolling5/tw-ddis___tweet_parser.parquet

MD5 hash: 004d62b3d7816c3b91890227e01d6c3d

Keys: time_period 

                                                     type  count                 mean                  min                  25%                  50%                  75%                  max std
time_period                                datetime64[ns]      1  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00  2017-07-01 00:00:00    
avg_members_per_problem                           float64      1             2.185185             2.185185             2.185185             2.185185             2.185185             2.185185    
pct_members_multiple                              float64      1             0.962963             0.962963             0.962963             0.962963             0.962963             0.962963    
proj_hhi_discussion_comment                       float64      1             0.324315             0.324315             0.324315             0.324315             0.324315             0.324315    
proj_hhi_issue_closed                             float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_issue_comment                            float64      1             0.428571             0.428571             0.428571             0.428571             0.428571             0.428571    
proj_hhi_issue_opened                             float64      1             0.555556             0.555556             0.555556             0.555556             0.555556             0.555556    
proj_hhi_pull_request_closed                      float64      1                  1.0                  1.0                  1.0                  1.0                  1.0                  1.0    
proj_hhi_pull_request_comment                     float64      1               0.3312               0.3312               0.3312               0.3312               0.3312               0.3312    
proj_hhi_pull_request_merged                      float64      1             0.357639             0.357639             0.357639             0.357639             0.357639             0.357639    
proj_hhi_pull_request_opened                      float64      1             0.510417             0.510417             0.510417             0.510417             0.510417             0.510417    
proj_hhi_pull_request_review_comment              float64      1             0.419501             0.419501             0.419501             0.419501             0.419501             0.419501    
proj_prob_hhi_discussion_comment                  float64      1                  0.5                  0.5                  0.5                  0.5                  0.5                  0.5    
proj_prob_hhi_issue_comment                       float64      1              0.52381              0.52381              0.52381              0.52381              0.52381              0.52381    
proj_prob_hhi_pull_request_comment                float64      1                 0.64                 0.64                 0.64                 0.64                 0.64                 0.64    
proj_prob_hhi_pull_request_review_comment         float64      1             0.561905             0.561905             0.561905             0.561905             0.561905             0.561905    
num_active_members                                  Int64      1                  4.0                  4.0                  4.0                  4.0                  4.0                  4.0    

