dataset,rolling,category,outcome,covar,period,high_estimate,high_sd,high_ci_low,high_ci_high,low_estimate,low_sd,low_ci_low,low_ci_high,diff_estimate,diff_se,diff_ci_low,diff_ci_high
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,collaboration_pc1,1,-1.13270085740208,0.176068853807464,-1.47779581086471,-0.787605903939451,-0.329532731585747,0.216002991087411,-0.752898594117073,0.0938331309455786,-0.803168125816332,0.278671012916274,-1.34936331113223,-0.256972940500435
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,collaboration_pc1,2,-1.15473028887629,0.19937140880474,-1.54549825013358,-0.763962327619001,-0.486295065241077,0.237579903008023,-0.951951675136802,-0.020638455345353,-0.668435223635215,0.310150236114836,-1.27632968642029,-0.0605407608501369
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,collaboration_pc1,3,-1.21965192381355,0.216431843725448,-1.64385833751543,-0.795445510111667,-0.41862483681377,0.223611548358987,-0.856903471597383,0.0196537979698442,-0.801027086999777,0.311199080233057,-1.41097728425657,-0.191076889742986
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,collaboration_pc1,4,-1.47326213465962,0.216327106795571,-1.89726326397894,-1.0492610053403,-0.566923582633471,0.269706164023339,-1.09554766411921,-0.0382995011477271,-0.906338552026146,0.345743882153721,-1.58399656104744,-0.228680543004852
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,collaboration_pc1,5,-1.374843980213,0.226683425752624,-1.81914349468814,-0.930544465737853,-0.588147208973866,0.259252744445381,-1.09628258808681,-0.0800118298609197,-0.786696771239129,0.344379675668305,-1.46168093554901,-0.111712606929251
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,shared_knowledge_pc1,1,-0.759379788952658,0.169956953053546,-1.09249541693761,-0.426264160967709,-0.596620011154004,0.229715901327449,-1.0468631777558,-0.146376844552203,-0.162759777798654,0.285752972362367,-0.722835603628893,0.397316048031585
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,shared_knowledge_pc1,2,-0.939020682634856,0.204028859025766,-1.33891724632536,-0.539124118944356,-0.652713000600572,0.243136114028901,-1.12925978409722,-0.176166217103926,-0.286307682034284,0.317400291840494,-0.908412254041652,0.335796889973083
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,shared_knowledge_pc1,3,-0.894916935654277,0.244828623259141,-1.37478103724219,-0.415052834066359,-0.67721494787566,0.219429460023756,-1.10729668952222,-0.247133206229098,-0.217701987778617,0.328770957800843,-0.862093065068269,0.426689089511036
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,shared_knowledge_pc1,4,-1.17417750075071,0.236668560859759,-1.63804788003584,-0.71030712146558,-0.798917056319094,0.264572138468938,-1.31747844771821,-0.280355664919976,-0.375260444431614,0.354979470045038,-1.07102020571989,0.32049931685666
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,shared_knowledge_pc1,5,-0.828899663440988,0.273273896634587,-1.36451650084478,-0.293282826037197,-1.019758186671,0.214562313450339,-1.44030032103366,-0.599216052308334,0.19085852323001,0.347441518726551,-0.49012685347403,0.87184389993405
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,discussion_vibes_pc1,1,-0.789449874459882,0.14982258655805,-1.08310214411366,-0.495797604806104,-0.585951631479834,0.216505768078067,-1.01030293691285,-0.161600326046823,-0.203498242980048,0.263289868878425,-0.71954638598176,0.312549900021665
