File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
response_rate_pull_request_comment                                  float64  166805                               0.462942                  0.0             0.307692                  0.5             0.666667                  1.0        0.263119
response_rate_pull_request_opened                                   float64  174386                               0.800929                  0.0             0.666667             0.972973                  1.0                  1.0        0.290752
mean_days_to_respond_pull_request_opened                            float64  168172                              37.077125             0.000012              0.41761              3.25171            21.236028          3604.406157       117.34496
mean_days_to_respond_to_last_comment                                float64  191627                              91.624225                  0.0             7.982786            40.673682           111.222808          3604.406157      154.704732
issue_opened_pos_sentiment_avg                                      float64  199714                               0.078814                  0.0             0.050249             0.072157             0.098125                  1.0        0.053483
issue_opened_neg_sentiment_avg                                      float64  199714                               0.033064                  0.0             0.017295             0.029255             0.041439                0.767        0.029946
issue_opened_ov_sentiment_avg                                       float64  199714                               0.071957              -0.8807              0.01944             0.067404             0.115785               0.9394        0.104763
issue_comment_pos_sentiment_avg                                     float64  192268                               0.124964                  0.0                0.091             0.118807             0.150361                  1.0        0.071221
issue_comment_neg_sentiment_avg                                     float64  192268                               0.031121                  0.0             0.017577             0.028713             0.038621                  1.0        0.029326
issue_comment_ov_sentiment_avg                                      float64  192268                               0.118616              -0.9439             0.074059             0.115731             0.159629               0.9327        0.092747
pull_request_comment_pos_sentiment_avg                              float64  183868                               0.178855                  0.0             0.097874             0.151204             0.222576                  1.0        0.143564
pull_request_comment_neg_sentiment_avg                              float64  183868                               0.031025                  0.0             0.008307             0.025424             0.039824                  1.0        0.039895
pull_request_comment_ov_sentiment_avg                               float64  183868                               0.147048              -0.8519             0.076033             0.137932             0.206149               0.9442        0.126674
pull_request_opened_pos_sentiment_avg                               float64  205422                               0.045932                  0.0               0.0162             0.037657             0.059462                  1.0        0.049125
pull_request_opened_neg_sentiment_avg                               float64  205422                               0.173864                  0.0             0.063193             0.138533             0.254057                  1.0        0.148127
pull_request_opened_ov_sentiment_avg                                float64  205422                              -0.042588              -0.8658            -0.117572            -0.031891             0.025803               0.9451        0.129667
pct_merged_with_approved                                            float64  123516                               0.305737                  0.0                  0.0             0.142857                  0.6                  1.0         0.34835
pct_merged_with_review                                              float64  123516                               0.348087                  0.0                  0.0             0.230769             0.666667                  1.0        0.351648
avg_all_disc_count                                                  float64  194192                               3.740082                  1.0             1.666667             2.886792             4.716267               189.75        3.412438
avg_pull_request_comment_count                                      float64  189853                               2.102613             0.001422                  1.0                 1.75             2.666667                 72.0        1.563985
avg_all_disc_exclude_opener_count                                   float64  188612                                  2.771                  1.0                  1.4             2.166667                  3.4                 76.0         2.24528
avg_pull_request_comment_exclude_opener_count                       float64  181165                               1.556105             0.003125                  1.0             1.333333                  2.0                 68.0        1.148471
