pc_score_subset,pc_score_label,att_high,att_others_wavg,difference,difference_p_value,difference_ci_lower,difference_ci_upper,count_high
collaboration_pc_score x discussion_quality_pc_score,Collaboration $\times$ Discussion quality,-8.01363015978532,1.96792768907416,-9.98155784885948,0.175627809816571,-24.4330556955982,4.46993999787919,337
collaboration_pc_score x investment_in_new_talent_pc_score,Collaboration $\times$ Investment in new talent,-8.9554836204601,1.74628421124042,-10.7017678317005,0.128042115289021,-24.4889156862498,3.08538002284873,291
collaboration_pc_score x knowledge_level_pc_score,Collaboration $\times$ Knowledge level,-7.84271456313186,1.68954124445912,-9.53225580759099,0.188910313118788,-23.7593390354825,4.6948274203005,320
collaboration_pc_score x problem_solving_routines_pc_score,Collaboration $\times$ Problem-solving routines,-6.1768660661674,0.761309290267907,-6.9381753564353,0.281187584152402,-19.5651132674387,5.6887625545681,289
discussion_quality_pc_score x investment_in_new_talent_pc_score,Discussion quality $\times$ Investment in new talent,-8.40765747751825,1.24329832586622,-9.65095580338447,0.165462178964198,-23.2953345447983,3.99342293802941,264
discussion_quality_pc_score x problem_solving_routines_pc_score,Discussion quality $\times$ Problem-solving routines,-10.4080019315398,1.71529136862726,-12.1232933001671,0.0788408253279667,-25.6459155076262,1.3993289072921,254
investment_in_new_talent_pc_score x problem_solving_routines_pc_score,Investment in new talent $\times$ Problem-solving routines,-5.8458276278914,1.35219024209215,-7.19801786998355,0.298995636645656,-20.7926485347988,6.39661279483171,371
knowledge_level_pc_score x discussion_quality_pc_score,Knowledge level $\times$ Discussion quality,-10.508300559786,2.74783841434664,-13.2561389741327,0.0675354432660669,-27.4700930926731,0.957815144407774,320
knowledge_level_pc_score x investment_in_new_talent_pc_score,Knowledge level $\times$ Investment in new talent,-9.66044258269168,1.29649427647802,-10.9569368591697,0.104604652230507,-24.1930335227298,2.27915980439043,238
knowledge_level_pc_score x problem_solving_routines_pc_score,Knowledge level $\times$ Problem-solving routines,-6.29505676788563,0.409610843255545,-6.70466761114117,0.300676664298476,-19.4092422156364,5.99990699335404,240
