pc_score_subset,pattern,rank,att_doubly_robust_mean,count,p_value,ci_lower,ci_upper
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-high,7,-10.767637707912,168,0.0312410654640528,-20.5535806124636,-0.981694803360507
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-high-low,5,-5.27591851431024,169,0.386460794632248,-17.2711555599412,6.71931853132069
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-high,6,-6.48034633028186,123,0.25292005760764,-17.6480200349645,4.68732737440077
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,high-low-low,3,-1.95494202735595,103,0.52432264303293,-8.02418933714565,4.11430528243375
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-high,4,-4.27769207432913,96,0.483373198165245,-16.3466452277404,7.79126107908212
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-high-low,8,-12.514527182385,136,0.0616679764684087,-25.6489770566126,0.619922691842638
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-high,2,-1.42408270500969,160,0.490274652711877,-5.49155085004219,2.64338544002282
collaboration_pc_score x discussion_quality_pc_score x investment_in_new_talent_pc_score,low-low-low,1,28.6059879699611,171,0.301827494223484,-25.917891292022,83.1298672319441
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-high,7,-8.9265732714568,158,0.00538976353052425,-15.1744675876154,-2.67867895529816
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-high-low,6,-7.2077921059077,179,0.293562530255552,-20.7098230307151,6.29423881889974
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-high,3,-2.86042531474964,131,0.353079845193898,-8.9325219300946,3.21167130059532
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,high-low-low,5,-6.56553590747505,95,0.338489278274362,-20.1156950287078,6.98462321375771
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-high,8,-12.8461866012597,96,0.143125552291557,-30.1191037392097,4.42673053669023
collaboration_pc_score x discussion_quality_pc_score x problem_solving_routines_pc_score,low-high-low,4,-6.46617810455158,136,0.197649784472633,-16.3438099280654,3.41145371896226
