outcome,repo_name,repo_id,att,att_group,event_time-5,event_time-4,event_time-3,event_time-2,event_time0,event_time1,event_time2,event_time3,event_time4,event_time5
pull_request_merged,007gzs/django_restframework_apiview,1,-0.22392234429212038,high,0.0673536896543222,0.20868866554631885,0.1856840193531418,0.41084742004650854,0.27340478336937135,-0.2982894771721903,-0.2412327842990996,-0.33796183507984334,-0.5592395474599414,-0.4385473732351327
pull_request_merged,0b01001001/spectree,3,-0.3847295638875934,low,0.030964203274291113,0.18627249785332514,0.1937097424769837,0.3918315944208303,0.12529006325891412,-0.4326878573394412,-0.43553587499332236,-0.5229923584766792,-0.7430270767578002,-0.7269442929427937
pull_request_merged,0cyn/ktool,5,-0.3659515896913063,low,0.019816081682216796,0.15957053343131147,0.13701787823177725,0.3445508264299763,0.09526662176661754,-0.4219660400171384,-0.41184634705281714,-0.46635755507377474,-0.7218175261009597,-0.6135546285114808
pull_request_merged,0xSpaceShard/starknet-devnet,10,-0.4104451442198501,low,0.07048127612042726,0.19330051647898897,0.21017232648479728,0.3838432835762758,0.09466268878601747,-0.4252422699605597,-0.4767655044592892,-0.5434012831082611,-0.7664213955285368,-0.6594353688891401
pull_request_merged,0xangelo/raylab,12,-0.12190636683077248,high,0.10746936680284581,0.2576752320367692,0.24901362440366764,0.5098985635291844,0.37192430306942165,-0.20366384034717883,-0.05208095774897019,-0.2875565954272527,-0.4627028484642764,-0.374624033099585
pull_request_merged,10sr/flake8-no-implicit-concat,18,-0.25384494223321646,high,0.010080295421703633,0.10012237125492227,0.17371247861206565,0.3897770016721764,0.2018200886388885,-0.33337669167165773,-0.21260831520900508,-0.36943712025098174,-0.5799045674364356,-0.41680900835045404
pull_request_merged,11craft/louie,19,-0.35367979470685645,low,-0.04597941000669786,-0.009933485538473638,-0.14461085332047588,0.08307653032835646,0.1542727684978721,-0.45865957211482355,-0.2843867532025972,-0.4952919176115262,-0.6716037875059111,-0.7099289094296145
pull_request_merged,1313e/CMasher,20,-0.2233521015155109,high,-0.016541830041696695,0.12100175847995837,0.1450115702580287,0.3706437047887268,0.2829136545903652,-0.3376601998557812,-0.1840763598608912,-0.3770959269679766,-0.4924077540226559,-0.6068209683085957
pull_request_merged,15five/scim2-filter-parser,24,-0.29363757277187646,high,0.03261581322909301,0.15700569434403555,0.22441062615746443,0.5000688460725259,0.29992315232174765,-0.3840076154797739,-0.38510009050790583,-0.3833124036201393,-0.5783778618260753,-0.6280080431252423
pull_request_merged,17451k/clade,25,-0.3777542976325329,low,0.01270445433344101,0.10936333768565142,0.14910436194619553,0.32950954628676465,0.1756300451969427,-0.40707607755625685,-0.4703297003991517,-0.5305511855362456,-0.7599790151156239,-0.7578313880447702
pull_request_merged,1EdTech/openbadges-validator-core,26,-0.4290469406531188,low,0.05254239683098909,0.16192453248578276,0.16714724414318166,0.2963260448948295,0.07950214123230942,-0.48487125126584607,-0.450112393466403,-0.6212823028964592,-0.776944678428131,-0.7386831446699558
pull_request_merged,1Password/connect-sdk-python,27,-0.3559975207693353,low,0.045648494816411964,0.13506932729306262,0.055184940559339646,0.2578670661739016,0.13838519857180068,-0.4455956218345745,-0.4401435844110335,-0.45793872242816813,-0.7207221184670135,-0.5690283432885405
pull_request_merged,1adrianb/face-alignment,28,-0.2863276131026434,high,0.03763133123609641,0.21850064354273815,0.14937276909544525,0.279482852546072,0.1957599091753973,-0.4177372651588406,-0.328193806755751,-0.34754744426186457,-0.5032617298753902,-0.5457186661479017
pull_request_merged,1adrianb/pytorch-estimate-flops,29,-0.1331942312739096,high,-0.05537961331915448,0.1680264846834163,0.09847170394486729,0.42481069683504163,0.4349566675785737,-0.31029904981476825,-0.3652512487952318,-0.3247621124332544,-0.353945682478795,0.17245258984057746
pull_request_merged,1e0ng/simhash,31,-0.35447908907473696,low,0.029871751111985947,0.1885916984934058,0.13337984656906388,0.32174064132858593,0.12721935451860134,-0.4125150838316718,-0.3909705170412027,-0.47607510494020266,-0.7017738494025797,-0.5813196755037459
pull_request_merged,1kbgz/temporal-cache,32,-0.24619546836058312,high,0.13614285342688817,0.2426010930841268,0.26015332627116555,0.48964238119494086,0.2564515351590142,-0.2928470436456702,-0.23826070078411352,-0.36595183051228847,-0.5923952283479087,-0.5348797017245136
pull_request_merged,23andMe/Yamale,33,-0.2558405156563589,high,-0.053341785161153704,0.04212364824406732,-0.027279175710996455,0.17586751838313264,0.17721078236593624,-0.3659370458760536,-0.3292217206247863,-0.3849497389058283,-0.4579803231016764,-0.3414270861025348
pull_request_merged,2Fake/devolo_home_control_api,34,-0.2697276001383635,high,0.10319716637989682,0.1851923318619112,0.1966080322872908,0.38874473301940893,0.22654573143259937,-0.3496516364291845,-0.2200864168975091,-0.4250138057104661,-0.6055813866174449,-0.5260097531616027
pull_request_merged,2captcha/2captcha-python,35,-0.34521235406497075,low,0.08161165084883708,0.20292082046187732,0.09081994988510333,0.23580477585204598,0.13644780583452,-0.44113739185707773,-0.3829588928821044,-0.45942501881936976,-0.5447188750659082,-0.5920291493654383
pull_request_merged,3-manifolds/PLink,37,-0.23438367155485118,high,0.08121022168278708,0.16279410665553554,0.21531304831287054,0.4211565117564173,0.24559355227150176,-0.31643799886688334,-0.23574892512774187,-0.3267433646320367,-0.5935040580112307,-0.5295902358010331
pull_request_merged,3-manifolds/Spherogram,38,-0.2892360623969109,high,-0.013235519958404164,0.012645184329619232,-0.003306179652729958,0.29842785301889674,0.20538043879455664,-0.46491678571397355,-0.41057705669202316,-0.18256979553228284,-0.4467383679879262,-0.5733768831470824
pull_request_merged,3-manifolds/knot_floer_homology,39,-0.21468034473008243,high,0.09196019099097692,0.151529245324115,0.17698242593334162,0.4335839096893998,0.3253618399726819,-0.22647300789982489,-0.23741560875428216,-0.32598580239450153,-0.6738703450987538,-0.6935410525142004
pull_request_merged,3601314/hbase-python,41,-0.32805974463550774,high,-0.07232949089745237,0.11611718076501305,-0.07942846675822793,0.09632270517982056,0.12124359277445906,-0.4935485597004611,-0.3088886579351483,-0.40331692462991103,-0.5274153919879834,-0.5006524089446789
