event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-12,-1.0117811900237448,0.9215093655590928,-2.8179395465195665,0.7943771664720771,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-11,-0.21609899275594674,0.7884785622817915,-1.761516974828258,1.3293189893163646,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-10,-0.3519903966090213,0.6031233190838502,-1.534112102013368,0.8301313087953252,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-9,0.13956602774590388,0.6396573882325154,-1.1141624531898262,1.393294508681634,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-8,0.47226736142520576,0.4792964698221506,-0.4671537194262093,1.411688442276621,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-7,0.6799036907952873,0.39394689576723046,-0.09223222490848437,1.452039606499059,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-6,0.6336544786766225,0.3130303429942281,0.0201150064079354,1.2471939509453096,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-5,0.3523296211556421,0.20438085089792968,-0.048256846604300074,0.7529160889155843,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-4,0.2849825932570705,0.1827547451109709,-0.07321670716043249,0.6431818936745735,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-3,0.25072788647625716,0.16169964012984128,-0.06620340817823173,0.5676591811307461,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-2,0.10068707151294685,0.13756060147911311,-0.16893170738611485,0.3703058504120086,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
-1,0,0,0,0,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
0,-0.5332047145597167,0.17850929153079081,-0.8830829259600668,-0.18332650315936677,NA,rolling5_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_default,0,observed
