event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-14,-1.1405637086079476,0.6057349426209152,-2.3278041961449416,0.04667677892904609,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-13,1.230597466653839,0.8492385424473211,-0.43391007654291025,2.8951050098505884,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-12,0.6069014747042363,0.6072093189568003,-0.5832287904510922,1.7970317398595648,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-11,1.6236641084246064,0.8765922880356342,-0.09445677612523662,3.3417849929744494,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-10,1.1174251874232743,0.7975132582468044,-0.4457007987404622,2.680551173587011,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-9,1.817641476872367,0.9033969529779936,0.04698344903549945,3.5882995047092345,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-8,1.416360263320403,0.47282915051504487,0.48961512831091514,2.3431053983298913,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-7,1.464331214777072,0.5797970629860987,0.32792897132431853,2.6007334582298256,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-6,0.6529069097526139,0.3056785274876991,0.05377699587672369,1.252036823628504,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-5,0.5261700471243672,0.2874205557732445,-0.03717424219119203,1.0895143364399265,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-4,0.7564758514336943,0.26283462114934547,0.24131999398097725,1.2716317088864115,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
-3,0.5061552650685137,0.24331218000131363,0.029263392265938992,0.9830471378710884,NA,rolling5_pc_depth1_pc,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth1_pc,1,observed
