event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type,split_estimate,has_pc
-14,-2.0434773679680243,1.0795507524242032,-4.159396842719462,0.07244210678341378,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-13,0.6272355189063629,0.9998384849696259,-1.332447911634104,2.5869189494468294,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-12,-0.11019401425286557,0.711440244079987,-1.50461689264964,1.284228864143909,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-11,1.0107337610489118,0.6493896246808488,-0.2620699033255518,2.2835374254233756,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-10,0.5239092663510103,0.531975115422143,-0.51876195987639,1.5665804925784106,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-9,0.7859045170383977,0.6726231895712932,-0.532436934521337,2.1042459685981325,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-8,0.9105491458500032,0.47746757676049517,-0.025287304600567273,1.8463855963005738,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-7,0.8557866294644434,0.41628687185314533,0.039864360632278606,1.6717088982966082,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-6,1.004482016266829,0.3246468037259095,0.3681742809640465,1.6407897515696117,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-5,0.23926943889379873,0.17014068259344442,-0.09420629898935232,0.5727451767769498,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-4,0.3433734693731417,0.1562776651002444,0.03706924577666271,0.6496776929696207,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-3,0.1775045786154058,0.1419730596965428,-0.10076261838981809,0.4557717756206297,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-2,0.3538734007835136,0.1408235577209976,0.0778592276503583,0.6298875739166689,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
-1,0,0,0,0,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
0,0.35334458479388187,0.17152421314789992,0.01715712702399802,0.6895320425637657,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
1,-0.15124083243959266,0.11897242907940708,-0.38442679343523056,0.08194512855604522,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
2,-0.14359803297206356,0.14889407734765145,-0.4354304245734604,0.1482343586293333,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
3,0.2769614367081014,0.2162392853596381,-0.14686756259678924,0.7007904360129921,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
4,0.20993949992161937,0.26024532876904694,-0.30014134446571267,0.7200203443089515,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
5,0.17307408438404542,0.23747832376743194,-0.2923834302001212,0.6385315989682121,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
6,0.07483862794715593,0.3236529114879838,-0.5595210785692923,0.7091983344636041,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
7,0.09633364547075737,0.3504116885032175,-0.5904732639955489,0.7831405549370637,important_topk_exact1,rolling5_pc,github_outcomes,pull_request_opened,TRUE,sa,att_dr_group,high,observed,att_dr_group,TRUE
