File:  output/analysis/model_event_study/resilience_band_estimates.csv 
MD5:   ff5977286d84f108a7e466b2b41b8e6f 
Key:   sample covar_type outcome normalize split_value event_time 
 
 ================================================================= 
 variable_name   type      N   uniqueN  mean   sd     min    max   
 ----------------------------------------------------------------- 
 sample        character 1,320    3                                
 covar_type    character 1,320    2                                
 outcome       character 1,320    5                                
 normalize      logical  1,320    2                                
 split_value   character 1,320    2                                
 event_time     numeric  1,320           0    3.163   -5      5    
 p2.5           numeric  1,320         -2.183 2.451 -11.746 0.088  
 p50            numeric  1,320         -0.897 1.488 -6.460  1.392  
 p97.5          numeric  1,320         0.334  1.420 -4.257  8.194  
 draw_kstar     numeric  1,320         -1.307 2.041 -11.712 3.440  
 actual         numeric  1,320         -0.321 3.248 -21.198 11.618 
 ----------------------------------------------------------------- 
