sample,covar_type,outcome,normalize,split_value,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact_1_2,pc_score_binary,pull_request_opened,TRUE,high,5,-0.186193674015141,0.248107157182132,0.659374252895159,0.336798369212163,0.629754799824793
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,-5,0.0110928662392386,0.236343757663235,0.483141036471959,0.0817138346302314,0.22988515425602
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,-4,-0.0261194318475924,0.209364820830777,0.416449429117305,0.0596165672411137,0.106467235250295
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,-3,-0.0475590653598435,0.151706388859392,0.344936294915858,0.129286312278839,0.0180473990682052
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,-2,-0.113209426553805,0.0749383732019242,0.26547360103802,0.121880421792264,0.21393771382668
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,-1,0,0,0,0,0
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,0,-0.184035809313059,0.0614060825015168,0.350556974070873,-0.080655051159224,-0.617701375446767
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,1,0.621549483917454,0.966840988923371,1.38976414212056,0.569894819591225,-1.58547005389519
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,2,0.517094313253385,0.891897062455202,1.31134144808138,0.7176196815406,-2.01565069278877
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,3,0.424419228821055,0.79532545068159,1.23335587751144,0.654483151968028,-2.43263637816672
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,4,0.384228007745781,0.740674787579333,1.15764466871142,0.452594701402531,-2.91378032441373
exact_1_2,pc_score_binary,pull_request_opened,TRUE,low,5,0.265872832440075,0.70483237020602,1.13990145384083,0.558678188908007,-3.1759821019402
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,-5,-0.175059549817757,0.239802099293713,0.623205992100394,0.546869284450007,0.0581245560902277
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,-4,-0.180345328438811,0.167160181849676,0.518520248224193,0.380900203214574,0.0360457647038578
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,-3,-0.250980533962178,0.0999095416497675,0.430809943806262,0.208816656110208,0.0844912120986868
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,-2,-0.245860521378641,0.069025190638074,0.429805615705482,0.271880443531343,0.092662905573363
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,0,-0.32285084583984,0.143064754084544,0.807832670955459,0.316842351161647,0.306382939802831
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,1,-0.987490497611798,-0.633428495447615,-0.13484993058851,-0.503582219511697,0.0455122845940817
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,2,-1.03139189744671,-0.65235248643767,-0.170757268323943,-0.477649878535884,-0.118135230161496
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,3,-1.04864452818168,-0.64139413542475,-0.241618607833173,-0.434789136328608,0.161138232018407
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,4,-1.09781303145404,-0.648186921063759,-0.215423200205345,-0.385905740825025,-0.0546418603469534
exact1,pc_score_binary,pull_request_reviewed,TRUE,high,5,-1.12450548830933,-0.681890212182337,-0.234950819256141,-0.277294144836816,-0.15328127002498
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,-5,-0.312247852339769,0.0295934277778777,0.390121737371136,-0.190704424068693,-0.208612658735359
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,-4,-0.306725017959118,0.0162826856711998,0.346726142503886,-0.245709600764258,-0.281463381679792
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,-3,-0.36892253389526,-0.0196984872366679,0.327129661772064,-0.206491057006765,-0.0741042770163645
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,-2,-0.352952664435682,-0.0180735060144177,0.315593325935914,0.0674772035356941,-0.0153144617284311
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,-1,0,0,0,0,0
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,0,-0.270611603523464,0.150827092595566,0.68679126318851,-0.0419897145975265,-0.294865975746947
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,1,-0.908832227339288,-0.650173849297526,-0.265434010162221,-0.836333984258806,-1.03429846510738
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,2,-0.950189806782965,-0.564711207662461,-0.198916127456129,-0.899955566379549,-0.961842079995732
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,3,-0.924545092359604,-0.548925059575719,-0.195376118630106,-0.276957602549802,-1.12732389564224
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,4,-0.811366976702078,-0.458673808828429,-0.0906264532853871,-0.534357761307474,-0.919320127706376
exact1,pc_score_binary,pull_request_reviewed,TRUE,low,5,-0.746312723872724,-0.375844198618916,-0.0025605453600027,-0.384961288989874,-1.13170858038646
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,-5,0.315089871794769,0.671221553592844,1.13329933887304,0.608541961895036,0.17594969560328
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,-4,0.231225006530693,0.529307634573121,0.868253285552645,0.429043000169344,0.222045824280861
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,-3,0.108349965582578,0.381086622428327,0.674512761216293,0.378851899663058,0.211904702744774
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,-2,-0.0647462108870483,0.192217253211281,0.442978177628006,0.259940358746709,0.498500087137452
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,0,-0.331958469435381,-0.0372022753937656,0.338694591142128,0.0298343655573442,0.384074348326914
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,1,-0.180781002261089,0.20816682677228,0.651650863324213,0.369889643924816,0.125587469681704
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,2,-0.381400069984026,0.0432862390917048,0.505516463678223,0.118697267811296,0.37293777064411
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,3,-0.51081742272961,-0.0489391562205681,0.41691182691907,-0.18805159363332,0.426215719884273
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,4,-0.611144906250761,-0.122308703780994,0.361614364309666,0.0162976426610975,0.605734775971218
exact2,pc_score_binary,pull_request_reviewed,TRUE,high,5,-0.719812582943241,-0.153278840780783,0.363097221842779,-0.116126158485789,0.745231834523212
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,-5,0.00231536660678747,0.301368327454795,0.642697792055424,0.237940336475232,0.296946616156591
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,-4,0.0145668288655285,0.273463487746164,0.542718656294244,0.209855772449028,0.278423112367674
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,-3,-0.0465255600242376,0.198765158010115,0.451740852367603,0.318012624617006,0.0653120552187769
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,-2,-0.138978457823802,0.113104115068131,0.364795132808184,0.208441650257705,0.281240613445454
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,-1,0,0,0,0,0
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,0,-0.26425712287054,0.0522694302598485,0.415983027606875,-0.0819304001976583,-0.616994997547656
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,1,0.213564434631118,0.604097428118542,1.03625123118541,0.047357685745837,-1.52031811741464
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,2,0.0919818672354936,0.483928559166916,0.943877815380629,0.235496058125961,-2.0115213459324
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,3,-0.0340245142533979,0.37920582614977,0.826879724464864,-0.224156254737327,-2.22646986202217
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,4,-0.173233578522779,0.300926320840518,0.75894569690054,-0.0759436958797607,-2.30083069572713
exact2,pc_score_binary,pull_request_reviewed,TRUE,low,5,-0.291216520521955,0.229527799570484,0.746989780456833,0.00481435017021014,-2.62788111342433
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,-5,0.262332089265063,0.538089904472698,0.86675554758216,0.589674065142447,0.139902735112986
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,-4,0.192450934640631,0.414907246170023,0.681757188100995,0.414314381922907,0.165141696465065
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,-3,0.0907087859194076,0.301165652889265,0.528786344245843,0.326831984968807,0.172924319761724
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,-2,-0.0571040978116911,0.159903341641275,0.364402417188836,0.263593261397716,0.374339853508256
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,-1,0,0,0,0,0
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,0,-0.212868446777179,0.0305459957900055,0.325751954653952,0.117640461609802,0.360305743892606
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,1,-0.352056510688758,-0.0465485978463442,0.254828000022209,0.102663092097207,0.101089582006495
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,2,-0.476497776892455,-0.160609684617076,0.164882852761588,-0.0637468363223166,0.222700825192167
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,3,-0.564799941437845,-0.245348878888721,0.161839713511924,-0.263537508521833,0.345118954190149
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,4,-0.63084665283741,-0.283079527322415,0.103750898118094,-0.106750881053835,0.403701741115887
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,high,5,-0.699262017471159,-0.306984714863987,0.0622962750342782,-0.165433259332907,0.470344263725364
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,-5,-0.00550527213841111,0.211702388948748,0.471364606625552,0.105774868640855,0.141065839731573
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,-4,-0.035022311545933,0.195582905119873,0.396178446810725,0.0693897823749315,0.105791443369706
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,-3,-0.0744196121063981,0.133324169825197,0.346360565480317,0.156290656116343,0.0223253527796083
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,-2,-0.115321200093372,0.0710729422917991,0.258483808998464,0.164977612518418,0.189802798600173
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,-1,0,0,0,0,0
exact_1_2,pc_score_binary,pull_request_reviewed,TRUE,low,0,-0.170946716357781,0.0843541262308771,0.388294132990494,-0.069615355470951,-0.517671882492437
