sample,outcome,normalize,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact1,pull_request_merged,TRUE,-5,-0.505661370612709,-0.26010663928197,-0.0311466357516237,-0.247502757142026,0.187021983514154
exact1,pull_request_merged,TRUE,-4,-0.456171730401132,-0.210188365220363,0.031064305627724,-0.303648927819973,0.102122953915761
exact1,pull_request_merged,TRUE,-3,-0.39791974737815,-0.141060309636839,0.0695974208903395,-0.204712174114305,0.152158030916309
exact1,pull_request_merged,TRUE,-2,-0.286296239164522,-0.0666571736136614,0.153978722760301,0.0699569179036024,0.257025024196906
exact1,pull_request_merged,TRUE,-1,0,0,0,0,0
exact1,pull_request_merged,TRUE,0,-0.601857423200966,-0.338443254004754,0.0240413069766157,-0.39255376403543,-0.0352798626533206
exact1,pull_request_merged,TRUE,1,-1.0021026291216,-0.793145682546111,-0.555227203368662,-0.838731629419472,-0.443416595731801
exact1,pull_request_merged,TRUE,2,-0.959814640683485,-0.750044443917206,-0.479378073603555,-0.75308906024493,-0.471954064431979
exact1,pull_request_merged,TRUE,3,-0.930071432636137,-0.70871196072977,-0.470895044139114,-0.777875342722053,-0.470940708108504
exact1,pull_request_merged,TRUE,4,-0.934388611655044,-0.694821185268227,-0.446277092470792,-0.877937411103204,-0.36238836213132
exact1,pull_request_merged,TRUE,5,-0.921614592014278,-0.69094541262454,-0.454465682276231,-0.773103366003453,-0.520789131739014
exact2,pull_request_merged,TRUE,-5,-0.349433898602362,-0.177802356818558,0.0308645055535587,-0.123679754536844,0.174416652837536
exact2,pull_request_merged,TRUE,-4,-0.293234413827963,-0.123388057956081,0.0260378507417085,-0.226732169734154,0.136200853051181
exact2,pull_request_merged,TRUE,-3,-0.25591123929848,-0.0845047073904278,0.0754049524598369,-0.0551017406332132,0.0508051098033399
exact2,pull_request_merged,TRUE,-2,-0.204410587919948,-0.0407547180377978,0.115128167977884,-0.0817281945409972,0.345743762800162
exact2,pull_request_merged,TRUE,-1,0,0,0,0,0
exact2,pull_request_merged,TRUE,0,-0.338135256863266,-0.114231710249901,0.121282176395614,-0.208732506519768,0.0251351216474806
exact2,pull_request_merged,TRUE,1,-0.604425299000811,-0.400699996450961,-0.183075217122171,-0.417154576268538,-0.589437702786915
exact2,pull_request_merged,TRUE,2,-0.583099795385968,-0.372372743827997,-0.168879324302616,-0.462316023226126,-0.690658795647836
exact2,pull_request_merged,TRUE,3,-0.569861284550795,-0.350203820479684,-0.100317507906697,-0.415103081379904,-0.851264721074945
exact2,pull_request_merged,TRUE,4,-0.55848220086623,-0.337295334196978,-0.0779909339948816,-0.447633996724003,-1.04587085910558
exact2,pull_request_merged,TRUE,5,-0.549345221785741,-0.343624097720041,-0.0969718138246919,-0.417015578914649,-1.27910162695637
exact_1_2,pull_request_merged,TRUE,-5,-0.349610623180582,-0.199021930986911,-0.0525482488048994,-0.161469891695568,0.178263734277803
exact_1_2,pull_request_merged,TRUE,-4,-0.288941536737913,-0.154180539695326,-0.0196352149720812,-0.250206764734371,0.125800455263098
exact_1_2,pull_request_merged,TRUE,-3,-0.238210752158362,-0.100286258831227,0.0279167739828943,-0.100762067734585,0.0817374948183369
exact_1_2,pull_request_merged,TRUE,-2,-0.178792715514589,-0.0497069709618394,0.0712115305895098,-0.0354346861975155,0.318667264655012
exact_1_2,pull_request_merged,TRUE,-1,0,0,0,0,0
exact_1_2,pull_request_merged,TRUE,0,-0.361523190314408,-0.179734931385112,0.0189039309048916,-0.264833799397925,0.00669678228295034
exact_1_2,pull_request_merged,TRUE,1,-0.682824562795703,-0.519970878534383,-0.365041920049504,-0.545817702879538,-0.5448728194649
exact_1_2,pull_request_merged,TRUE,2,-0.639847290964038,-0.488583195247875,-0.328672476304951,-0.551058443614981,-0.62391124780923
