sample,outcome,normalize,event_time,p2.5,p50,p97.5,draw_kstar,actual
exact1,pull_request_opened,TRUE,-5,0.139963352087154,0.243956897771454,0.368736448484608,0.234267929781937,0.124194454810895
exact1,pull_request_opened,TRUE,-4,0.0458012713964254,0.129809138613842,0.224320781745601,0.119398305921626,0.0387393253880851
exact1,pull_request_opened,TRUE,-3,0.072833197485399,0.135204912534716,0.202401850746463,0.134694403388134,0.08986283798621
exact1,pull_request_opened,TRUE,-2,0.113119348857271,0.156430103247416,0.212816304578647,0.174565566145046,0.184557394060435
exact1,pull_request_opened,TRUE,-1,0,0,0,0,0
exact1,pull_request_opened,TRUE,0,-0.156057841743725,-0.0999074643136522,-0.0550646088081906,-0.0899005984104179,-0.0486315438745741
exact1,pull_request_opened,TRUE,1,-0.628677280796397,-0.555633303031246,-0.491039570358612,-0.566648269536732,-0.50472757701085
exact1,pull_request_opened,TRUE,2,-0.729782346699613,-0.637998556273721,-0.558499291315461,-0.676704244948778,-0.5656948446438
exact1,pull_request_opened,TRUE,3,-0.770198952336594,-0.661528347659225,-0.561560018628807,-0.676407804910421,-0.583876732974844
exact1,pull_request_opened,TRUE,4,-0.734025246573413,-0.59914287841199,-0.473295088985401,-0.659717359965499,-0.56200991699331
exact1,pull_request_opened,TRUE,5,-0.962401549808192,-0.775160339593331,-0.635416588865096,-0.784439294875863,-0.690097459643936
exact2,pull_request_opened,TRUE,-5,0.309657907511892,0.472138775354379,0.701054345526029,0.350788085779881,0.196524154999473
exact2,pull_request_opened,TRUE,-4,0.336266286840787,0.459827547179742,0.630000189568571,0.380227647175275,0.174369109357534
exact2,pull_request_opened,TRUE,-3,0.222290939320368,0.312618916495739,0.433746424765627,0.269346514314254,0.0800782353384354
exact2,pull_request_opened,TRUE,-2,0.366973603186522,0.425570289996696,0.495506629986749,0.392562847555259,0.347851711090909
exact2,pull_request_opened,TRUE,-1,0,0,0,0,0
exact2,pull_request_opened,TRUE,0,-0.133680623875182,-0.0645917825836544,0.00136803698097949,-0.0870240029573133,-0.0879924922803975
exact2,pull_request_opened,TRUE,1,-0.91969602543739,-0.809422665411665,-0.724873433728589,-0.836016188066468,-0.730910478425867
exact2,pull_request_opened,TRUE,2,-1.09020121578465,-0.936083266917884,-0.811602768805333,-0.941227134618248,-0.8825437522981
exact2,pull_request_opened,TRUE,3,-1.22771762072102,-1.04924317157854,-0.902519933516516,-1.14789825455111,-1.06216520341676
exact2,pull_request_opened,TRUE,4,-1.30869625639238,-1.10130429281244,-0.945508009617354,-1.17912836799724,-1.30810105130754
exact2,pull_request_opened,TRUE,5,-1.4679073181544,-1.22484217835545,-1.00767628346625,-1.26569525010711,-1.50710991984979
exact_1_2,pull_request_opened,TRUE,-5,0.282181037998594,0.400656864700442,0.555292077419653,0.315072124919642,0.174353529506887
exact_1_2,pull_request_opened,TRUE,-4,0.271630428701882,0.360002826016959,0.479628536700118,0.300277783877961,0.132795632097333
exact_1_2,pull_request_opened,TRUE,-3,0.193776995173909,0.25926990894754,0.341574255176372,0.228072715095595,0.0830774287587315
exact_1_2,pull_request_opened,TRUE,-2,0.297639121832843,0.341753754859544,0.390330470448009,0.325741941731693,0.297798453044611
exact_1_2,pull_request_opened,TRUE,-1,0,0,0,0,0
exact_1_2,pull_request_opened,TRUE,0,-0.124069482166911,-0.0754968833168627,-0.0257538681732023,-0.0879057419983736,-0.0759275059212212
exact_1_2,pull_request_opened,TRUE,1,-0.811877089738522,-0.734324709064898,-0.667474444420674,-0.753449065212788,-0.661580502122569
exact_1_2,pull_request_opened,TRUE,2,-0.951598185741506,-0.846486445824486,-0.754913567130701,-0.860145118436954,-0.785422674082326
exact_1_2,pull_request_opened,TRUE,3,-1.05772916942811,-0.931011021462729,-0.814676396312908,-1.00337618194386,-0.915559389650867
exact_1_2,pull_request_opened,TRUE,4,-1.0887038323036,-0.951015524930935,-0.821573650965389,-1.01991760249186,-1.07940789926774
exact_1_2,pull_request_opened,TRUE,5,-1.26582105460663,-1.0917855821178,-0.919879300154431,-1.11817983774275,-1.25667783965626
exact1,pull_request_opened,FALSE,-5,-2.03089089871364,-0.501519264507449,0.839565904706214,-3.29051675505506,1.94867620732137
exact1,pull_request_opened,FALSE,-4,-1.43599601962247,-0.390897582930091,0.515349530084304,-2.15820219754063,1.36814810959049
exact1,pull_request_opened,FALSE,-3,-0.766190495192332,-0.0214480196966423,0.674630788891633,-0.907382740233728,1.16797698393421
exact1,pull_request_opened,FALSE,-2,-0.291015016348339,0.260971436826285,0.829478517895197,0.240259195518021,1.21170079545565
exact1,pull_request_opened,FALSE,-1,0,0,0,0,0
exact1,pull_request_opened,FALSE,0,-1.95754073290051,-1.38425702298518,-0.831144172559938,-1.32684995265187,-1.11813653819683
exact1,pull_request_opened,FALSE,1,-2.20592327308597,-1.49448429489539,-0.797024145200586,-1.25885877563684,-1.20168890127723
exact1,pull_request_opened,FALSE,2,-1.68147867413013,-0.828587850693426,0.0318781941918706,-1.07631370708375,-0.621408919470997
exact1,pull_request_opened,FALSE,3,-0.956357388054775,0.0665467089684687,1.10453064461957,0.115944710983156,0.0625755147534605
exact1,pull_request_opened,FALSE,4,-0.909894806342321,0.293551103457671,1.57605243369462,-0.233666962386574,0.238398024482068
exact1,pull_request_opened,FALSE,5,-0.928439880617182,0.619831481988738,2.1615057304892,-0.382192993677685,0.603469367619809
exact2,pull_request_opened,FALSE,-5,-1.29545628779946,1.54371540908049,4.26585215811624,2.8501779762584,2.72683590038189
exact2,pull_request_opened,FALSE,-4,1.4321625072406,3.25039640883289,5.09661505014258,4.15884897076981,3.31375728324287
exact2,pull_request_opened,FALSE,-3,1.26195110878082,2.56060614307558,3.9833107112655,2.99317864492017,1.76723114351876
exact2,pull_request_opened,FALSE,-2,2.76483797037286,3.72893390200022,4.68551776301901,4.62888177236448,3.41974966375833
exact2,pull_request_opened,FALSE,-1,0,0,0,0,0
exact2,pull_request_opened,FALSE,0,-2.20431008326811,-1.15859889461255,-0.284267766004366,-0.628202986504629,-2.38691268012277
exact2,pull_request_opened,FALSE,1,-4.95972420553109,-3.70628290324475,-2.47101202805402,-2.38319166724336,-4.48617584835137
exact2,pull_request_opened,FALSE,2,-5.87648241794475,-4.40061620989883,-3.02547523163502,-3.01932932283348,-5.67018475649808
exact2,pull_request_opened,FALSE,3,-6.00747414074109,-4.09674791844954,-2.42241347731428,-2.81656721679126,-6.12705407543634
exact2,pull_request_opened,FALSE,4,-5.44317847761367,-3.11259371836524,-1.17275479852227,-1.52100733777913,-6.06415239184501
exact2,pull_request_opened,FALSE,5,-5.20072245980558,-2.50769011133896,-0.0670708396315251,-0.835270186990255,-5.14726685426973
exact_1_2,pull_request_opened,FALSE,-5,-1.14596786756112,0.855044606903944,2.92181046829834,0.967921547747102,2.48831303794377
exact_1_2,pull_request_opened,FALSE,-4,0.749481266345796,2.13934073817441,3.49100033346682,2.22253546048335,2.71738577566681
exact_1_2,pull_request_opened,FALSE,-3,0.822460419910554,1.76872187038759,2.83085530288949,1.79757178555778,1.58354671634176
exact_1_2,pull_request_opened,FALSE,-2,1.96390561207503,2.64725552040549,3.35743029106488,3.28367354772242,2.7429346845612
exact_1_2,pull_request_opened,FALSE,-1,0,0,0,0,0
exact_1_2,pull_request_opened,FALSE,0,-1.9329778008501,-1.23198196836499,-0.622780097358533,-0.842353469606282,-1.99800521053243
exact_1_2,pull_request_opened,FALSE,1,-3.88436998861725,-3.01028415153782,-2.18956808851454,-2.03855919394657,-3.47940919718299
exact_1_2,pull_request_opened,FALSE,2,-4.35290475221982,-3.25110758616435,-2.37324937247937,-2.42375279713628,-4.12262520645282
exact_1_2,pull_request_opened,FALSE,3,-4.21932189555388,-2.84276419181422,-1.63721530802963,-1.9176885606691,-4.22979804887816
exact_1_2,pull_request_opened,FALSE,4,-3.67282501726479,-2.09548861838631,-0.639214718285731,-1.12640952706098,-4.13228367727519
exact_1_2,pull_request_opened,FALSE,5,-3.43844900834098,-1.51935200119255,0.165955666359708,-0.69639217773575,-3.38454118625576
