repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,prop_important,total_downloads,total_downloads_one_project
CartoDB/carto-python,2016-01-01,0,2,654,6351,7005,90,0,0,0,0,0,2,654,6351,7005,90,2,654,6351,7005,90,2,654,6351,7005,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,3,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/carto-python,2016-07-01,2,26,1560,645,2205,68,3,208,78,286,10,23,1352,567,1919,58,26,1560,645,2205,68,23,1352,567,1919,58,3,208,78,286,10,1,0,1,0,0,1,0,1,0,1,0,1,2,0,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,4,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/carto-python,2017-01-01,6,56,4993,2991,7984,207,8,93,48,141,21,48,4900,2943,7843,186,56,4993,2991,7984,207,48,4900,2943,7843,186,8,93,48,141,21,61,30,31,3,27,13,18,42,28,25,0,23,11,19,2016-01-01T00:00:00Z,2023-07-01,1,0.3125,0.4375,1,1,1,0,0,1,0,0,0,0.909090909090909,1,1,1,1,11,1,,5,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/carto-python,2017-07-01,4,11,739,471,1210,74,7,718,471,1189,72,4,21,0,21,2,11,739,471,1210,74,4,21,0,21,2,7,718,471,1189,72,25,17,8,5,12,4,4,8,11,5,0,2,4,7,2016-01-01T00:00:00Z,2023-07-01,1,0.833333333333333,0.833333333333333,1,1,1,1,0.2,0.8,0,0,0,0.6,0.6,0.8,0.8,0.8,5,1,,6,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/carto-python,2018-01-01,5.5,12,316,101,417,21,8,316,101,417,21,4,0,0,0,0,12,316,101,417,21,4,0,0,0,0,8,316,101,417,21,28,12,16,6,6,7,9,11,8,7,0,14,5,5,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,7,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/carto-python,2018-07-01,2,8,2907,42,2949,45,3,2893,35,2928,37,5,14,7,21,8,8,2907,42,2949,45,5,14,7,21,8,3,2893,35,2928,37,78,39,39,7,32,9,30,43,19,17,0,51,7,7,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,8,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,2,17,15.3846153846154,1.07142857142857,92.8571428571429,0.0785185185185185,,,0.25,1.66666666666667,,,,,1,1.2,1.5,2,2,2,1,1,1,1,1,1,0.117647058823529,23363,23363
CartoDB/carto-python,2019-01-01,16,67,9972,1714,11686,284,34,7200,915,8115,181,33,2772,799,3571,103,67,9972,1714,11686,284,33,2772,799,3571,103,34,7200,915,8115,181,14,6,8,5,1,7,1,6,5,5,0,109,19,7,2016-01-01T00:00:00Z,2023-07-01,0.769230769230769,0.615384615384615,0.615384615384615,0.615384615384615,0.615384615384615,0.769230769230769,0,0,0.95,0,0,0,0.85,0.9,0.95,0.95,0.95,19,0.95,,9,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,1,8,0,1,100,0.191358024691358,1,1,0.428571428571429,3.5,,,,,1,2.3,2.75,3.5,4.25,4.7,17,17,17,17,17,17,0.125,62349,62349
CartoDB/carto-python,2019-07-01,11.5,56,759,522,1281,69,32,734,501,1235,55,24,25,21,46,14,56,759,522,1281,69,24,25,21,46,14,32,734,501,1235,55,16,9,7,3,6,2,5,6,9,6,0,22,12,8,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,10,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,1,6,0,1,100,0.24,1,1,0.8,4.25,83.3333333333333,100,0,0,1,1.9,3.25,4,5,6.8,0,0,0,0,0,0,0.166666666666667,78654,78654
CartoDB/carto-python,2020-01-01,6,32,1422,676,2098,44,18,1409,666,2075,35,14,13,10,23,9,32,1422,676,2098,44,14,13,10,23,9,18,1409,666,2075,35,11,4,7,1,3,2,5,5,4,5,0,14,7,2,2016-01-01T00:00:00Z,2023-07-01,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.875,0,0,0,0.875,0.875,0.875,0.875,0.875,7,0.875,,11,421145,2020-01-01,2020-07-01,2022-01-01,1,0,12,1,7,0,1,100,0.18,1,1,0.166666666666667,0,,,,,1,0,0,0,0,0,4,4,4,4,4,4,0.142857142857143,82370,82370
CartoDB/carto-python,2020-07-01,0,1,2,1,3,2,0,0,0,0,0,1,2,1,3,2,1,2,1,3,2,1,2,1,3,2,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,12,421145,2020-01-01,2020-07-01,2022-01-01,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,115247,115247
CartoDB/carto-python,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,13,421145,2020-01-01,2020-07-01,2022-01-01,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,158272,158272
CartoDB/carto-python,2021-07-01,1,3,41,3,44,5,1,35,0,35,2,2,6,3,9,3,3,41,3,44,5,2,6,3,9,3,1,35,0,35,2,2,1,1,0,1,0,1,1,1,1,1,0,1,1,2016-01-01T00:00:00Z,2023-07-01,,,,,,,0,0,1,0,1,0,1,1,1,1,1,1,1,1,14,421145,2020-01-01,2020-07-01,2022-01-01,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,428731,428731
CartoDB/cartoframes,2017-01-01,52,213,56053,28086,84139,682,71,15964,8407,24371,331,142,40089,19679,59768,351,213,56053,28086,84139,682,142,40089,19679,59768,351,71,15964,8407,24371,331,109,63,46,32,31,23,23,35,52,29,0,21,54,55,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,5,3824953,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/cartoframes,2017-07-01,85,216,19884,69126,89010,744,125,17059,68039,85098,665,91,2825,1087,3912,79,216,19884,69126,89010,744,91,2825,1087,3912,79,125,17059,68039,85098,665,653,150,503,74,76,44,459,190,106,90,0,88,87,73,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,6,3824953,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/cartoframes,2018-01-01,34.5,86,36147,5801,41948,159,47,36147,5801,41948,159,39,0,0,0,0,86,36147,5801,41948,159,39,0,0,0,0,47,36147,5801,41948,159,185,93,92,39,54,13,79,68,50,36,0,48,41,31,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,7,3824953,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoDB/cartoframes,2018-07-01,19,46,1042,600,1642,63,25,987,560,1547,62,21,55,40,95,1,46,1042,600,1642,63,21,55,40,95,1,25,987,560,1547,62,104,55,49,33,22,3,46,42,30,22,0,7,21,14,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,8,3824953,2020-01-01,2020-07-01,,1,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,38112,38112
CartoDB/cartoframes,2019-01-01,98.5,246,1229157,984502,2213659,3617,159,867689,754507,1622196,3006,87,361468,229995,591463,611,232,609278,500618,1109896,2170,85,119916,27585,147501,255,147,489362,473033,962395,1915,664,410,254,154,256,99,155,407,242,223,0,851,113,138,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,9,3824953,2020-01-01,2020-07-01,,1,0,12,3,25,85,1.8695652173913,39.1304347826087,0.0694731404958678,,,0.416666666666667,7.85714285714286,,,,,1,3,3.5,4,8,16,25,5.8,10,17,36,47.4,0.12,79132,79132
CartoDB/cartoframes,2019-07-01,219,630,4939761,4373807,9313568,15078,386,3648398,3238217,6886615,9523,244,1291363,1135590,2426953,5555,577,1075639,776738,1852377,6396,229,351602,142977,494579,2501,348,724037,633761,1357798,3895,1340,907,433,253,654,183,250,715,534,388,0,1698,259,333,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,10,3824953,2020-01-01,2020-07-01,,1,0,12,8,40,80.7228915662651,2.275,60,0.0519667590027701,,,0.435897435897436,3.4,,,,,,1,2,3,4.75,6.1,37.4285714285714,14.6,17.5,20,50,77.4,0.2,83387,83387
CartoDB/cartoframes,2020-01-01,98.5,189,558297,808049,1366346,3302,153,508301,765752,1274053,3119,36,49996,42297,92293,183,180,265231,444342,709573,1388,36,49996,42297,92293,183,144,215235,402045,617280,1205,397,270,127,64,206,60,67,184,197,121,0,282,154,126,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,11,3824953,2020-01-01,2020-07-01,,1,0,12,4,34,78.8461538461538,1.75,46.875,0.0443213296398892,,,0.454545454545455,2.83333333333333,,,,,,1,1,1.5,3.25,4.9,16.6666666666667,4.2,6,9,23.5,32.2,0.117647058823529,86400,86400
CartoDB/cartoframes,2020-07-01,17,38,524330,426205,950535,975,28,291518,193639,485157,475,10,232812,232566,465378,500,34,115649,52878,168527,133,8,8,8,16,3,26,115641,52870,168511,130,72,53,19,7,46,9,10,15,42,13,71,56,52,19,2017-01-01T00:00:00Z,2023-01-01,,,,,,,,,,,,,,,,,,,,,12,3824953,2020-01-01,2020-07-01,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,111066,111066
