File:  output/analysis/event_study/important_topk/rolling5/all_coefficients_rolling5.csv 
MD5:   6fee5861b828d3c0e83e2e2271eb6d20 
Key:   dataset rolling category outcome normalize method covar split_value event_time 
 
 ================================================================= 
 variable_name   type      N   uniqueN  mean   sd     min    max   
 ----------------------------------------------------------------- 
 dataset       character 9,848    1                                
 rolling       character 9,848    1                                
 category      character 9,848    2                                
 outcome       character 9,848    4                                
 normalize      logical  9,848    1                                
 method        character 9,848    2                                
 covar         character 9,848   39                                
 split_value   character 9,848    3                                
 event_time     numeric  9,848         -3.522 9.310   -19     13   
 estimate       numeric  9,848         -0.034 0.796 -17.777 5.014  
 sd             numeric  9,848         0.284  0.453    0    18.666 
 ci_low         numeric  9,848         -0.592 1.260 -54.362 2.295  
 ci_high        numeric  9,848         0.524  1.123 -2.804  18.807 
 ----------------------------------------------------------------- 
