*** Builder log created: {2026-05-04 22:49:02}
*** Builder log completed: {2026-05-04 22:49:06}
['issue_closed', 'issue_opened', 'overall_new_release_count', 'major_new_release_count', 'minor_new_release_count', 'patch_new_release_count', 'other_new_release_count', 'major_minor_release_count', 'major_minor_patch_release_count', 'proj_hhi_issue_opened', 'proj_hhi_issue_closed', 'proj_hhi_issue_comment', 'proj_prob_hhi_issue_comment', 'share_issue_only', 'share_issue_and_pr', 'issue_opened_pos_sentiment_avg', 'issue_opened_neg_sentiment_avg', 'issue_opened_ov_sentiment_avg', 'issue_comment_pos_sentiment_avg', 'issue_comment_neg_sentiment_avg', 'issue_comment_ov_sentiment_avg', 'has_good_first_issue', 'pct_good_first_issue', 'has_issue_template', 'issue_template_count', 'proj_hhi_issue_comment_imp', 'proj_hhi_issue_opened_imp', 'proj_hhi_issue_closed_imp', 'proj_prob_hhi_issue_comment_imp', 'share_issue_and_pr_imp', 'share_issue_only_imp', 'response_rate_issue_comment', 'response_rate_issue_opened', 'mean_days_to_respond_issue_comment', 'mean_days_to_respond_issue_opened', 'response_rate_issue_comment_imp', 'response_rate_issue_opened_imp', 'mean_days_to_respond_issue_comment_imp', 'mean_days_to_respond_issue_opened_imp', 'issue_comment_pos_sentiment_avg_imp', 'issue_comment_neg_sentiment_avg_imp', 'issue_comment_ov_sentiment_avg_imp', 'issue_opened_pos_sentiment_avg_imp', 'issue_opened_neg_sentiment_avg_imp', 'issue_opened_ov_sentiment_avg_imp', 'has_good_first_issue_imp', 'pct_good_first_issue_imp', 'proj_hhi_issue_labeled']
['pull_request_opened', 'pull_request_merged', 'overall_new_release_count', 'major_minor_release_count']
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact1/nevertreated/panel.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact1/nevertreated/panel_PCA_median.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact1/nevertreated/PCA_metadata.csv' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact1/nevertreated/PCA_excluded_vars.csv' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact2/nevertreated/panel.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact2/nevertreated/panel_PCA_median.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact2/nevertreated/PCA_metadata.csv' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact2/nevertreated/PCA_excluded_vars.csv' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact_1_2/nevertreated/panel.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact_1_2/nevertreated/panel_PCA_median.parquet' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact_1_2/nevertreated/PCA_metadata.csv' saved successfully.
File 'output/analysis/data_prep/important_degree_top3/rolling5/exact_1_2/nevertreated/PCA_excluded_vars.csv' saved successfully.
