repo_name,time_period,prs_opened,commits,commit_additions,commit_deletions,commit_changes_total,commit_files_changed_count,pr_commits,pr_commit_additions,pr_commit_deletions,pr_commit_changes_total,pr_commit_files_changed_count,push_commits,push_commit_additions,push_commit_deletions,push_commit_changes_total,push_commit_files_changed_count,commits_lt100,commit_additions_lt100,commit_deletions_lt100,commit_changes_total_lt100,commit_files_changed_count_lt100,push_commits_lt100,push_commit_additions_lt100,push_commit_deletions_lt100,push_commit_changes_total_lt100,push_commit_files_changed_count_lt100,pr_commits_lt100,pr_commit_additions_lt100,pr_commit_deletions_lt100,pr_commit_changes_total_lt100,pr_commit_files_changed_count_lt100,comments,issue_comments,pr_comments,own_issue_comments,helping_issue_comments,own_pr_comments,helping_pr_comments,linked_pr_issue_comments,issues_opened,issues_opened_with_linked_pr,pr_reviews,pr_review_comments,prs_merged,issues_closed,first_period,final_period,closed_issue,closed_in_30_days,closed_in_60_days,closed_in_90_days,closed_in_180_days,closed_in_360_days,prs_closed_unmerged,p_prs_closed_unmerged,p_prs_merged,p_review_state_commented,p_review_state_approved,p_review_state_changes_requested,p_prs_merged_30d,p_prs_merged_60d,p_prs_merged_90d,p_prs_merged_180d,p_prs_merged_360d,prs_closed,p_prs_closed,mean_pr_reviews,time_index,departed_actor_id,last_pre_period,treatment_period,abandoned_date,treated_project,treatment,treatment_group,total_important,total_nodes,mean_cluster_overlap,avg_clusters_per_node,pct_nodes_one_cluster,HHI_normalized_degree,HHI_individual_coverage,HHI_individual_coverage_cluster,normalized_degree,imp_to_other_avg_edge_weight,individual_node_coverage,individual_coverage_cluster,overall_overlap,weighted_overall_overlap,important,imp_to_other_perc_10,imp_to_other_perc_25,imp_to_other_perc_50,imp_to_other_perc_75,imp_to_other_perc_90,imp_to_imp_avg_edge_weight,imp_to_imp_perc_10,imp_to_imp_perc_25,imp_to_imp_perc_50,imp_to_imp_perc_75,imp_to_imp_perc_90,prop_important,total_downloads,total_downloads_one_project
avast/yaramod,2019-01-01,0,15,251,68,319,35,0,0,0,0,0,15,251,68,319,35,15,251,68,319,35,15,251,68,319,35,0,0,0,0,0,6,6,0,3,3,0,0,0,3,0,0,0,0,3,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,9,29119229,2022-01-01,2022-07-01,,1,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,29699,29699
avast/yaramod,2019-07-01,16,279,121565,80962,202527,1153,222,66543,73116,139659,866,57,55022,7846,62868,287,78,12142,8095,20237,223,56,10505,7803,18308,168,22,1637,292,1929,55,7,3,4,1,2,2,2,3,3,3,0,99,15,3,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,10,29119229,2022-01-01,2022-07-01,,1,0,16,1,7,0,1,100,0.21875,1,1,0.333333333333333,5,,,,,1,5,5,5,5,5,27,27,27,27,27,27,0.142857142857143,39207,39207
avast/yaramod,2020-01-01,32,132,76445,15980,92425,807,64,9673,3694,13367,317,68,66772,12286,79058,490,131,21917,8427,30344,616,67,12244,4733,16977,299,64,9673,3694,13367,317,23,11,12,5,6,6,6,15,10,14,0,61,32,17,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,11,29119229,2022-01-01,2022-07-01,,1,0,16,1,9,0,1,100,0.19,1,1,0.375,3.5,,,,,1,3.1,3.25,3.5,3.75,3.9,59,59,59,59,59,59,0.111111111111111,67896,67896
avast/yaramod,2020-07-01,15,64,5995,2630,8625,242,30,3258,1774,5032,129,34,2737,856,3593,113,64,5995,2630,8625,242,34,2737,856,3593,113,30,3258,1774,5032,129,5,3,2,3,0,0,2,2,3,2,9,17,18,5,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,12,29119229,2022-01-01,2022-07-01,,1,0,16,1,6,0,1,100,0.25,1,1,1,2.2,100,100,0,0,1,1,1,2,3,3.6,0,0,0,0,0,0,0.166666666666667,56659,56659
avast/yaramod,2021-01-01,8,55,68361,7122,75483,354,11,354,216,570,29,44,68007,6906,74913,325,55,68361,7122,75483,354,44,68007,6906,74913,325,11,354,216,570,29,17,8,9,1,7,4,5,9,7,8,27,25,18,7,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,13,29119229,2022-01-01,2022-07-01,,1,0,16,1,6,0,1,100,0.25,1,1,1,4.6,100,100,0,0,1,1,1,1,10,10,0,0,0,0,0,0,0.166666666666667,59657,59657
avast/yaramod,2021-07-01,8,31,1696,185,1881,103,12,378,28,406,32,19,1318,157,1475,71,31,1696,185,1881,103,19,1318,157,1475,71,12,378,28,406,32,13,4,9,0,4,4,5,4,4,4,19,12,13,9,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,14,29119229,2022-01-01,2022-07-01,,1,0,16,4,8,0,1,100,0.138888888888889,0.25,0.25,0.285714285714286,2,25,25,0,0,1,2,2,2,2,2,3,3,3,3,3,3,0.5,48881,48881
avast/yaramod,2022-01-01,8,50,18306,6056,24362,252,10,13107,5631,18738,72,40,5199,425,5624,180,50,18306,6056,24362,252,40,5199,425,5624,180,10,13107,5631,18738,72,6,2,4,2,0,3,1,2,2,2,43,26,19,3,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,15,29119229,2022-01-01,2022-07-01,,1,0,16,1,5,0,1,100,0.22,1,1,0.5,2,,,,,1,2,2,2,2,2,17,17,17,17,17,17,0.2,70792,70792
avast/yaramod,2022-07-01,5,14,401,46,447,30,6,159,17,176,11,8,242,29,271,19,14,401,46,447,30,8,242,29,271,19,6,159,17,176,11,1,0,1,0,0,1,0,0,0,0,1,0,4,0,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,16,29119229,2022-01-01,2022-07-01,,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,50337,50337
avast/yaramod,2023-01-01,5,30,4153,64,4217,93,6,425,9,434,13,24,3728,55,3783,80,30,4153,64,4217,93,24,3728,55,3783,80,6,425,9,434,13,6,3,3,0,3,3,0,2,3,2,12,5,10,2,2019-01-01T00:00:00Z,2023-07-01,,,,,,,,,,,,,,,,,,,,,17,29119229,2022-01-01,2022-07-01,,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,56608,56608
line/line-bot-sdk-python,2016-07-01,12,32,1907,3216,5123,57,15,808,1359,2167,25,17,1099,1857,2956,32,32,1907,3216,5123,57,17,1099,1857,2956,32,15,808,1359,2167,25,49,27,22,7,20,6,16,18,14,7,0,4,13,7,2016-07-01T00:00:00Z,2023-07-01,1,0.857142857142857,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,13,1,,4,903482,2019-01-01,2019-07-01,,1,0,10,1,20,0,1,100,0.15805785123967,1,1,0.842105263157895,3,85,100,0,0,1,1,1,2,4,6.5,0,0,0,0,0,0,0.05,,
