,package,github repository,license
2885,plaster,Unavailable,['MIT License']
2886,os-xenapi,Unavailable,['Apache Software License']
2887,rarfile,markokr/rarfile,['ISC License (ISCL)']
2888,rabbitpy,Unavailable,['BSD License']
2889,html5lib,html5lib/html5lib-python,['MIT License']
2890,initools,Unavailable,['MIT License']
2891,treelib,caesar0301/treelib,['Apache Software License']
2892,proto-google-cloud-spanner-admin-database-v1,googleapis/googleapis,['Apache Software License']
2893,invenio-admin,inveniosoftware/invenio-admin,['Unavailable']
2894,camb,cmbant/camb,['GNU Lesser General Public License v3 (LGPLv3)']
2895,fortpy,rosenbrockc/fortpy,['MIT License']
2896,h3,uber/h3-py,['Apache Software License']
2897,pingdomlib,KennethWilke/PingdomLib,['ISC License (ISCL)']
2898,csiphash,zacharyvoase/python-csiphash,['Unavailable']
2899,gitterpy,MichaelYusko/GitterPy,['MIT License']
2900,kyoukai,Unavailable,['Unavailable']
2901,checkstylebear,Unavailable,['Unavailable']
2902,cheroot,cherrypy/cheroot,['BSD License']
2903,cortexpy,winni2k/cortexpy,['Apache Software License']
2904,cryptography-vectors,pyca/cryptography,['Unavailable']
2905,pyrobuf,appnexus/pyrobuf,['Unavailable']
2906,messytables,Unavailable,['MIT License']
2907,quantecon,quantecon/QuantEcon.py,['Unavailable']
2908,sshtunnel,pahaz/sshtunnel,['MIT License']
2909,pydot,pydot/pydot,['MIT License']
2910,nose-randomly,adamchainz/nose-randomly,['BSD License']
2911,changepy,ruipgil/changepy,['Unavailable']
2912,importlib,brettcannon/importlib,['Unavailable']
2913,pycorenlp,smilli/py-corenlp,['Unavailable']
2914,baselines,openai/baselines,['Unavailable']
2915,googlefinance,hongtaocai/googlefinance,['MIT License']
2916,dhcpkit,sjm-steffann/dhcpkit,['GNU General Public License v3 (GPLv3)']
2917,plone-app-intid,plone/plone.app.intid,['GNU General Public License (GPL)']
2918,xstatic-angular-fileupload,danialfarid/angular-file-upload,['Unavailable']
2919,assimulo,Unavailable,['Unavailable']
2920,click,pallets/click,['BSD License']
2921,commentjson,vaidik/commentjson,['Unavailable']
2922,gemini,Unavailable,['GNU General Public License (GPL)']
2923,django-field-history,grantmcconnaughey/django-field-history,['BSD License']
2924,os-refresh-config,Unavailable,['Apache Software License']
2925,django-modelsdoc,tell-k/django-modelsdoc,['MIT License']
2926,apiclient,shazow/apiclient,['MIT License']
2927,gcdt,glomex/gcdt,['MIT License']
2928,cloudtoken-plugin-awscli-exporter,Unavailable,['Unavailable']
2929,ntlm-auth,jborean93/ntlm-auth,['MIT License']
2930,qiniumanager,hellflame/qiniu_manager,['MIT License']
2931,quantities,python-quantities/python-quantities,['BSD License']
2932,cloudinary,cloudinary/pycloudinary,['MIT License']
2933,s4cmd,bloomreach/s4cmd,['Unavailable']
2934,hddm,Unavailable,['BSD License']
2935,microtokenizer,howl-anderson/MicroTokenizer,['MIT License']
2936,pytest-localstack,mintel/pytest-localstack,['MIT License']
2937,ghostscript,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
2938,reprozip,VIDA-NYU/reprozip,['BSD License']
2939,django-solo,lazybird/django-solo,['Unavailable']
2940,backtrader,mementum/backtrader,['GNU General Public License v3 or later (GPLv3+)']
2941,image,francescortiz/image,['Unavailable']
2942,ttfautohint-py,fonttools/ttfautohint-py,['MIT License']
2943,django-markup,bartTC/django-markup,['MIT License']
2944,djaodjin-saas,djaodjin/djaodjin-saas,['BSD License']
2945,pytest-pep8,Unavailable,['Unavailable']
2946,edx-django-utils,openedx/edx-django-utils,['Apache Software License']
2947,epydoc,Unavailable,['MIT License']
2948,django-autocomplete-light,yourlabs/django-autocomplete-light,['MIT License']
2949,searchtweets,twitterdev/search-tweets-python,['Unavailable']
2950,amici,Unavailable,['BSD License']
2951,ripser,scikit-tda/ripser.py,['MIT License']
2952,certvalidator,wbond/certvalidator,['MIT License']
2953,ailment,angr/ailment,['BSD License']
2954,sanic-openapi,Unavailable,['MIT License']
2955,anymarkup,bkabrda/anymarkup,['BSD License']
2956,rosinstall,Unavailable,['BSD License']
2957,flask-annex,4Catalyzer/flask-annex,['MIT License']
2958,rst2pdf,rst2pdf/rst2pdf,['MIT License']
2959,django-easy-audit,soynatan/django-easy-audit,['GNU General Public License v3 (GPLv3)']
2960,fluids,CalebBell/fluids,['MIT License']
2961,deployfish-mysql,caltechads/deployfish-mysql,['Unavailable']
2962,ziggeo,Unavailable,['Apache Software License']
2963,uamqp,Azure/azure-uamqp-python,['MIT License']
2964,arches,Unavailable,['GNU General Public License v3 (GPLv3)']
2965,jupyternotify,shoprunner/jupyter-notify,['Unavailable']
2966,business-calendar,antoniobotelho/py-business-calendar,['MIT License']
2967,exchangelib,ecederstrand/exchangelib,['BSD License']
2968,freegames,Unavailable,['Apache Software License']
2969,django-ratelimit,jsocol/django-ratelimit,['Apache Software License']
2970,watson-developer-cloud,watson-developer-cloud/python-sdk,['Apache Software License']
2971,env-tools,beaugunderson/python-env-tools,['MIT License']
2972,lantern-sl,Unavailable,['BSD License']
2973,dumbyaml,crdoconnor/dumbyaml,['MIT License']
2974,tagscriptengine,JonSnowbd/TagScript,['Unavailable']
2975,mtools,rueckstiess/mtools,['Apache Software License']
2976,common-framework,debnet/common-framework,['BSD License']
2977,wkhtmltopdf,Unavailable,['BSD License']
2978,docutils,Unavailable,"['BSD License', 'GNU General Public License (GPL)', 'Python Software Foundation License', 'Public Domain']"
2979,monasca-common,Unavailable,['Apache Software License']
2980,python-telegram-handler,sashgorokhov/python-telegram-handler,['MIT License']
2981,sagemaker,aws/sagemaker-python-sdk,['Apache Software License']
2982,fiscalyear,adamjstewart/fiscalyear,['MIT License']
2983,samsungctl,Ape/samsungctl,['MIT License']
2984,cntk-gpu,Unavailable,['MIT License']
2985,proxybroker,constverum/ProxyBroker,['Apache Software License']
2986,event-tracking,openedx/event-tracking,['GNU Affero General Public License v3 or later (AGPLv3+)']
2987,django-recaptcha2,kbytesys/django-recaptcha2,['GNU Lesser General Public License v2 (LGPLv2)']
2988,clickhouse-sqlalchemy,xzkostyan/clickhouse-sqlalchemy,['MIT License']
2989,sievelib,tonioo/sievelib,['MIT License']
2990,jsonrpc-websocket,Unavailable,['BSD License']
2991,haro,empiricalresults/haro-python-sdk,['Unavailable']
2992,mailsnake,michaelhelmick/python-mailsnake,['MIT License']
2993,buildbot-www,Unavailable,['GNU General Public License v2 (GPLv2)']
2994,twill,twill-tools/twill,['MIT License']
2995,wcwidth,jquast/wcwidth,['MIT License']
2996,rplcd,dbrgn/RPLCD,['MIT License']
2997,objection,sensepost/objection,['Unavailable']
2998,gapic-google-cloud-datastore-v1,googleapis/googleapis,['Apache Software License']
2999,richdem,r-barnes/richdem,['GNU General Public License v3 (GPLv3)']
3000,pdf417gen,ihabunek/pdf417-py,['MIT License']
3001,openstep-plist,fonttools/openstep-plist,['Unavailable']
3002,imaplib2,jazzband/imaplib2,['MIT License']
3003,kitten,hoffa/kitten,['MIT License']
3004,pyctdev,Unavailable,['Unavailable']
3005,slack-logger,junhwi/python-slack-logger,['MIT License']
3006,pyconll,pyconll/pyconll,['MIT License']
3007,kazoo,python-zk/kazoo,['Apache Software License']
3008,django-colorfield,Unavailable,['MIT License']
3009,json-tools,Unavailable,['MIT License']
3010,pywavelets,PyWavelets/pywt,['MIT License']
3011,midas,alexrudd2/midas,['GNU General Public License v2 (GPLv2)']
3012,django-json-field,derek-schaefer/django-json-field,['BSD License']
3013,pyteomics,levitsky/pyteomics,['Unavailable']
3014,gns3-gui,Unavailable,['GNU General Public License v3 (GPLv3)']
3015,rucio,Unavailable,['Apache Software License']
3016,sigmatools,SigmaHQ/sigma,['GNU Lesser General Public License v3 (LGPLv3)']
3017,highton,seibert-media/Highton,['Apache Software License']
3018,django-side-effects,yunojuno/django-side-effects,['MIT License']
3019,mocker,Unavailable,['Python Software Foundation License']
3020,quisk,Unavailable,['GNU General Public License (GPL)']
3021,django-db-logger,CiCiUi/django-db-logger,['MIT License']
3022,uranium,Unavailable,['MIT License']
3023,normality,Unavailable,['MIT License']
3024,humanize,python-humanize/humanize,['MIT License']
3025,case-conversion,AlejandroFrias/case-conversion,['Unavailable']
3026,btrees,zopefoundation/BTrees,['Zope Public License']
3027,pystrich,Unavailable,['Unavailable']
3028,ib-insync,erdewit/ib_insync,['BSD License']
3029,pyrsistent,tobgu/pyrsistent,['MIT License']
3030,implicit,Unavailable,['MIT License']
3031,linkheader,Unavailable,['BSD License']
3032,django-taggit-helpers,mfcovington/django-taggit-helpers,['BSD License']
3033,editdistance,Unavailable,['MIT License']
3034,python-interface,ssanderson/interface,['Apache Software License']
3035,python-gssapi,sigmaris/python-gssapi,['Unavailable']
3036,assemble,CorverDevelopment/Assemble,['MIT License']
3037,cartoframes,CartoDB/cartoframes,['BSD License']
3038,otree,Unavailable,['Unavailable']
3039,ocrd,OCR-D/core,['Unavailable']
3040,django-staticfiles,Unavailable,['BSD License']
3041,iso-639,noumar/iso639,['GNU Affero General Public License v3']
3042,chisel,craigahobbs/chisel,['MIT License']
3043,oauth2-client,Unavailable,['Unavailable']
3044,pygments-ccl-lexer,daftscience/pygments-ccl-lexer,['Unavailable']
3045,django-extra-fields,Hipo/drf-extra-fields,['BSD License']
3046,django-bootstrap-form,Unavailable,['Unavailable']
3047,ttoolly,Unavailable,['Unavailable']
3048,github-cli,Unavailable,['BSD License']
3049,luma-lcd,rm-hull/luma.lcd,['MIT License']
3050,dozer,mgedmin/dozer,['Public Domain']
3051,pyclustering,annoviko/pyclustering,['BSD License']
3052,instagram-py,Unavailable,['Unavailable']
3053,pyckson,antidot/Pyckson,['Unavailable']
3054,xxtea,ifduyue/xxtea,['BSD License']
3055,w3lib,scrapy/w3lib,['BSD License']
3056,pykakasi,miurahr/pykakasi,['GNU General Public License v3 or later (GPLv3+)']
3057,javasphinx,Unavailable,['Apache Software License']
3058,sanic-jinja2,lixxu/sanic-jinja2,['BSD License']
3059,flask-ask,johnwheeler/flask-ask,['Apache Software License']
3060,toucan-data-sdk,ToucanToco/toucan-data-sdk,['BSD License']
3061,dallinger,Dallinger/Dallinger,['MIT License']
3062,face-recognition,ageitgey/face_recognition,['MIT License']
3063,edgegrid-python,akamai/AkamaiOPEN-edgegrid-python,['Apache Software License']
3064,django-six,Brightcells/django-six,['Unavailable']
3065,nashpy,drvinceknight/Nashpy,['MIT License']
3066,luizalabs-django-toolkit,luizalabs/django-toolkit,['MIT License']
3067,advancedhtmlparser,kata198/AdvancedHTMLParser,['GNU Lesser General Public License v3 (LGPLv3)']
3068,linode-cli,Unavailable,['Unavailable']
3069,colormap,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3070,mozprofile,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
3071,backports-weakref,pjdelport/backports.weakref,['Python Software Foundation License']
3072,murmurhash3,Unavailable,['Public Domain']
3073,shellingham,sarugaku/shellingham,['ISC License (ISCL)']
3074,slowloris,gkbrk/slowloris,['Unavailable']
3075,monkeytype,Instagram/MonkeyType,['BSD License']
3076,django-nyt,django-wiki/django-nyt,['GNU General Public License v3 (GPLv3)']
3077,mpy-cross,Unavailable,['Unavailable']
3078,putio-py,cenkalti/putio.py,['MIT License']
3079,django-rest-marshmallow,marshmallow-code/django-rest-marshmallow,['BSD License']
3080,acsoo,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3081,commitizen,commitizen-tools/commitizen,['MIT License']
3082,django-sql-explorer,explorerhq/sql-explorer,['MIT License']
3083,deprecation,briancurtin/deprecation,['Apache Software License']
3084,sovrin,sovrin-foundation/sovrin,['Unavailable']
3085,python-qinlingclient,Unavailable,['Apache Software License']
3086,stix,STIXProject/python-stix,['BSD License']
3087,appfy-recipe-gae,prmtl/appfy.recipe.gae,['Apache Software License']
3088,farmfs,Unavailable,['MIT License']
3089,aiographite,Unavailable,['MIT License']
3090,opentracing-instrumentation,uber-common/opentracing-python-instrumentation,['MIT License']
3091,django-bmemcached,jaysonsantos/django-bmemcached,['MIT License']
3092,aiokafka,aio-libs/aiokafka,['Apache Software License']
3093,atelier,Unavailable,['GNU Affero General Public License v3']
3094,bincrafters-package-tools,bincrafters/bincrafters-package-tools,['MIT License']
3095,pybars3,wbond/pybars3,['GNU Library or Lesser General Public License (LGPL)']
3096,pydna,Unavailable,['Other/Proprietary License']
3097,kudu-python,Unavailable,['Apache Software License']
3098,hashlib,Unavailable,['Python Software Foundation License']
3099,spinners,manrajgrover/py-spinners,['Unavailable']
3100,morango,learningequality/morango,['MIT License']
3101,qtfaststart,gtaylor/qtfaststart,['MIT License']
3102,jsonnet,google/jsonnet,['Unavailable']
3103,zope-site,Unavailable,['Zope Public License']
3104,visitor,Unavailable,['Unavailable']
3105,biplist,Unavailable,['BSD License']
3106,aircv,netease/aircv,['Unavailable']
3107,trytond-product,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3108,cqlengine,cqlengine/cqlengine,['BSD License']
3109,ruamel-appconfig,Unavailable,['MIT License']
3110,django-fluent-pages,edoburu/django-fluent-pages,['Apache Software License']
3111,click-spinner,click-contrib/click-spinner,['Unavailable']
3112,urlobject,Unavailable,['Public Domain']
3113,django-vinaigrette,ecometrica/django-vinaigrette,['BSD License']
3114,lazy,stefanholek/lazy,['BSD License']
3115,contexter,Unavailable,['MIT License']
3116,pyobjc-framework-modelio,ronaldoussoren/pyobjc,['MIT License']
3117,python-markdown-math,mitya57/python-markdown-math,['Unavailable']
3118,pandas-gbq,googleapis/python-bigquery-pandas,['BSD License']
3119,slpkg,Unavailable,['GNU General Public License v3 (GPLv3)']
3120,ebooklib,aerkalov/ebooklib,['Unavailable']
3121,wikidata,dahlia/wikidata,['GNU General Public License v3 or later (GPLv3+)']
3122,django-debug-toolbar-request-history,djsutho/django-debug-toolbar-request-history,['BSD License']
3123,pydaqmx,Unavailable,['BSD License']
3124,paddlepaddle-gpu,paddlepaddle/paddle,['Apache Software License']
3125,aliyun-log-cli,aliyun/aliyun-log-cli,['MIT License']
3126,jsonpath-rw,kennknowles/python-jsonpath-rw,['Apache Software License']
3127,pynetworktables,robotpy/pynetworktables,['BSD License']
3128,xunitparser,Unavailable,['MIT License']
3129,molecule,ansible-community/molecule,['MIT License']
3130,masonite,masoniteframework/masonite,['MIT License']
3131,bonobo-sqlalchemy,python-bonobo/bonobo-sqlalchemy,['Unavailable']
3132,trimesh,mikedh/trimesh,['MIT License']
3133,python-dxf,davedoesdev/dxf,['Unavailable']
3134,opencv-contrib-python,opencv/opencv-python,['Apache Software License']
3135,wstools,pycontribs/wstools,['Unavailable']
3136,dependenpy,Unavailable,['Unavailable']
3137,grokcore-view,zopefoundation/grokcore.view,['Zope Public License']
3138,chip-io,xtacocorex/CHIP_IO,['MIT License']
3139,colanderalchemy,stefanofontanelli/ColanderAlchemy,['MIT License']
3140,cogs,Unavailable,['MIT License']
3141,taskflow,Unavailable,['Apache Software License']
3142,sqlalchemy-teradata,Unavailable,['Unavailable']
3143,stompest,nikipore/stompest,['Apache Software License']
3144,nox,wntrblm/nox,['Apache Software License']
3145,compiledb,nickdiego/compiledb,['GNU General Public License v3 (GPLv3)']
3146,sqlalchemy-clickhouse,cloudflare/sqlalchemy-clickhouse,['Apache Software License']
3147,mesos-interface,Unavailable,['Unavailable']
3148,netconf,choppsv1/netconf,['Unavailable']
3149,tag-expressions,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3150,channels-redis,Unavailable,['Unavailable']
3151,python-rsdclient,Unavailable,['Apache Software License']
3152,et-xmlfile,Unavailable,['MIT License']
3153,kinto-http,Kinto/kinto-http.py,['Apache Software License']
3154,pytest-parallel,browsertron/pytest-parallel,['MIT License']
3155,bee-django-course,Unavailable,['Unavailable']
3156,rethinkdb,RethinkDB/rethinkdb-python,['Unavailable']
3157,arabic-reshaper,mpcabd/python-arabic-reshaper,['Unavailable']
3158,flask-humanize,vitalk/flask-humanize,['MIT License']
3159,kolejkaclient,kolejka/kolejka,['Unavailable']
3160,s3,Unavailable,['Unavailable']
3161,pycbc,gwastro/pycbc,['GNU General Public License v3 (GPLv3)']
3162,keras-eval,Unavailable,['Unavailable']
3163,tempocli,awiddersheim/tempocli,['MIT License']
3164,capturer,Unavailable,['MIT License']
3165,pi,chbrown/pi,['MIT License']
3166,galaxyxml,Unavailable,['Apache Software License']
3167,stups-senza,zalando-stups/senza,['Apache Software License']
3168,memento-client,mementoweb/py-memento-client,['BSD License']
3169,products-tinymce,Unavailable,['Unavailable']
3170,django-silk,jazzband/django-silk,['Unavailable']
3171,qibuild,Unavailable,['Unavailable']
3172,tgext-debugbar,Unavailable,['Unavailable']
3173,flask-restful-swagger,rantav/flask-restful-swagger,['Unavailable']
3174,pytest-cookies,hackebrot/pytest-cookies,['MIT License']
3175,straight-plugin,ironfroggy/straight.plugin,['Unavailable']
3176,pybase62,Unavailable,['Unavailable']
3177,pyre-check,facebook/pyre-check,['MIT License']
3178,kamonohashi-sdk,KAMONOHASHI/kamonohashi,['Unavailable']
3179,pywebview,r0x0r/pywebview,['BSD License']
3180,pyramid-zodbconn,Unavailable,['Repoze Public License']
3181,avocado-framework-plugin-varianter-yaml-to-mux,Unavailable,['Unavailable']
3182,fabric2,fabric/fabric,['BSD License']
3183,easydev,Unavailable,['BSD License']
3184,pendulum,sdispater/pendulum,['MIT License']
3185,gallery-dl,mikf/gallery-dl,['GNU General Public License v2 (GPLv2)']
3186,tinkerforge,Unavailable,['Unavailable']
3187,pyrestcli,danicarrion/pyrestcli,['Unavailable']
3188,easybuild,Unavailable,['GNU General Public License v2 (GPLv2)']
3189,codeforlife-portal,Unavailable,['Unavailable']
3190,get-version,flying-sheep/get_version,['GNU General Public License v3 or later (GPLv3+)']
3191,grace,mdiener/grace,['GNU General Public License v3 or later (GPLv3+)']
3192,testfixtures,Simplistix/testfixtures,['MIT License']
3193,spark,Unavailable,['MIT License']
3194,piplapis-python,Unavailable,['Unavailable']
3195,zipcodes,seanpianka/zipcodes,['MIT License']
3196,kolla-ansible,Unavailable,['Apache Software License']
3197,social-auth-app-django,python-social-auth/social-app-django,['BSD License']
3198,statsmodels,statsmodels/statsmodels,['BSD License']
3199,test-tube,williamFalcon/test_tube,['Unavailable']
3200,django-request-token,yunojuno/django-request-token,['MIT License']
3201,vdf,ValvePython/vdf,['MIT License']
3202,kpa,pjvandehaar/kpa,['Unavailable']
3203,deliciousapi,Unavailable,['GNU General Public License (GPL)']
3204,uuid,Unavailable,['Unavailable']
3205,thriftrw,thriftrw/thriftrw-python,['MIT License']
3206,products-ploneformgen,Unavailable,['GNU General Public License v2 (GPLv2)']
3207,filters,Unavailable,['MIT License']
3208,pdfdocument,matthiask/pdfdocument,['Unavailable']
3209,automaton,Unavailable,['Apache Software License']
3210,josepy,certbot/josepy,['Apache Software License']
3211,mavproxy,ArduPilot/MAVProxy,['GNU General Public License v3 (GPLv3)']
3212,scikit-fuzzy,scikit-fuzzy/scikit-fuzzy,['BSD License']
3213,flask-htmlmin,hamidfzm/Flask-HTMLmin,['BSD License']
3214,aldryn-forms,aldryn/aldryn-forms,['BSD License']
3215,scrapy,scrapy/scrapy,['BSD License']
3216,azure-cognitiveservices-vision-customvision,Azure/azure-sdk-for-python,['MIT License']
3217,aliyun-python-sdk-live,Unavailable,['Apache Software License']
3218,dotdrop,deadc0de6/dotdrop,['GNU General Public License v3 (GPLv3)']
3219,tftpy,msoulier/tftpy,['MIT License']
3220,python-openflow,Unavailable,['MIT License']
3221,django-pg-bulk-update,M1hacka/django-pg-bulk-update,['Unavailable']
3222,fabricio,renskiy/fabricio,['MIT License']
3223,trytond-purchase-request,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3224,pyicloud,picklepete/pyicloud,['MIT License']
3225,pyaff4,Unavailable,['Unavailable']
3226,pyrfxtrx,Danielhiversen/pyRFXtrx,['GNU Lesser General Public License v3 or later (LGPLv3+)']
3227,knack,microsoft/knack,['MIT License']
3228,crate-anon,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3229,jenkins,Unavailable,['Unavailable']
3230,ebi,hirokiky/ebi,['Unavailable']
3231,ifjcode17-toolkit,thejoeejoee/VUT-FIT-IFJ-2017-toolkit,['GNU Lesser General Public License v3 (LGPLv3)']
3232,keras-vggface,rcmalli/keras-vggface,['Unavailable']
3233,func-timeout,kata198/func_timeout,['GNU Lesser General Public License v2 (LGPLv2)']
3234,py-radix,mjschultz/py-radix,['BSD License']
3235,nose-timer,mahmoudimus/nose-timer,['MIT License']
3236,hca,HumanCellAtlas/dcp-cli,['Apache Software License']
3237,fluentmock,aelgru/fluentmock,['Apache Software License']
3238,keas-kmi,Unavailable,['Zope Public License']
3239,jytools,meisanggou/Tools,['Unavailable']
3240,django-durationfield,Unavailable,['BSD License']
3241,huawei-lte-api,Salamek/huawei-lte-api,['GNU Lesser General Public License v3 (LGPLv3)']
3242,flake8-spellcheck,MichaelAquilina/flake8-spellcheck,['MIT License']
3243,thundra,thundra-io/cp-trace-python,['Apache Software License']
3244,avro,Unavailable,['Apache Software License']
3245,hurry-filesize,Unavailable,['Unavailable']
3246,curtsies,bpython/curtsies,['MIT License']
3247,retry-decorator,pnpnpn/retry-decorator,['Unavailable']
3248,yessssms,Unavailable,['MIT License']
3249,starlingbank,Dullage/starlingbank,['Unavailable']
3250,jsonsir,RussellLuo/jsonsir,['Unavailable']
3251,randomcolor,kevinwuhoo/randomcolor-py,['Unavailable']
3252,plone-app-vocabularies,plone/plone.app.vocabularies,['GNU General Public License v2 (GPLv2)']
3253,pyswagger,mission-liao/pyswagger,['MIT License']
3254,opuslib,onbeep/opuslib,['BSD License']
3255,noworkflow,gems-uff/noworkflow,['MIT License']
3256,mssql-scripter,Microsoft/mssql-scripter,['MIT License']
3257,azure-mgmt-hanaonazure,Azure/azure-sdk-for-python,['MIT License']
3258,asyncoro,Unavailable,['MIT License']
3259,pyobjc-framework-systemconfiguration,ronaldoussoren/pyobjc,['MIT License']
3260,django-unixdatetimefield,Niklas9/django-unixdatetimefield,['Unavailable']
3261,botpyse,SOBotics/Botpy,['Unavailable']
3262,frozen-flask,Frozen-Flask/Frozen-Flask,['BSD License']
3263,otxv2,AlienVault-Labs/OTX-Python-SDK,['Unavailable']
3264,django-slack,Unavailable,['Unavailable']
3265,python2-pythondialog,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
3266,django-codenerix-products,codenerix/django-codenerix-products,['Other/Proprietary License']
3267,pyhanlp,hankcs/pyhanlp,['Unavailable']
3268,aiohttp-transmute,Unavailable,['MIT License']
3269,nikola,Unavailable,['MIT License']
3270,pdf2jpg,pankajr141/pdf2jpg,['MIT License']
3271,django-cors-headers,adamchainz/django-cors-headers,['MIT License']
3272,okonomiyaki,enthought/okonomiyaki,['Unavailable']
3273,maclookup,CodeLineFi/maclookup-python,['MIT License']
3274,meshio,Unavailable,['MIT License']
3275,django-adv-cache-tag,twidi/django-adv-cache-tag,['MIT License']
3276,polyaxon-schemas,polyaxon/polyaxon-schemas,['Unavailable']
3277,archetypes-kss,Unavailable,['Unavailable']
3278,annotationbear,Unavailable,['Unavailable']
3279,stopit,Unavailable,['MIT License']
3280,prestapyt,Unavailable,['GNU Affero General Public License v3']
3281,file-magic,Unavailable,['BSD License']
3282,bgtunnel,jmagnusson/bgtunnel,['BSD License']
3283,brotli,google/brotli,['MIT License']
3284,pylogo,Unavailable,['Unavailable']
3285,sharepoint,ox-it/python-sharepoint,['Unavailable']
3286,edc-registration,clinicedc/edc-registration,['GNU General Public License v3 (GPLv3)']
3287,databench,svenkreiss/databench,['MIT License']
3288,fsleyes-widgets,Unavailable,['Apache Software License']
3289,awslogs,jorgebastida/awslogs,['BSD License']
3290,django-toolbelt,Unavailable,['Unavailable']
3291,wsgicors,may-day/wsgicors,['Apache Software License']
3292,repoze-who,Unavailable,['Unavailable']
3293,azure-mgmt-storage,Azure/azure-sdk-for-python,['MIT License']
3294,flask-oidc,fedora-infra/flask-oidc,['BSD License']
3295,python-watcher,Unavailable,['Apache Software License']
3296,prince,Unavailable,['MIT License']
3297,zodburi,Unavailable,['Repoze Public License']
3298,package-name,yourself/package_name,['Unavailable']
3299,suds,suds-community/suds,['GNU Library or Lesser General Public License (LGPL)']
3300,networking-hyperv,openstack/networking-hyperv,['Apache Software License']
3301,box2d,Unavailable,['Unavailable']
3302,thinc,explosion/thinc,['MIT License']
3303,sphinxcontrib-pecanwsme,sphinx-contrib/pecanwsme,['Apache Software License']
3304,pyannote-core,Unavailable,['MIT License']
3305,nutsml,maet3608/nuts-ml,['Apache Software License']
3306,netutils-linux,strizhechenko/netutils-linux,['Unavailable']
3307,backport-ipaddress,Unavailable,['Python Software Foundation License']
3308,aubio,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
3309,polling,Unavailable,['Unavailable']
3310,pytest-logging,saltstack/pytest-logging,['Apache Software License']
3311,xml2rfc,ietf-tools/xml2rfc,['BSD License']
3312,pip-upgrader,simion/pip-upgrader,['Public Domain']
3313,nexus-yplan,adamchainz/nexus,['Apache Software License']
3314,centerline,fitodic/centerline,['MIT License']
3315,django-zxcvbn-password,Pawamoy/django-zxcvbn-password,['ISC License (ISCL)']
3316,pylinac,Unavailable,['MIT License']
3317,postgis,yohanboniface/python-postgis,['Unavailable']
3318,urldecode,Unavailable,['Unavailable']
3319,whistle,python-whistle/whistle,['Apache Software License']
3320,audioread,beetbox/audioread,['Unavailable']
3321,nulltype,Unavailable,['Apache Software License']
3322,mbstrdecoder,thombashi/mbstrdecoder,['MIT License']
3323,bucket,Unavailable,['Unavailable']
3324,brunel,Unavailable,['Apache Software License']
3325,lifelines,CamDavidsonPilon/lifelines,['MIT License']
3326,pycocotools,ppwwyyxx/cocoapi,['Unavailable']
3327,mutablerecords,chainreactionmfg/mutablerecords,['Apache Software License']
3328,branchio,thehq/python-branchio,['Unavailable']
3329,horizon,Unavailable,['Apache Software License']
3330,azure-mgmt-iotcentral,Azure/azure-sdk-for-python,['MIT License']
3331,amg-player,desbma/amg-player,['GNU General Public License v3 (GPLv3)']
3332,sniffer,Unavailable,['MIT License']
3333,hdrpy,dmand/hdrpy,['Apache Software License']
3334,docker-map,merll/docker-map,['MIT License']
3335,cgatreport,AndreasHeger/CGATReport,['OSI Approved']
3336,lorem,sfischer13/python-lorem,['MIT License']
3337,pyats-aetest,Unavailable,['Apache Software License']
3338,jdatetime,slashmili/python-jalali,['Unavailable']
3339,binaryornot,audreyr/binaryornot,['BSD License']
3340,geotext,elyase/geotext,['MIT License']
3341,pg8000,tlocke/pg8000,['BSD License']
3342,sri-d3m,Unavailable,['Unavailable']
3343,barenecessities,Unavailable,['MIT License']
3344,django-model-utils,jazzband/django-model-utils,['BSD License']
3345,hypertrack,Unavailable,['MIT License']
3346,flask-themes2,sysr-q/flask-themes2,['MIT License']
3347,guildai,Unavailable,['Apache Software License']
3348,splitio-client,splitio/python-client,['Unavailable']
3349,pynuki,pschmitt/pynuki,['GNU General Public License v3 (GPLv3)']
3350,proto-google-cloud-error-reporting-v1beta1,googleapis/googleapis,['Apache Software License']
3351,pyarabic,Unavailable,['Unavailable']
3352,flask-accept,Unavailable,['MIT License']
3353,finntk,frankier/finntk,['Unavailable']
3354,rescape-graphene,calocan/rescape_graphene,['MIT License']
3355,fastlmm,fastlmm/FaST-LMM,['Unavailable']
3356,quickcache,dimagi/quickcache,['Unavailable']
3357,fireant,Unavailable,['Unavailable']
3358,python-libsbml,Unavailable,['Unavailable']
3359,pytest-cov,pytest-dev/pytest-cov,['MIT License']
3360,python-datemath,nickmaccarthy/python-datemath,['Unavailable']
3361,cubicweb-skos,Unavailable,['Unavailable']
3362,confidant,lyft/confidant,['Unavailable']
3363,python-status,avinassh/status,['BSD License']
