,package,github repository,license
187,onegov-gazette,Unavailable,['GNU General Public License v2 (GPLv2)']
188,added-value,sixty-north/added-value,['BSD License']
189,magicmock,mzxu/magicmock,['Unavailable']
190,uwsgitop,Unavailable,['Unavailable']
191,pyats-connections,Unavailable,['Apache Software License']
192,spyder-terminal,spyder-ide/spyder-terminal,['MIT License']
193,sparkdl,allwefantasy/spark-deep-learning,['Apache Software License']
194,microdata,Unavailable,['Unavailable']
195,flashfocus,Unavailable,['MIT License']
196,django-apscheduler,Unavailable,['MIT License']
197,spooky,DomainTools/spooky,['MIT License']
198,gitchangelog,Unavailable,['BSD License']
199,flake8-bandit,tylerwince/flake8-bandit,['MIT License']
200,python-djvulibre,Unavailable,['GNU General Public License (GPL)']
201,egta,egtaonline/quiesce.git,['Unavailable']
202,wheezy-core,akornatskyy/wheezy.core,['MIT License']
203,tableschema,frictionlessdata/tableschema-py,['MIT License']
204,libtiff,pearu/pylibtiff,['OSI Approved']
205,protorpc,Unavailable,['Apache Software License']
206,invoiced,invoiced/invoiced-python,['MIT License']
207,tick,Unavailable,['BSD License']
208,pytest-picked,anapaulagomes/pytest-picked,['MIT License']
209,pyvisa,pyvisa/pyvisa,['MIT License']
210,mopidy-mopify,dirkgroenen/Mopify,['Apache Software License']
211,tslearn,tslearn-team/tslearn,['BSD License']
212,jupyter-console,Unavailable,['BSD License']
213,python-xlib,python-xlib/python-xlib,['GNU Lesser General Public License v2 or later (LGPLv2+)']
214,detect-secrets,Yelp/detect-secrets,['Apache Software License']
215,avocado-framework-plugin-result-html,Unavailable,['Unavailable']
216,asciinema,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
217,systemd,Unavailable,['Unavailable']
218,plone-cachepurging,Unavailable,['GNU General Public License v2 (GPLv2)']
219,netmiko,ktbyers/netmiko,['MIT License']
220,drf-schema-adapter,drf-forms/drf-schema-adapter,['MIT License']
221,api-object-schema,Infinidat/api_object_schema,['Unavailable']
222,ephemeral-port-reserve,Yelp/ephemeral-port-reserve,['MIT License']
223,papyrus,camptocamp/papyrus,['BSD License']
224,wikipedia2vec,Unavailable,['Apache Software License']
225,validators,python-validators/validators,['MIT License']
226,pytest-pycodestyle,henry0312/pytest-pycodestyle,['MIT License']
227,pytest-sanic,yunstanford/pytest-sanic,['MIT License']
228,metpx-sarracenia,MetPX/sarracenia,['GNU General Public License v2 (GPLv2)']
229,qmenta-core,Unavailable,['Other/Proprietary License']
230,pykern,Unavailable,['Apache Software License']
231,spring,Unavailable,['Unavailable']
232,django-multidb-router,jbalogh/django-multidb-router,['BSD License']
233,quasardb,Unavailable,['BSD License']
234,li-common,lojaintegrada/LI-Common,['MIT License']
235,conditional,stefanholek/conditional,['BSD License']
236,pyocd,pyocd/pyOCD,['Apache Software License']
237,django-query-builder,ambitioninc/django-query-builder,['MIT License']
238,orange3-bioinformatics,biolab/orange3-bioinformatics,['GNU General Public License v3 or later (GPLv3+)']
239,flake8-diff,dealertrack/flake8-diff,['Unavailable']
240,tensorflow-model-analysis,tensorflow/model-analysis,['Apache Software License']
241,pyota,iotaledger/iota.py,['MIT License']
242,ant-nest,strongbugman/ant_nest,['Other/Proprietary License']
243,anom,Bogdanp/anom-py,['Unavailable']
244,recaptcha-client,Unavailable,['Unavailable']
245,sphinxmark,kallimachos/sphinxmark,['Apache Software License']
246,proxy-py,abhinavsingh/proxy.py,['BSD License']
247,pandasdmx,Unavailable,['Apache Software License']
248,ds4drv,chrippa/ds4drv,['MIT License']
249,pospell,Unavailable,['MIT License']
250,stanfordcorenlp,Lynten/stanford-corenlp,['MIT License']
251,zodb,Unavailable,['Zope Public License']
252,msgfy,thombashi/msgfy,['MIT License']
253,kervi-ui,Unavailable,['Unavailable']
254,textract,deanmalmgren/textract,['Unavailable']
255,mpl-finance,Unavailable,['Unavailable']
256,pyjanitor,pyjanitor-devs/pyjanitor,['Unavailable']
257,modestmaps,Unavailable,['Unavailable']
258,eth-testrpc,pipermerriam/eth-testrpc,['MIT License']
259,homely,Unavailable,['MIT License']
260,python-lambda-local,HDE/python-lambda-local,['MIT License']
261,opencc-python-reimplemented,yichen0831/opencc-python,['Apache Software License']
262,django-user-sessions,Unavailable,['MIT License']
263,folia-tools,Unavailable,['GNU General Public License v3 (GPLv3)']
264,zigate,doudz/zigate,['MIT License']
265,wmctrl,antocuni/wmctrl,['MIT License']
266,page-objects,Unavailable,['MIT License']
267,http,franckcuny/http,['MIT License']
268,python-3parclient,Unavailable,['Apache Software License']
269,asynq,quora/asynq,['Apache Software License']
270,plone-autoform,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
271,datedelta,aaugustin/datedelta,['BSD License']
272,pulumi-gcp,pulumi/pulumi-gcp,['Unavailable']
273,zict,Unavailable,['BSD License']
274,pyspark-dist-explore,Unavailable,['Unavailable']
275,ehforwarderbot,ehForwarderBot/ehForwarderBot,['GNU Affero General Public License v3 or later (AGPLv3+)']
276,django-slxauth,Unavailable,['BSD License']
277,sklearn2pmml,jpmml/sklearn2pmml,['Unavailable']
278,alembic-verify,Overseas-Student-Living/alembic-verify,['Unavailable']
279,requests-http-signature,pyauth/requests-http-signature,['Apache Software License']
280,plone-folder,Unavailable,['GNU General Public License v2 (GPLv2)']
281,advancedhttpserver,zeroSteiner/AdvancedHTTPServer,['BSD License']
282,streamcorpus,Unavailable,['MIT License']
283,django-mssql,Unavailable,['Unavailable']
284,configurationutil,Unavailable,['MIT License']
285,django-hijack,django-hijack/django-hijack,['MIT License']
286,concurrencytest,cgoldberg/concurrencytest,['GNU General Public License v3 (GPLv3)']
287,redlock,glasslion/redlock,['MIT License']
288,napalm,napalm-automation/napalm,['Apache Software License']
289,bracex,facelessuser/bracex,['MIT License']
290,flask-celeryext,inveniosoftware/flask-celeryext,['Unavailable']
291,binfield,penguinolog/binfield,['Apache Software License']
292,dlcli,dataloop/dlcli,['Apache Software License']
293,django-loginas,stochastic-technologies/django-loginas,['Unavailable']
294,nerodia,watir/nerodia,['Unavailable']
295,fbs,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
296,orange3-text,biolab/orange3-text,['Unavailable']
297,hyperframe,python-hyper/hyperframe,['MIT License']
298,autobahn,crossbario/autobahn-python,['MIT License']
299,excelconverter,Unavailable,['Unavailable']
300,flake8-class-newline,AlexanderVanEck/flake8-class-newline,['MIT License']
301,jpath,Unavailable,"['MIT License', 'Python Software Foundation License']"
302,nose-html,sio2project/nose-html,['Unavailable']
303,garlicconfig,infoscout/garlicconfig,['Unavailable']
304,django-ca,mathiasertl/django-ca,['GNU General Public License v3 or later (GPLv3+)']
305,mxnet-model-server,awslabs/mxnet-model-server,['Unavailable']
306,mozlog,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
307,djangocms-installer,nephila/djangocms-installer,['BSD License']
308,fontparts,Unavailable,['MIT License']
309,borgmatic,Unavailable,['GNU General Public License v3 (GPLv3)']
310,django-auth-adfs,snok/django-auth-adfs,"['BSD License', 'Other/Proprietary License']"
311,tormysql,snower/TorMySQL,['Unavailable']
312,tables,PyTables/PyTables,['BSD License']
313,plone-app-contentlisting,Unavailable,['GNU General Public License v2 (GPLv2)']
314,ansible-modules-hashivault,TerryHowe/ansible-modules-hashivault,['Unavailable']
315,miyadaiku,miyadaiku/miyadaiku,['MIT License']
316,txrequests,tardyp/txrequests,['Apache Software License']
317,junos-eznc,Unavailable,['Apache Software License']
318,python-registry,Unavailable,['Apache Software License']
319,gsearch,aviaryan/python-gsearch,['MIT License']
320,peewee-migrate,klen/peewee_migrate,['MIT License']
321,cfn-sphere,cfn-sphere/cfn-sphere,['Apache Software License']
322,cloudconvert,cloudconvert/cloudconvert-python,['MIT License']
323,foolbox,bethgelab/foolbox,['MIT License']
324,pytest-describe,pytest-dev/pytest-describe,['MIT License']
325,itk,Unavailable,['Apache Software License']
326,pick,aisk/pick,['MIT License']
327,tlslite,Unavailable,['Unavailable']
328,sharedarray,Unavailable,['GNU General Public License v2 (GPLv2)']
329,coala-utils,Unavailable,['MIT License']
330,flexer,Unavailable,['GNU General Public License v2 (GPLv2)']
331,nameparser,derek73/python-nameparser,['GNU Library or Lesser General Public License (LGPL)']
332,mendeleev,lmmentel/mendeleev,['MIT License']
333,zdaemon,zopefoundation/zdaemon,['Zope Public License']
334,isc-dhcp-leases,MartijnBraam/python-isc-dhcp-leases,['MIT License']
335,dbf,ethanfurman/dbf,['BSD License']
336,objgraph,mgedmin/objgraph,['MIT License']
337,pytest-mockito,kaste/pytest-mockito,['MIT License']
338,pyro,Unavailable,['MIT License']
339,shortid,corpix/shortid,['Unavailable']
340,django-bigbuild,Unavailable,['MIT License']
341,nebulapythonsdk,nebula-orchestrator/nebula-python-sdk,['GNU Lesser General Public License v3 (LGPLv3)']
342,invenio-previewer,inveniosoftware/invenio-previewer,['Unavailable']
343,antipathy,ethanfurman/antipathy,['BSD License']
344,arguments,erikdejonge/arguments,['GNU Library or Lesser General Public License (LGPL)']
345,yamllint,adrienverge/yamllint,['GNU General Public License v3 (GPLv3)']
346,config,Unavailable,['BSD License']
347,cards,okken/cards,['MIT License']
348,srp,cocagne/pysrp,['BSD License']
349,slixmpp,Unavailable,['MIT License']
350,thulac,thunlp/THULAC-Python,['Unavailable']
351,originext,Unavailable,['BSD License']
352,cs,exoscale/cs,['BSD License']
353,pylatex,JelteF/PyLaTeX,['MIT License']
354,pypdftk,Unavailable,['BSD License']
355,tlds,kichik/tlds,['MIT License']
356,billiard,celery/billiard,['BSD License']
357,pep8,Unavailable,['MIT License']
358,snmpfwd,etingof/snmpfwd,['BSD License']
359,azureml-train-automl,Unavailable,['Other/Proprietary License']
360,python2,nickgaya/python2,['MIT License']
361,pytest-freezegun,ktosiek/pytest-freezegun,['MIT License']
362,grpc-google-pubsub-v1,googleapis/googleapis,['Apache Software License']
363,gispython,lvmgeo/GISPython,['GNU General Public License v3 (GPLv3)']
364,logging-tree,brandon-rhodes/logging_tree,['BSD License']
365,sqlalchemy-datatables,pegase745/sqlalchemy-datatables,['MIT License']
366,c7n-org,cloud-custodian/cloud-custodian,['Apache Software License']
367,pipe,JulienPalard/Pipe,['MIT License']
368,cheetah3,Unavailable,['MIT License']
369,osmpythontools,mocnik-science/osm-python-tools,['Unavailable']
370,plone-app-contenttypes,plone/plone.app.contenttypes,['GNU General Public License v2 (GPLv2)']
371,ajenti-panel,Unavailable,['Unavailable']
372,pyexcelerate,kz26/PyExcelerate,['BSD License']
373,django-searchable-select,and3rson/django-searchable-select,['BSD License']
374,minorminer,dwavesystems/minorminer,['Apache Software License']
375,intel-openmp,Unavailable,['Other/Proprietary License']
376,audiobible,gxela/AudioBible,['Public Domain']
377,raiden,raiden-network/raiden,['MIT License']
378,pytest-flakes,asmeurer/pytest-flakes,['MIT License']
379,crypto,chrissimpkins/crypto,['MIT License']
380,timezones,Unavailable,['MIT License']
381,isort,pycqa/isort,['MIT License']
382,pypng,Unavailable,['MIT License']
383,coverage-enable-subprocess,bukzor/python-coverage-enable-subprocess,['MIT License']
384,pocket-protector,SimpleLegal/pocket_protector,['Unavailable']
385,bookiesports,pbsa/bookiesports,['GNU General Public License v3 (GPLv3)']
386,jinjasql,hashedin/jinjasql,['MIT License']
387,easier,robdmc/easier,['MIT License']
388,subword-nmt,rsennrich/subword-nmt,['MIT License']
389,mnemonic,trezor/python-mnemonic,['MIT License']
390,django-bootstrap-static,Unavailable,['MIT License']
391,eea-jquery,collective/eea.jquery,['GNU General Public License (GPL)']
392,fiddleoptions,Unavailable,['Unavailable']
393,sesamclient,Unavailable,['Unavailable']
394,plone-app-event,plone/plone.app.event,['GNU General Public License v2 (GPLv2)']
395,fault,leonardt/fault,['Unavailable']
396,python-oembed,Unavailable,['Unavailable']
397,dciauth,redhat-cip/python-dciauth,['Apache Software License']
398,django-sorcery,shosca/django-sorcery,['MIT License']
399,haralyzer,haralyzer/haralyzer,['MIT License']
400,agora,sbraccia/agora,['Apache Software License']
401,ics,Unavailable,['Apache Software License']
402,tensorframes,databricks/tensorframes,['Apache Software License']
403,chaostoolkit-k8s-wix,Unavailable,"['Freely Distributable', 'Apache Software License']"
404,pygaljs,ionelmc/python-pygaljs,['BSD License']
405,pyrr,adamlwgriffiths/Pyrr,['BSD License']
406,django-hashers-passlib,mathiasertl/django-hashers-passlib,['GNU General Public License v3 or later (GPLv3+)']
407,camelot,Unavailable,"['GNU General Public License (GPL)', 'Other/Proprietary License']"
408,labeled-enum,Unavailable,['Unavailable']
409,module-build-service,Unavailable,['Unavailable']
410,click-configfile,click-contrib/click-configfile,['BSD License']
411,rtyaml,unitedstates/rtyaml,['Unavailable']
412,hide-code,Unavailable,['Unavailable']
413,logdna,logdna/python,['Unavailable']
414,data,Unavailable,['Unavailable']
415,selene,yashaka/selene,['Apache Software License']
416,mailchimp3,charlesthk/python-mailchimp,['MIT License']
417,avocado-framework-plugin-result-upload,Unavailable,['Unavailable']
418,pychalk,anthonyalmarza/chalk,['Unavailable']
419,django-classy-settings,funkybob/django-classy-settings,['Unavailable']
420,pydoe,tisimst/pyDOE,['BSD License']
421,diamond,python-diamond/Diamond,['Unavailable']
422,html-linter,Unavailable,['Apache Software License']
423,yellowbrick,DistrictDataLabs/yellowbrick,['Apache Software License']
424,plone-app-contentrules,Unavailable,['GNU General Public License v2 (GPLv2)']
425,tdda,tdda/tdda,['Unavailable']
426,pyfcm,olucurious/pyfcm,['MIT License']
427,riotwatcher,pseudonym117/Riot-Watcher,['MIT License']
428,azure-cli-batch,Azure/azure-cli,['MIT License']
429,plone-app-controlpanel,Unavailable,['GNU General Public License v2 (GPLv2)']
430,katcp,ska-sa/katcp-python,['BSD License']
431,modulegraph,ronaldoussoren/modulegraph,['MIT License']
432,ruamel-ordereddict,Unavailable,['MIT License']
433,django-letsencrypt,urda/django-letsencrypt,['Apache Software License']
434,freezer,Unavailable,['Apache Software License']
435,plumlightpad,heathbar/plum-lightpad,['MIT License']
436,plone-indexer,Unavailable,['BSD License']
437,backports-lzma,peterjc/backports.lzma,['BSD License']
438,oasislmf,OasisLMF/oasislmf,['BSD License']
439,grow,Unavailable,['MIT License']
440,ahocorapy,abusix/ahocorapy,['MIT License']
441,pyutil,tpltnt/pyutil,"['DFSG approved', 'GNU General Public License (GPL)']"
442,halophot,hvidy/halophot,['GNU General Public License v3 (GPLv3)']
443,pydiscourse,bennylope/pydiscourse,['Unavailable']
444,pysiaf,spacetelescope/pysiaf,['BSD License']
445,flask-session,pallets-eco/flask-session,['BSD License']
446,finpy,Unavailable,['Unavailable']
447,ambition-utils,ambitioninc/ambition-utils,['MIT License']
448,django-oscar-bluelight,Unavailable,['OSI Approved']
449,bitcoinexchangefh,gavincyi/BitcoinExchangeFH,['Apache Software License']
450,pyshorteners,ellisonleao/pyshorteners,['GNU General Public License v3 or later (GPLv3+)']
451,django-currentuser,zsoldosp/django-currentuser,['BSD License']
452,pytest-mongodb,mdomke/pytest-mongodb,['MIT License']
453,pyrmvtransport,cgtobi/PyRMVtransport,['MIT License']
454,gunicorn,benoitc/gunicorn,['MIT License']
455,cot,glennmatthews/cot,['MIT License']
456,batou,Unavailable,['BSD License']
457,django-cprofile-middleware,omarish/django-cprofile-middleware,['Unavailable']
458,bip,fccoelho/bayesian-inference,['Unavailable']
459,vobject,eventable/vobject,['Apache Software License']
460,proto-google-cloud-pubsub-v1,googleapis/googleapis,['Apache Software License']
461,115wangpan,shichao-an/115wangpan,['BSD License']
462,pulsar,quantmind/pulsar,['BSD License']
463,pytaglib,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
464,reviewboardpowerpack,Unavailable,['MIT License']
465,tulipy,cirla/tulipy,['GNU Lesser General Public License v3 (LGPLv3)']
