event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value
-18,-1.220205006058264,0.7772186492128373,-2.7435535585154254,0.30314354639889696,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-17,-0.8482823903037555,0.44035423239240745,-1.711376685792874,0.014811905185363017,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-16,-0.7294340630993051,0.5048100123268082,-1.7188616872598492,0.25999356106123894,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-15,-0.5556238576126347,0.42282329118896156,-1.3843575083429993,0.27310979311773,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-14,-0.7198226753372166,0.4837817412565465,-1.6680348882000477,0.22838953752561453,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-13,-0.004571551143697301,0.39999745439457585,-0.788566561757066,0.7794234594696713,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-12,1.0136867210625968,0.7636065164209138,-0.4829820511223941,2.5103554932475878,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-11,0.5926188431384948,0.3188640388495761,-0.032354673006674384,1.217592359283664,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-10,0.4250686010982635,0.29843470065277694,-0.15986341218117928,1.0100006143777063,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-9,0.47019636094274664,0.301538023614396,-0.12081816534146961,1.061210887226963,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-8,0.7655229986134499,0.32264248717348837,0.13314372375341266,1.3979022734734872,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-7,0.9051955757311887,0.29735943109798546,0.32237109077913717,1.4880200606832403,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-6,0.4100636042833926,0.23663923873464568,-0.053749303636512924,0.8738765122032981,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-5,0.4488593754769282,0.16628383396950663,0.12294306089669521,0.7747756900571612,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-4,0.3703993919954055,0.15021653540205485,0.075974982607378,0.664823801383433,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-3,0.20448703142186112,0.120263031395756,-0.031228510113820634,0.44020257295754284,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-2,0.22594164453538418,0.0987827799445024,0.0323273958441595,0.41955589322660886,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-1,0,0,0,0,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
0,-0.2449382555480176,0.15324132712983707,-0.5452912567224982,0.05541474562646306,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
1,-0.7524576704160192,0.27966816245331905,-1.3006072688245245,-0.20430807200751389,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
2,-0.8088243861951977,0.21164452283274465,-1.2236476509473773,-0.3940011214430182,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
3,-1.0770519977212718,0.2050076958734347,-1.478867081633204,-0.6752369138093398,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
4,-1.4903357450563068,0.22305969125288425,-1.92753273991196,-1.0531387502006537,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
5,-1.5910134155127087,0.23108139708451444,-2.043932953798357,-1.1380938772270603,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
6,-1.6171252289400762,0.2626716034142395,-2.1319615716319857,-1.1022888862481666,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
7,-1.6890782684196564,0.3050031543346108,-2.2868844509154935,-1.0912720859238192,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
8,-1.4084091209571192,0.5210947050394517,-2.4297547428344446,-0.3870634990797941,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
9,-1.6569527505351016,0.4581033629228645,-2.554835341863916,-0.7590701592062872,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
10,-1.3765947569674857,0.4743546052367579,-2.306329783231531,-0.4468597307034402,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
11,-1.6384873220318346,0.4238087151152874,-2.469152403657798,-0.8078222404058713,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
12,-1.575517113201795,0.5377391996082597,-2.629485944433984,-0.5215482819696062,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
13,-2.3822319102933855,0.649868647248931,-3.6559744589012904,-1.1084893616854807,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,high
-18,-0.3157731611217504,0.5368482745312376,-1.3679957792029762,0.7364494569594753,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-17,-0.09250848665366271,0.434579836126065,-0.9442849654607501,0.7592679921534247,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-16,-0.6075446721212125,0.47536007966227106,-1.5392504282592638,0.32416108401683874,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-15,0.19178264935054426,0.5455008908182147,-0.8773990966531565,1.260964395354245,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-14,-0.0251553061543259,0.4834475240631649,-0.97271245331812906,0.9224018410094772,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-13,0.48471968028147094,0.567597797671494,-0.6277720031546573,1.5972113637175993,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-12,0.5895406949323331,0.49635669685965683,-0.3833184309125943,1.5623998207772605,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-11,0.6510035181228488,0.43927042305550984,-0.20996651106595043,1.5119735473116482,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-10,0.3905119299508787,0.41382241913160267,-0.4205800115470625,1.2016038714488197,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-9,0.7982062868493426,0.6315641198543104,-0.43965938806510574,2.036071961763791,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-8,0.004435073521058902,0.372813780322946,-0.7262799359119152,0.735150082954033,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-7,0.6061407394436958,0.3371811654014858,-0.05473434474321626,1.267015823630608,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-6,0.02665533379599372,0.24766424809338905,-0.4587665924670488,0.5120772600590362,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-5,0.26455384418208194,0.16737626793213878,-0.06350364096491007,0.592611329329074,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-4,0.27830273506353764,0.1383754451373062,0.007086862594417487,0.5495186075326578,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-3,0.11606660013164641,0.11581471927156595,-0.11093024964062284,0.3430634499039157,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-2,0.205436851934985,0.10580781511338806,-0.001946465687255594,0.4128201695572256,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-1,0,0,0,0,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
0,0.12103665222649379,0.17534163171431494,-0.22263294593356348,0.46470625038655106,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
1,-0.673046211911575,0.1247013661963193,-0.9174608896563609,-0.4286315341667891,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
2,-0.7577645143374663,0.17604350040003783,-1.1028097751215404,-0.4127192535533921,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
3,-0.78301037549151975,0.20120448366373486,-1.17737116347244,-0.3886495875105994,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
4,-0.8662973723186109,0.2222280387090666,-1.3018643281883815,-0.4307304164488404,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
5,-0.8108320893117387,0.34390250372801673,-1.4848809966186516,-0.13678318200482587,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
6,-0.5370120365395125,0.48137309623296737,-1.4805033051561285,0.40647923207710357,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
7,-0.44145563833538803,0.6183366313090065,-1.6533954357010407,0.7704841590302647,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
8,-0.7482644442373946,0.631118759945531,-1.9852572137306352,0.4887283252558462,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
9,-1.1494284837138302,0.8194239899089824,-2.7554995039354355,0.4566425365077751,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
10,-0.4678838919294632,1.6445318280090269,-3.6911662748271556,2.755398490968229,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
11,0.5785041627914786,2.495187124182073,-4.312062600605384,5.4690709261883415,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
12,-2.419654173393756,0.3801456136814171,-3.1647395762093335,-1.6745687705781789,important_thresh,rolling5,github_outcomes,pull_request_opened,TRUE,sa,att_group,low
-18,-0.8485122389177983,0.624945922226407,-2.073406246481556,0.3763817686459595,important_thresh,rolling5,github_outcomes,pull_request_merged,TRUE,sa,att_group,high
