quasi_event_time,sim_reviewed_mean,obs_reviewed_mean,orig_merged_mean,cf_merged_mean
1.0,20.11553765323993,26.38879159369527,18.811898423817862,20.573495621716287
2.0,20.00551313485114,25.070052539404553,18.661166374781086,21.420080560420317
3.0,19.580977232924692,27.919439579684763,18.30739404553415,22.273432574430824
4.0,18.994217162872154,30.0,17.151243432574432,21.768952714535903
5.0,18.064353765323993,31.683012259194395,17.882406304728548,22.94908931698774
6.0,,35.738853503184714,,
7.0,,42.450520833333336,,
8.0,,45.841059602649004,,
9.0,,53.752873563218394,,
10.0,,29.303797468354432,,
11.0,,108.0909090909091,,
